station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ABO;01.01.1901 00:00;;;;;;;;;;;;;;;;;;55.2;;;;;;;;;;;
ABO;01.02.1901 00:00;;;;;;;;;;;;;;;;;;26.1;;;;;;;;;;;
ABO;01.03.1901 00:00;;;;;;;;;;;;;;;;;;68.2;;;;;;;;;;;
ABO;01.04.1901 00:00;;;;;;;;;;;;;;;;;;209.1;;;;;;;;;;;
ABO;01.05.1901 00:00;;;;;;;;;;;;;;;;;;61.4;;;;;;;;;;;
ABO;01.06.1901 00:00;;;;;;;;;;;;;;;;;;189.4;;;;;;;;;;;
ABO;01.07.1901 00:00;;;;;;;;;;;;;;;;;;122.3;;;;;;;;;;;
ABO;01.08.1901 00:00;;;;;;;;;;;;;;;;;;140.6;;;;;;;;;;;
ABO;01.09.1901 00:00;;;;;;;;;;;;;;;;;;141.5;;;;;;;;;;;
ABO;01.10.1901 00:00;;;;;;;;;;;;;;;;;;94.3;;;;;;;;;;;
ABO;01.11.1901 00:00;;;;;;;;;;;;;;;;;;25.7;;;;;;;;;;;
ABO;01.12.1901 00:00;;;;;;;;;;;;;;;;;;83.8;;;;;;;;;;;
ABO;01.01.1902 00:00;;;;;;;;;;;;;;;;;;61.1;;;;;;;;;;;
ABO;01.02.1902 00:00;;;;;;;;;;;;;;;;;;48.2;;;;;;;;;;;
ABO;01.03.1902 00:00;;;;;;;;;;;;;;;;;;178.6;;;;;;;;;;;
ABO;01.04.1902 00:00;;;;;;;;;;;;;;;;;;61.9;;;;;;;;;;;
ABO;01.05.1902 00:00;;;;;;;;;;;;;;;;;;143.7;;;;;;;;;;;
ABO;01.06.1902 00:00;;;;;;;;;;;;;;;;;;93.6;;;;;;;;;;;
ABO;01.07.1902 00:00;;;;;;;;;;;;;;;;;;168.2;;;;;;;;;;;
ABO;01.08.1902 00:00;;;;;;;;;;;;;;;;;;154.8;;;;;;;;;;;
ABO;01.09.1902 00:00;;;;;;;;;;;;;;;;;;67.8;;;;;;;;;;;
ABO;01.10.1902 00:00;;;;;;;;;;;;;;;;;;91.7;;;;;;;;;;;
ABO;01.11.1902 00:00;;;;;;;;;;;;;;;;;;30.3;;;;;;;;;;;
ABO;01.12.1902 00:00;;;;;;;;;;;;;;;;;;101.2;;;;;;;;;;;
ABO;01.01.1903 00:00;;;;;;;;;;;;;;;;;;69.3;;;;;;;;;;;
ABO;01.02.1903 00:00;;;;;;;;;;;;;;;;;;40.5;;;;;;;;;;;
ABO;01.03.1903 00:00;;;;;;;;;;;;;;;;;;74.6;;;;;;;;;;;
ABO;01.04.1903 00:00;;;;;;;;;;;;;;;;;;95.5;;;;;;;;;;;
ABO;01.05.1903 00:00;;;;;;;;;;;;;;;;;;78.4;;;;;;;;;;;
ABO;01.06.1903 00:00;;;;;;;;;;;;;;;;;;116.5;;;;;;;;;;;
ABO;01.07.1903 00:00;;;;;;;;;;;;;;;;;;179.1;;;;;;;;;;;
ABO;01.08.1903 00:00;;;;;;;;;;;;;;;;;;116.2;;;;;;;;;;;
ABO;01.09.1903 00:00;;;;;;;;;;;;;;;;;;50.3;;;;;;;;;;;
ABO;01.10.1903 00:00;;;;;;;;;;;;;;;;;;148.3;;;;;;;;;;;
ABO;01.11.1903 00:00;;;;;;;;;;;;;;;;;;71.2;;;;;;;;;;;
ABO;01.12.1903 00:00;;;;;;;;;;;;;;;;;;42.5;;;;;;;;;;;
ABO;01.01.1904 00:00;;;;;;;;;;;;;;;;;;55.8;;;;;;;;;;;
ABO;01.02.1904 00:00;;;;;;;;;;;;;;;;;;117.4;;;;;;;;;;;
ABO;01.03.1904 00:00;;;;;;;;;;;;;;;;;;52.9;;;;;;;;;;;
ABO;01.04.1904 00:00;;;;;;;;;;;;;;;;;;140.3;;;;;;;;;;;
ABO;01.05.1904 00:00;;;;;;;;;;;;;;;;;;142.3;;;;;;;;;;;
ABO;01.06.1904 00:00;;;;;;;;;;;;;;;;;;138.8;;;;;;;;;;;
ABO;01.07.1904 00:00;;;;;;;;;;;;;;;;;;127.9;;;;;;;;;;;
ABO;01.08.1904 00:00;;;;;;;;;;;;;;;;;;185.7;;;;;;;;;;;
ABO;01.09.1904 00:00;;;;;;;;;;;;;;;;;;78.4;;;;;;;;;;;
ABO;01.10.1904 00:00;;;;;;;;;;;;;;;;;;65.6;;;;;;;;;;;
ABO;01.11.1904 00:00;;;;;;;;;;;;;;;;;;32.3;;;;;;;;;;;
ABO;01.12.1904 00:00;;;;;;;;;;;;;;;;;;57.7;;;;;;;;;;;
ABO;01.01.1905 00:00;;;;;;;;;;;;;;;;;;36.8;;;;;;;;;;;
ABO;01.02.1905 00:00;;;;;;;;;;;;;;;;;;29.5;;;;;;;;;;;
ABO;01.03.1905 00:00;;;;;;;;;;;;;;;;;;103.6;;;;;;;;;;;
ABO;01.04.1905 00:00;;;;;;;;;;;;;;;;;;92.7;;;;;;;;;;;
ABO;01.05.1905 00:00;;;;;;;;;;;;;;;;;;100.4;;;;;;;;;;;
ABO;01.06.1905 00:00;;;;;;;;;;;;;;;;;;103.1;;;;;;;;;;;
ABO;01.07.1905 00:00;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;
ABO;01.08.1905 00:00;;;;;;;;;;;;;;;;;;216;;;;;;;;;;;
ABO;01.09.1905 00:00;;;;;;;;;;;;;;;;;;159.6;;;;;;;;;;;
ABO;01.10.1905 00:00;;;;;;;;;;;;;;;;;;120.1;;;;;;;;;;;
ABO;01.11.1905 00:00;;;;;;;;;;;;;;;;;;113.8;;;;;;;;;;;
ABO;01.12.1905 00:00;;;;;;;;;;;;;;;;;;42.2;;;;;;;;;;;
ABO;01.01.1906 00:00;;;;;;;;;;;;;;;;;;65.7;;;;;;;;;;;
ABO;01.02.1906 00:00;;;;;;;;;;;;;;;;;;81.1;;;;;;;;;;;
ABO;01.03.1906 00:00;;;;;;;;;;;;;;;;;;80.1;;;;;;;;;;;
ABO;01.04.1906 00:00;;;;;;;;;;;;;;;;;;70.6;;;;;;;;;;;
ABO;01.05.1906 00:00;;;;;;;;;;;;;;;;;;107.3;;;;;;;;;;;
ABO;01.06.1906 00:00;;;;;;;;;;;;;;;;;;80.1;;;;;;;;;;;
ABO;01.07.1906 00:00;;;;;;;;;;;;;;;;;;128.1;;;;;;;;;;;
ABO;01.08.1906 00:00;;;;;;;;;;;;;;;;;;50.9;;;;;;;;;;;
ABO;01.09.1906 00:00;;;;;;;;;;;;;;;;;;40.4;;;;;;;;;;;
ABO;01.10.1906 00:00;;;;;;;;;;;;;;;;;;33.8;;;;;;;;;;;
ABO;01.11.1906 00:00;;;;;;;;;;;;;;;;;;61.5;;;;;;;;;;;
ABO;01.12.1906 00:00;;;;;;;;;;;;;;;;;;124.7;;;;;;;;;;;
ABO;01.01.1907 00:00;;;;;;;;;;;;;;;;;;97.6;;;;;;;;;;;
ABO;01.02.1907 00:00;;;;;;;;;;;;;;;;;;58.7;;;;;;;;;;;
ABO;01.03.1907 00:00;;;;;;;;;;;;;;;;;;112.2;;;;;;;;;;;
ABO;01.04.1907 00:00;;;;;;;;;;;;;;;;;;98.4;;;;;;;;;;;
ABO;01.05.1907 00:00;;;;;;;;;;;;;;;;;;90.8;;;;;;;;;;;
ABO;01.06.1907 00:00;;;;;;;;;;;;;;;;;;122.4;;;;;;;;;;;
ABO;01.07.1907 00:00;;;;;;;;;;;;;;;;;;153.8;;;;;;;;;;;
ABO;01.08.1907 00:00;;;;;;;;;;;;;;;;;;104.3;;;;;;;;;;;
ABO;01.09.1907 00:00;;;;;;;;;;;;;;;;;;70.5;;;;;;;;;;;
ABO;01.10.1907 00:00;;;;;;;;;;;;;;;;;;85.2;;;;;;;;;;;
ABO;01.11.1907 00:00;;;;;;;;;;;;;;;;;;17.9;;;;;;;;;;;
ABO;01.12.1907 00:00;;;;;;;;;;;;;;;;;;132.2;;;;;;;;;;;
ABO;01.01.1908 00:00;;;;;;;;;;;;;;;;;;29.7;;;;;;;;;;;
ABO;01.02.1908 00:00;;;;;;;;;;;;;;;;;;118.7;;;;;;;;;;;
ABO;01.03.1908 00:00;;;;;;;;;;;;;;;;;;50.7;;;;;;;;;;;
ABO;01.04.1908 00:00;;;;;;;;;;;;;;;;;;91.6;;;;;;;;;;;
ABO;01.05.1908 00:00;;;;;;;;;;;;;;;;;;107.9;;;;;;;;;;;
