station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
AIG;01.01.1981 00:00;-1.5;6.4;-16.7;-3.1;-14.9;5.6;;4.5;;;;;;1.8;;6.5;;99.7;56;;;;4780;40;;0;666.9;418.9;
AIG;01.02.1981 00:00;-0.3;6.7;-9.7;-1.4;-12;9.1;;4.8;;;;;;1.6;;5.8;;32.3;91;;;;6264;47;;0;569.6;345.6;
AIG;01.03.1981 00:00;7.5;20.3;-2.3;7.1;-5.3;23.2;;7.8;;;;;;2.2;;7.9;;112.8;114;;;;6149;33;;0;352.3;144.3;
AIG;01.04.1981 00:00;10.3;21;-2;10;-6.5;25.6;;8.8;;;;;;2.1;;7.6;;18;186;;;;8107;40;;0;224.2;72.2;
AIG;01.05.1981 00:00;12.4;25.1;3.5;12.7;0.1;28.8;75.9;10.8;;;;;;2.1;19.3;7.6;69.5;120.4;185;;;;6732;29;;0;155.8;35.8;84.9
AIG;01.06.1981 00:00;16.4;29;5.7;16.9;2.8;31.7;71.7;13.2;;;;;;2.2;20.8;7.9;74.9;74.4;240;;;;10679;46;;16.8;8;0;17.2
AIG;01.07.1981 00:00;16.7;27.3;7.3;17.2;4.2;31.7;76.6;14.2;;;;;;1.8;20.2;6.5;72.7;155.9;217;;;;10340;44;;14.3;18.5;2.5;100.5
AIG;01.08.1981 00:00;17.7;28.5;6.5;18.2;3.7;33.4;75.5;15;;;;;;1.7;17.5;6.1;63;42.4;221;;;;14190;67;;23.4;0;0;-36.7
AIG;01.09.1981 00:00;14.9;27.1;3.4;15.1;-0.3;29.4;84.1;14.2;;;;;;1.5;16.6;5.4;59.8;92.5;127;;;;5942;32;;0.3;38.8;6.8;93.2
AIG;01.10.1981 00:00;9.7;21;-0.4;9.3;-4.8;24;82.1;10;;;;;;2;18.5;7.2;66.6;200.1;81;;;;4699;29;;0;252.8;84.8;187.4
AIG;01.11.1981 00:00;4.2;14.8;-4.3;2.9;-10.8;18.7;83.2;7;;;;;;1.6;15.2;5.8;54.7;63.6;65;;;;6501;54;;0;475.4;235.4;43
AIG;01.12.1981 00:00;2.5;13.1;-6.9;1.4;-13;11.5;75.8;5.6;;;;;;3.4;25.8;12.2;92.9;146.1;34;;;;2577;24;;0;542.7;294.7;149.1
AIG;01.01.1982 00:00;2.7;10.2;-3.4;1.9;-8.7;15.6;84.8;6.3;;;;;;1.6;12.3;5.8;44.3;93.5;44;;;;3208;27;;0;537.6;289.6;96.8
AIG;01.02.1982 00:00;2.3;11.9;-12.1;1.2;-15.6;16.8;80.8;5.9;;;;;;1.5;14.3;5.4;51.5;20.5;87;;;;6800;51;;0;496.8;272.8;15.5
AIG;01.03.1982 00:00;4.7;14.3;-3.3;4.2;-8.9;19.3;71;6;;;;;;2.6;24.5;9.4;88.2;81.8;127;;;;7731;42;;0;472.9;224.9;60.5
AIG;01.04.1982 00:00;8.5;18;-1.4;8.1;-6.9;22.6;62.5;6.7;;;;;;2.6;20.7;9.4;74.5;27.8;225;;;;14047;70;;0;336.6;104.6;-38.8
AIG;01.05.1982 00:00;13.1;24.5;0.7;13.3;-4.5;29.1;69;10.3;;;;;;2.2;14.9;7.9;53.6;52.5;236;;;;11704;51;;0;122.2;34.2;-10.5
AIG;01.06.1982 00:00;17.1;27.1;8.4;17.8;4.9;32.3;71.5;13.6;;;;;;1.8;22;6.5;79.2;128.8;215;;;;9070;39;;10;9.3;1.3;74.4
AIG;01.07.1982 00:00;19.7;30.1;9.2;20.6;6;34.5;71.8;16.1;;;;;;1.7;17.1;6.1;61.6;76.9;228;;;;12300;52;;61.4;0;0;7.2
AIG;01.08.1982 00:00;17.3;28.1;7.1;18;3.1;33.1;75.8;14.7;;;;;;1.5;14.4;5.4;51.8;104.9;185;;;;9600;45;;15.2;0;0;57.4
AIG;01.09.1982 00:00;16;25.1;6.2;15.9;1.6;29.5;77.5;13.8;;;;;;1.5;23.4;5.4;84.2;71.5;158;;;;11541;62;;0.6;9.6;1.6;33.9
AIG;01.10.1982 00:00;9.3;19.6;-0.6;8.8;-3.9;24.9;82.1;9.6;;;;;;1.6;21.3;5.8;76.7;142.9;99;;;;7393;46;;0;302.2;86.2;127.6
AIG;01.11.1982 00:00;6.4;19.2;-1.2;4.9;-6.1;18.2;77.7;7.3;;;;;;2.4;31.9;8.6;114.8;35.8;58;;;;5082;42;;0;399.1;175.1;26.7
AIG;01.12.1982 00:00;2.7;14.4;-7.3;1.2;-13.6;11.1;81.4;6.2;;;;;;2.2;17.4;7.9;62.6;129.6;38;;;;3699;34;;0;536.3;288.3;125.5
AIG;01.01.1983 00:00;2;11.4;-5.7;0.2;-10.7;14.9;83.8;6;;;;;;1.7;21.4;6.1;77;61.7;50;;;;4974;42;;0;559.5;311.5;59.7
AIG;01.02.1983 00:00;-0.8;11.6;-9.3;-1.7;-13.2;8.9;80;4.7;;;;;;1.8;19.4;6.5;69.8;53.9;80;;;;4155;31;;0;581.1;357.1;50.3
AIG;01.03.1983 00:00;5.9;15.2;-2.2;5.1;-8.7;21.1;76.1;7;;;;;;2;18.6;7.2;67;40.7;129;;;;8573;46;;0;438.6;190.6;22.6
AIG;01.04.1983 00:00;9.2;22.5;-0.3;9.3;-5.4;25.1;72.3;8.2;;;;;;3.1;23.9;11.2;86;118.6;160;;;;5675;28;;0;287.5;95.5;91.4
AIG;01.05.1983 00:00;11.1;20.7;4.4;11.6;0.6;28;76.4;9.9;;;;;;2.3;22.2;8.3;79.9;157.4;165;;;;5187;23;;0;214.1;46.1;128.3
AIG;01.06.1983 00:00;17.3;27.6;5.5;18;2.2;33.4;69.1;13.4;;;;;;2;14.8;7.2;53.3;73.9;240;;;;10832;47;;16.4;8.3;0.3;7.8
AIG;01.07.1983 00:00;21.8;33.3;8.7;22.4;5.8;37.1;66.6;16.7;;;;;;1.7;18.6;6.1;67;38.4;269;;;;18086;77;;112.7;0;0;-86.7
AIG;01.08.1983 00:00;18.4;28.2;6.8;18.9;4.7;31.2;73.8;15.4;;;;;;1.6;19.4;5.8;69.8;128.5;198;;;;10511;49;;22;0;0;77.1
AIG;01.09.1983 00:00;14.8;24.1;4.4;14.8;0.6;29.4;76.9;12.8;;;;;;1.5;16.3;5.4;58.7;144.8;161;;;;11262;61;;1.1;53.9;5.9;107.5
AIG;01.10.1983 00:00;9.7;21.5;-1.1;8.6;-6.6;26.8;80;9.6;;;;;;1.4;16.7;5;60.1;53;109;;;;10185;63;;0;253.1;85.1;31.6
AIG;01.11.1983 00:00;4.2;14.5;-4.2;3.3;-10;17.4;85;7.1;;;;;;1.5;26.8;5.4;96.5;112.3;57;;;;5423;45;;0;473;233;105.4
