station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ALT;01.01.1864 00:00;-3.8;;;;;;;;971.4;;;;;;;;;51.3;;;;;;;;;738.1;;
ALT;01.02.1864 00:00;0.5;;;;;;;;959.9;;;;;;;;;46.7;;;;;;;;;564.1;;
ALT;01.03.1864 00:00;6.4;;;;;;;;955.4;;;;;;;;;39;;;;;;;;;408.1;;
ALT;01.04.1864 00:00;8.3;;;;;;;;963.8;;;;;;;;;194.3;;;;;;;;;328.8;;
ALT;01.05.1864 00:00;13.5;;;;;;;;961.4;;;;;;;;;128;;;;;;;;;115.9;;
ALT;01.06.1864 00:00;15.3;;;;;;;;963.9;;;;;;;;;208.7;;;;;;;;;46;;
ALT;01.07.1864 00:00;17.6;;;;;;;;964.4;;;;;;;;;204;;;;;;;;;0;;
ALT;01.08.1864 00:00;16.3;;;;;;;;965.6;;;;;;;;;89;;;;;;;;;64.5;;
ALT;01.09.1864 00:00;13.9;;;;;;;;965.9;;;;;;;;;81.3;;;;;;;;;93.5;;
ALT;01.10.1864 00:00;9.9;;;;;;;;958.5;;;;;;;;;31.1;;;;;;;;;278.2;;
ALT;01.11.1864 00:00;5;;;;;;;;959.2;;;;;;;;;86;;;;;;;;;443.5;;
ALT;01.12.1864 00:00;-0.7;;;;;;;;963.7;;;;;;;;;7.3;;;;;;;;;643;;
ALT;01.01.1865 00:00;1.7;;;;;;;;954.4;;;;;;;;;66.7;;;;;;;;;565.9;;
ALT;01.02.1865 00:00;-0.2;;;;;;;;959.6;;;;;;;;;31.6;;;;;;;;;564.8;;
ALT;01.03.1865 00:00;0.4;;;;;;;;955.7;;;;;;;;;85.5;;;;;;;;;608.4;;
ALT;01.04.1865 00:00;13.5;;;;;;;;966.8;;;;;;;;;1.3;;;;;;;;;123.3;;
ALT;01.05.1865 00:00;17.2;;;;;;;;964.2;;;;;;;;;70.3;;;;;;;;;26.5;;
ALT;01.06.1865 00:00;16.9;;;;;;;;966.6;;;;;;;;;88.9;;;;;;;;;8.2;;
ALT;01.07.1865 00:00;19.5;;;;;;;;964.8;;;;;;;;;257.2;;;;;;;;;0;;
ALT;01.08.1865 00:00;16.5;;;;;;;;963.3;;;;;;;;;228.2;;;;;;;;;16.8;;
ALT;01.09.1865 00:00;16.2;;;;;;;;971.8;;;;;;;;;2;;;;;;;;;0;;
ALT;01.10.1865 00:00;10.9;;;;;;;;958;;;;;;;;;109.5;;;;;;;;;234.1;;
ALT;01.11.1865 00:00;6.6;;;;;;;;964.1;;;;;;;;;87.9;;;;;;;;;387;;
ALT;01.12.1865 00:00;-0.3;;;;;;;;974.1;;;;;;;;;5.9;;;;;;;;;622.5;;
ALT;01.01.1866 00:00;2.8;;;;;;;;;;;;;;;;;78.4;;;;;;;;;534.4;;
ALT;01.02.1866 00:00;5.3;;;;;;;;;;;;;;;;;134.5;;;;;;;;;411.5;;
ALT;01.03.1866 00:00;6;;;;;;;;;;;;;;;;;143.2;;;;;;;;;434.8;;
ALT;01.04.1866 00:00;10.8;;;;;;;;;;;;;;;;;121.9;;;;;;;;;204.2;;
ALT;01.05.1866 00:00;11.5;;;;;;;;;;;;;;;;;105.2;;;;;;;;;195.4;;
ALT;01.06.1866 00:00;18.1;;;;;;;;;;;;;;;;;70;;;;;;;;;8.3;;
ALT;01.07.1866 00:00;18.1;;;;;;;;;;;;;;;;;149.8;;;;;;;;;0;;
ALT;01.08.1866 00:00;15.7;;;;;;;;;;;;;;;;;279.3;;;;;;;;;26.3;;
ALT;01.09.1866 00:00;15.7;;;;;;;;;;;;;;;;;117.4;;;;;;;;;45.3;;
ALT;01.10.1866 00:00;9.7;;;;;;;;;;;;;;;;;4;;;;;;;;;292;;
ALT;01.11.1866 00:00;4.3;;;;;;;;;;;;;;;;;241.7;;;;;;;;;471.3;;
ALT;01.12.1866 00:00;2.6;;;;;;;;;;;;;;;;;119.9;;;;;;;;;540.7;;
ALT;01.01.1867 00:00;0.8;;;;;;;;957.5;;;;;;;;;179.9;;;;;;;;;594.3;;
ALT;01.02.1867 00:00;6.6;;;;;;;;972.2;;;;;;;;;105.4;;;;;;;;;357.3;;
ALT;01.03.1867 00:00;6.1;;;;;;;;957;;;;;;;;;130.7;;;;;;;;;411.1;;
ALT;01.04.1867 00:00;9.9;;;;;;;;963.6;;;;;;;;;201.3;;;;;;;;;269.8;;
ALT;01.05.1867 00:00;14;;;;;;;;963.4;;;;;;;;;117.2;;;;;;;;;133.4;;
ALT;01.06.1867 00:00;16.4;;;;;;;;966.8;;;;;;;;;157.1;;;;;;;;;40.7;;
ALT;01.07.1867 00:00;17.2;;;;;;;;966.2;;;;;;;;;54.4;;;;;;;;;0;;
ALT;01.08.1867 00:00;18.3;;;;;;;;966.6;;;;;;;;;86.1;;;;;;;;;0;;
ALT;01.09.1867 00:00;15.6;;;;;;;;969.1;;;;;;;;;71.2;;;;;;;;;66.1;;
ALT;01.10.1867 00:00;8;;;;;;;;965.7;;;;;;;;;220.3;;;;;;;;;355;;
