station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
AND;01.01.1901 00:00;;;;;;;;;;;;;;;;;;24.7;;;;;;;;;;;
AND;01.02.1901 00:00;;;;;;;;;;;;;;;;;;26.4;;;;;;;;;;;
AND;01.03.1901 00:00;;;;;;;;;;;;;;;;;;125.3;;;;;;;;;;;
AND;01.04.1901 00:00;;;;;;;;;;;;;;;;;;109.5;;;;;;;;;;;
AND;01.05.1901 00:00;;;;;;;;;;;;;;;;;;87.7;;;;;;;;;;;
AND;01.06.1901 00:00;;;;;;;;;;;;;;;;;;209.8;;;;;;;;;;;
AND;01.07.1901 00:00;;;;;;;;;;;;;;;;;;184.3;;;;;;;;;;;
AND;01.08.1901 00:00;;;;;;;;;;;;;;;;;;122.5;;;;;;;;;;;
AND;01.09.1901 00:00;;;;;;;;;;;;;;;;;;110.2;;;;;;;;;;;
AND;01.10.1901 00:00;;;;;;;;;;;;;;;;;;72.6;;;;;;;;;;;
AND;01.11.1901 00:00;;;;;;;;;;;;;;;;;;25.3;;;;;;;;;;;
AND;01.12.1901 00:00;;;;;;;;;;;;;;;;;;39.9;;;;;;;;;;;
AND;01.01.1902 00:00;;;;;;;;;;;;;;;;;;26.2;;;;;;;;;;;
AND;01.02.1902 00:00;;;;;;;;;;;;;;;;;;41.8;;;;;;;;;;;
AND;01.03.1902 00:00;;;;;;;;;;;;;;;;;;98.8;;;;;;;;;;;
AND;01.04.1902 00:00;;;;;;;;;;;;;;;;;;14.4;;;;;;;;;;;
AND;01.05.1902 00:00;;;;;;;;;;;;;;;;;;70.4;;;;;;;;;;;
AND;01.06.1902 00:00;;;;;;;;;;;;;;;;;;93.3;;;;;;;;;;;
AND;01.07.1902 00:00;;;;;;;;;;;;;;;;;;88;;;;;;;;;;;
AND;01.08.1902 00:00;;;;;;;;;;;;;;;;;;137.3;;;;;;;;;;;
AND;01.09.1902 00:00;;;;;;;;;;;;;;;;;;146.8;;;;;;;;;;;
AND;01.10.1902 00:00;;;;;;;;;;;;;;;;;;120.5;;;;;;;;;;;
AND;01.11.1902 00:00;;;;;;;;;;;;;;;;;;18.2;;;;;;;;;;;
AND;01.12.1902 00:00;;;;;;;;;;;;;;;;;;96.1;;;;;;;;;;;
AND;01.01.1903 00:00;;;;;;;;;;;;;;;;;;33.3;;;;;;;;;;;
AND;01.02.1903 00:00;;;;;;;;;;;;;;;;;;26.4;;;;;;;;;;;
AND;01.03.1903 00:00;;;;;;;;;;;;;;;;;;37.3;;;;;;;;;;;
AND;01.04.1903 00:00;;;;;;;;;;;;;;;;;;82.2;;;;;;;;;;;
AND;01.05.1903 00:00;;;;;;;;;;;;;;;;;;162.6;;;;;;;;;;;
AND;01.06.1903 00:00;;;;;;;;;;;;;;;;;;61.6;;;;;;;;;;;
AND;01.07.1903 00:00;;;;;;;;;;;;;;;;;;183.9;;;;;;;;;;;
AND;01.08.1903 00:00;;;;;;;;;;;;;;;;;;122.8;;;;;;;;;;;
AND;01.09.1903 00:00;;;;;;;;;;;;;;;;;;94.5;;;;;;;;;;;
AND;01.10.1903 00:00;;;;;;;;;;;;;;;;;;101.4;;;;;;;;;;;
AND;01.11.1903 00:00;;;;;;;;;;;;;;;;;;82.1;;;;;;;;;;;
AND;01.12.1903 00:00;;;;;;;;;;;;;;;;;;78;;;;;;;;;;;
AND;01.01.1904 00:00;;;;;;;;;;;;;;;;;;17.1;;;;;;;;;;;
AND;01.02.1904 00:00;;;;;;;;;;;;;;;;;;67.4;;;;;;;;;;;
AND;01.03.1904 00:00;;;;;;;;;;;;;;;;;;105.6;;;;;;;;;;;
AND;01.04.1904 00:00;;;;;;;;;;;;;;;;;;46.3;;;;;;;;;;;
AND;01.05.1904 00:00;;;;;;;;;;;;;;;;;;118.3;;;;;;;;;;;
AND;01.06.1904 00:00;;;;;;;;;;;;;;;;;;87.7;;;;;;;;;;;
AND;01.07.1904 00:00;;;;;;;;;;;;;;;;;;80.1;;;;;;;;;;;
AND;01.08.1904 00:00;;;;;;;;;;;;;;;;;;69.9;;;;;;;;;;;
AND;01.09.1904 00:00;;;;;;;;;;;;;;;;;;108.9;;;;;;;;;;;
AND;01.10.1904 00:00;;;;;;;;;;;;;;;;;;19.5;;;;;;;;;;;
AND;01.11.1904 00:00;;;;;;;;;;;;;;;;;;59.3;;;;;;;;;;;
AND;01.12.1904 00:00;;;;;;;;;;;;;;;;;;55.7;;;;;;;;;;;
AND;01.01.1905 00:00;;;;;;;;;;;;;;;;;;43.3;;;;;;;;;;;
AND;01.02.1905 00:00;;;;;;;;;;;;;;;;;;27.2;;;;;;;;;;;
AND;01.03.1905 00:00;;;;;;;;;;;;;;;;;;46.5;;;;;;;;;;;
AND;01.04.1905 00:00;;;;;;;;;;;;;;;;;;62.1;;;;;;;;;;;
AND;01.05.1905 00:00;;;;;;;;;;;;;;;;;;149.4;;;;;;;;;;;
AND;01.06.1905 00:00;;;;;;;;;;;;;;;;;;70.2;;;;;;;;;;;
AND;01.07.1905 00:00;;;;;;;;;;;;;;;;;;104.2;;;;;;;;;;;
AND;01.08.1905 00:00;;;;;;;;;;;;;;;;;;240.5;;;;;;;;;;;
AND;01.09.1905 00:00;;;;;;;;;;;;;;;;;;126.1;;;;;;;;;;;
AND;01.10.1905 00:00;;;;;;;;;;;;;;;;;;37.9;;;;;;;;;;;
AND;01.11.1905 00:00;;;;;;;;;;;;;;;;;;79.5;;;;;;;;;;;
AND;01.12.1905 00:00;;;;;;;;;;;;;;;;;;17.5;;;;;;;;;;;
AND;01.01.1906 00:00;;;;;;;;;;;;;;;;;;20.8;;;;;;;;;;;
AND;01.02.1906 00:00;;;;;;;;;;;;;;;;;;32.1;;;;;;;;;;;
AND;01.03.1906 00:00;;;;;;;;;;;;;;;;;;51.4;;;;;;;;;;;
AND;01.04.1906 00:00;;;;;;;;;;;;;;;;;;63.2;;;;;;;;;;;
AND;01.05.1906 00:00;;;;;;;;;;;;;;;;;;77.9;;;;;;;;;;;
AND;01.06.1906 00:00;;;;;;;;;;;;;;;;;;43.1;;;;;;;;;;;
AND;01.07.1906 00:00;;;;;;;;;;;;;;;;;;137.3;;;;;;;;;;;
AND;01.08.1906 00:00;;;;;;;;;;;;;;;;;;62.5;;;;;;;;;;;
AND;01.09.1906 00:00;;;;;;;;;;;;;;;;;;53.9;;;;;;;;;;;
AND;01.10.1906 00:00;;;;;;;;;;;;;;;;;;29.6;;;;;;;;;;;
AND;01.11.1906 00:00;;;;;;;;;;;;;;;;;;206.9;;;;;;;;;;;
AND;01.12.1906 00:00;;;;;;;;;;;;;;;;;;28.6;;;;;;;;;;;
AND;01.01.1907 00:00;;;;;;;;;;;;;;;;;;27.7;;;;;;;;;;;
AND;01.02.1907 00:00;;;;;;;;;;;;;;;;;;23.2;;;;;;;;;;;
AND;01.03.1907 00:00;;;;;;;;;;;;;;;;;;65.9;;;;;;;;;;;
AND;01.04.1907 00:00;;;;;;;;;;;;;;;;;;66.7;;;;;;;;;;;
