station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BER;01.01.1864 00:00;-7;8;-16.8;;;;93;3.7;956.6;;;;;;;;;24.6;;;;;;;;;838.5;;
BER;01.02.1864 00:00;-1.1;12.4;-15.8;;;;87.9;5.2;945.7;;;;;;;;;28.9;;;;;;;;;612.2;;
BER;01.03.1864 00:00;4.6;15.7;-3.8;;;;79.9;6.8;941.3;;;;;;;;;62.3;;;;;;;;;478.4;;
BER;01.04.1864 00:00;7.3;23.1;-5.2;;;;69.6;7.1;949.6;;;;;0.8;;2.9;;60.1;;;;;;;;;361.3;;
BER;01.05.1864 00:00;12.8;23.8;0.3;;;;73;10.9;947.6;;;;;0.8;;2.9;;74.7;;;;;;;;;133;;
BER;01.06.1864 00:00;14.3;27.3;4.7;;;;79.2;13.1;950.3;;;;;0.6;;2.2;;159.3;;;;;;;;;50.4;;
BER;01.07.1864 00:00;17.8;30.3;7;;;;74.4;15.3;950.7;;;;;1.1;;4;;47.3;;;;;;;;;0;;
BER;01.08.1864 00:00;15.7;30.8;3;;;;71.6;12.8;951.8;;;;;1.7;;6.1;;59.8;;;;;;;;;79.9;;
BER;01.09.1864 00:00;12.6;28;2.9;;;;84.1;12.4;952.1;;;;;;;;;54.4;;;;;;;;;131.7;;
BER;01.10.1864 00:00;6.2;18.5;-2;;;;86.6;8.4;944.4;;;;;0.6;;2.2;;29.7;;;;;;;;;428.2;;
BER;01.11.1864 00:00;2.5;12;-3.2;;;;89.6;6.8;945.2;;;;;;;;;52.2;;;;;;;;;523.5;;
BER;01.12.1864 00:00;-4.1;2.1;-10;;;;95;;;;;;;;;;;5.6;;;;;;;;;746.3;;
BER;01.01.1865 00:00;-0.3;11.6;-10;;;;89.1;;;;;;;;;;;81.6;;;;;;;;;630.5;;
BER;01.02.1865 00:00;-2.3;8.5;-15.5;;;;86.1;;;;;;;;;;;54.3;;;;;;;;;624;;
BER;01.03.1865 00:00;-1.2;7;-11.1;;;;84.3;;;;;;;;;;;57;;;;;;;;;658.1;;
BER;01.04.1865 00:00;12.3;26.4;;;;;67.9;;;;;;;;;;;16.9;;;;;;;;;129.8;;
BER;01.05.1865 00:00;15.1;28.2;1.7;;;;73.4;;;;;;;;;;;75.9;;;;;;;;;27.6;;
BER;01.06.1865 00:00;16.3;29;5.5;;;;62.2;;;;;;;;;;;20.2;;;;;;;;;8.4;;
BER;01.07.1865 00:00;19.1;33.7;7.6;;;;68.5;;;;;;;;;;;85.8;;;;;;;;;0;;
BER;01.08.1865 00:00;15.8;29.5;6;;;;81.5;;;;;;;;;;;167.1;;;;;;;;;9.5;;
BER;01.09.1865 00:00;15.8;28.2;5;;;;75;;;;;;;;;;;0.7;;;;;;;;;8.4;;
BER;01.10.1865 00:00;9.2;20.5;1;;;;83.3;;;;;;;;;;;91.6;;;;;;;;;305.8;;
BER;01.11.1865 00:00;3.5;17;-5;;;;89.4;;;;;;;;;;;73.7;;;;;;;;;493.6;;
BER;01.12.1865 00:00;-2.5;6;-11;;;;92.7;;958.7;;;;;;;;;27.6;;;;;;;;;697.2;;
BER;01.01.1866 00:00;2.2;9.9;-4.1;;;;86.2;;955;;;;;;;;;47.9;;;;;;;;;553.2;;
BER;01.02.1866 00:00;3.8;14.1;-3.5;;;;84.3;;947.4;;;;;;;;;118.2;;;;;;;;;454.2;;
BER;01.03.1866 00:00;3.7;14.5;-5.5;;;;85;;940.9;;;;;;;;;80.5;;;;;;;;;504;;
BER;01.04.1866 00:00;9.5;24;-0.8;;;;77.5;;949.3;;;;;;;;;102.8;;;;;;;;;261.4;;
BER;01.05.1866 00:00;10.1;22.6;0.1;;;;74.2;;949.3;;;;;;;;;121.8;;;;;;;;;224.2;;
BER;01.06.1866 00:00;17.5;28.4;6.1;;;;73.1;;952.6;;;;;;;;;71.1;;;;;;;;;8.8;;
BER;01.07.1866 00:00;17.5;31.7;7.9;;;;71;;952.2;;;;;;;;;57.7;;;;;;;;;0;;
BER;01.08.1866 00:00;14.9;26.3;5.2;;;;81.6;;948.5;;;;;;;;;152.5;;;;;;;;;28.3;;
BER;01.09.1866 00:00;13.9;25.6;2.9;;;;83.8;;948.7;;;;;;;;;61;;;;;;;;;91.3;;
BER;01.10.1866 00:00;8.7;22.9;0.1;;;;90.2;;952.3;;;;;;;;;45.7;;;;;;;;;317.6;;
BER;01.11.1866 00:00;3.2;15.3;-7;;;;86;;950.8;;;;;;;;;89;;;;;;;;;502.7;;
BER;01.12.1866 00:00;1.4;10.8;-9;;;;89.9;6.2;955.1;;;;;;;;;87.4;;;;;;;;;576.5;;
BER;01.01.1867 00:00;-1.8;11.2;-16.5;;;;;;942.8;;;;;;;;;158.2;;;;;;;;;675.6;;
BER;01.02.1867 00:00;4.8;14.5;-4.4;;;;86.1;7.4;957.4;;;;;;;;;48.6;;;;;;;;;424.2;;
BER;01.03.1867 00:00;3.9;18;-7.2;;;;88.6;7.5;942.5;;;;;;;;;131.4;;;;;;;;;499.2;;
BER;01.04.1867 00:00;8.4;19.4;-2.7;;;;75.4;8.3;949.5;;;;;;;;;139.3;;;;;;;;;325.4;;
BER;01.05.1867 00:00;13.1;31.5;-1.2;;;;75.9;11.5;949.1;;;;;;;;;85.8;;;;;;;;;178.8;;
BER;01.06.1867 00:00;15.6;31;2.4;;;;75.9;13.5;951.9;;;;;;;;;148.7;;;;;;;;;60.7;;
BER;01.07.1867 00:00;16.4;31.2;5.3;;;;73.7;13.8;951.3;;;;;;;;;75.6;;;;;;;;;16.9;;
BER;01.08.1867 00:00;17.8;32.7;8;;;;77.7;15.7;952;;;;;;;;;66.2;;;;;;;;;0;;
BER;01.09.1867 00:00;14.3;28.7;-0.9;;;;81.2;13.5;954.2;;;;;;;;;99.6;;;;;;;;;103.7;;
BER;01.10.1867 00:00;6.5;18;-1.2;;;;88.3;8.6;950.7;;;;;;;;;145;;;;;;;;;412;;
BER;01.11.1867 00:00;0.9;16.3;-10;;;;85.5;5.8;955.9;;;;;;;;;16.4;;;;;;;;;572.4;;
BER;01.12.1867 00:00;-2.6;10.9;-11.8;;;;89.5;4.8;947.6;;;;;;;;;86;;;;;;;;;700.6;;
BER;01.01.1868 00:00;-2.9;9.8;-14.9;;;;80.4;4.3;948.8;;;;;;;;;36;;;;;;;;;709.9;;
BER;01.02.1868 00:00;2.1;14.9;-9;;;;74.9;5.4;957.6;;;;;;;;;11;;;;;;;;;520.2;;
BER;01.03.1868 00:00;2.7;13.9;-6.7;;;;77.6;5.8;950;;;;;;;;;50.4;;;;;;;;;536;;
BER;01.04.1868 00:00;7.5;22.5;-2;;;;73.2;7.5;948.8;;;;;;;;;90.9;;;;;;;;;362.9;;
BER;01.05.1868 00:00;17.7;30;4.3;;;;67.6;13.6;951.1;;;;;;;;;48.8;;;;;;;;;0;;
BER;01.06.1868 00:00;17.2;29;3.6;;;;67.9;13.2;952.9;;;;;;;;;97.3;;;;;;;;;32.9;;
BER;01.07.1868 00:00;18.3;31.9;8;;;;73.4;15.5;950.6;;;;;;;;;104.5;;;;;;;;;0;;
BER;01.08.1868 00:00;17.4;30.9;5.5;;;;73.3;14.7;950.9;;;;;;;;;130.3;;;;;;;;;10.4;;
BER;01.09.1868 00:00;15.6;28;8;;;;78.1;13.6;948;;;;;;;;;129;;;;;;;;;9;;
BER;01.10.1868 00:00;8.4;17.7;-2.3;;;;87.3;9.9;950.7;;;;;;;;;101.1;;;;;;;;;316.3;;
BER;01.11.1868 00:00;0.3;14.7;-8.5;;;;87.7;5.6;948.9;;;;;;;;;39.8;;;;;;;;;592.1;;
BER;01.12.1868 00:00;4.5;15;-2.9;;;;84.8;7.3;947.2;;;;;;;;;194.3;;;;;;;;;480.7;;
BER;01.01.1869 00:00;-1.8;8.5;-16.3;;;;84.6;4.8;955.6;;;;;;;;;31.7;;;;;;;;;675.5;;
BER;01.02.1869 00:00;4.3;14.1;-3.1;;;;76.7;6.4;955.3;;;;;;;;;46.2;;;;;;;;;438.5;;
BER;01.03.1869 00:00;0.1;8.8;-10.9;;;;80.3;5;937.4;;;;;;;;;65.1;;;;;;;;;618.1;;
BER;01.04.1869 00:00;10.1;23.8;-2.3;;;;68;8.4;949.8;;;;;;;;;19.4;;;;;;;;;220.1;;
BER;01.05.1869 00:00;13.7;24;3.6;;;;76.9;12.2;945.4;;;;;;;;;152.7;;;;;;;;;52.9;;
BER;01.06.1869 00:00;13.6;26.8;3.9;;;;69.2;10.8;951.4;;;;;;;;;81.2;;;;;;;;;131;;
BER;01.07.1869 00:00;20;30.6;9.4;;;;68.7;16.1;952.8;;;;;;;;;88.9;;;;;;;;;0;;
BER;01.08.1869 00:00;15.7;28.5;6.5;;;;74.1;13.3;953.4;;;;;;;;;110.9;;;;;;;;;9.3;;
BER;01.09.1869 00:00;14.2;24.9;3.6;;;;76.5;12.3;951.5;;;;;;;;;79.9;;;;;;;;;54.7;;
BER;01.10.1869 00:00;6.1;21.2;-11.9;;;;79.4;8.1;952.6;;;;;;;;;108;;;;;;;;;400.4;;
BER;01.11.1869 00:00;3.6;12.5;-8;;;;79.1;6.4;950.2;;;;;;;;;110.6;;;;;;;;;492.7;;
BER;01.12.1869 00:00;-2.2;10.3;-18.8;;;;87.7;4.9;945.7;;;;;;;;;100.6;;;;;;;;;687.6;;
BER;01.01.1870 00:00;-2.2;10;-13;;;;78;4.3;950.9;;;;;;;;;33.2;;;;;;;;;688.2;;
BER;01.02.1870 00:00;-2.2;13.1;-13.6;;;;80.9;4.3;944.7;;;;;;;;;7.7;;;;;;;;;622.5;;
BER;01.03.1870 00:00;1.6;14.8;-10.5;;;;77.2;5.4;946.6;;;;;;;;;101;;;;;;;;;570.1;;
BER;01.04.1870 00:00;8.3;23;-2.9;;;;61.8;6.6;953.8;;;;;;;;;51;;;;;;;;;321.4;;
BER;01.05.1870 00:00;14.2;28.5;-1.2;;;;65.7;10.9;952.3;;;;;;;;;60.8;;;;;;;;;118.8;;
BER;01.06.1870 00:00;17.3;28.9;7.1;;;;54.4;10.5;953.1;;;;;;;;;50.9;;;;;;;;;26.4;;
BER;01.07.1870 00:00;19.6;33.5;8.8;;;;63.1;14.1;950.7;;;;;;;;;105.7;;;;;;;;;9.2;;
BER;01.08.1870 00:00;15.2;27.4;4.6;;;;75;13;947.9;;;;;;;;;107.1;;;;;;;;;61.4;;
BER;01.09.1870 00:00;12.2;23.1;2.1;;;;;;954.6;;;;;;;;;132;;;;;;;;;157.8;;
BER;01.10.1870 00:00;8.2;18.6;-1.8;;;;;;948.4;;;;;;;;;296.7;;;;;;;;;359.5;;
BER;01.11.1870 00:00;2.6;11.1;-3.2;;;;;;;;;;;;;;;84;;;;;;;;;521.5;;
BER;01.12.1870 00:00;-4.6;10.5;-16.3;;;;;;;;;;;;;;;75;;;;;;;;;763.2;;
BER;01.01.1871 00:00;-5.7;3.7;-14.1;;;;87.1;3.6;943.9;;;;;;;;;47;;;;;;;;;797.7;;
BER;01.02.1871 00:00;0.8;;;;;;79;5.1;955;;;;;;;;;46;;;;;;;;;537.5;;
BER;01.03.1871 00:00;3.6;;;;;;75.7;6;952;;;;;;;;;47;;;;;;;;;506.9;;
BER;01.04.1871 00:00;9.1;18.6;-2.9;;;;71.6;8.4;947.4;;;;;;;;;110;;;;;;;;;292.9;;
BER;01.05.1871 00:00;12.2;24.5;1.9;;;;63.1;9;948.8;;;;;;;;;23.1;;;;;;;;;163.6;;
BER;01.06.1871 00:00;12.8;29.4;2.9;;;;72.4;10.9;947.2;;;;;;;;;91;;;;;;;;;165.4;;
BER;01.07.1871 00:00;19;33.7;5.9;;;;71.1;15.8;951;;;;;;;;;118.8;;;;;;;;;8.3;;
BER;01.08.1871 00:00;17.5;28.1;6.1;;;;73;14.7;953.2;;;;;;;;;56.6;;;;;;;;;9.2;;
BER;01.09.1871 00:00;15.7;28;4.2;;;;76.9;13.8;949;;;;;;;;;46.8;;;;;;;;;35.5;;
BER;01.10.1871 00:00;6.5;16.5;-1.1;;;;85.2;8.5;950.7;;;;;;;;;89.9;;;;;;;;;410.5;;
BER;01.11.1871 00:00;-0.1;6.3;-9;;;;85.1;5.3;945.2;;;;;;;;;28.5;;;;;;;;;603.8;;
BER;01.12.1871 00:00;-7.7;3.9;-19.8;;;;86.1;3.1;953.3;;;;;;;;;8.4;;;;;;;;;860;;
BER;01.01.1872 00:00;-0.5;6.3;-12.1;;;;90.7;5.5;945.4;;;;;;;;;47.5;;;;;;;;;635.4;;
BER;01.02.1872 00:00;0.5;9.2;-9.4;;;;87.1;5.7;950;;;;;;;;;54.7;;;;;;;;;565.8;;
BER;01.03.1872 00:00;5.2;21.1;-3.5;;;;79;7;945.3;;;;;;;;;29.4;;;;;;;;;460;;
BER;01.04.1872 00:00;9;20.9;-1.7;;;;79.2;9;946;;;;;;;;;67.1;;;;;;;;;284;;
BER;01.05.1872 00:00;11.4;21.8;2.4;;;;76;10.4;947;;;;;;;;;168.8;;;;;;;;;162.2;;
BER;01.06.1872 00:00;15.7;26.9;4.5;;;;68.1;12.2;950.1;;;;;;;;;131.2;;;;;;;;;62.5;;
BER;01.07.1872 00:00;19;32.1;8.8;;;;69.9;15.7;950.4;;;;;;;;;108.2;;;;;;;;;0;;
BER;01.08.1872 00:00;16;25.2;8.6;;;;78.9;14.4;950.6;;;;;;;;;149.8;;;;;;;;;0;;
BER;01.09.1872 00:00;14.8;28.1;3.3;;;;75.5;13;951;;;;;;;;;42.4;;;;;;;;;98.4;;
BER;01.10.1872 00:00;8.9;19;-1.2;;;;85.7;10;945.1;;;;;;;;;96.9;;;;;;;;;324.2;;
BER;01.11.1872 00:00;5.7;16.1;-2.6;;;;83.5;7.9;947.2;;;;;;;;;70.4;;;;;;;;;428.7;;
