station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BIA;01.01.1900 00:00;;;;;;;;;;;;;;;;;;141.5;;;;;;;;;;;
BIA;01.02.1900 00:00;;;;;;;;;;;;;;;;;;153.1;;;;;;;;;;;
BIA;01.03.1900 00:00;;;;;;;;;;;;;;;;;;110.9;;;;;;;;;;;
BIA;01.04.1900 00:00;;;;;;;;;;;;;;;;;;16.8;;;;;;;;;;;
BIA;01.05.1900 00:00;;;;;;;;;;;;;;;;;;178.1;;;;;;;;;;;
BIA;01.06.1900 00:00;;;;;;;;;;;;;;;;;;38.8;;;;;;;;;;;
BIA;01.07.1900 00:00;;;;;;;;;;;;;;;;;;99.2;;;;;;;;;;;
BIA;01.08.1900 00:00;;;;;;;;;;;;;;;;;;444.8;;;;;;;;;;;
BIA;01.09.1900 00:00;;;;;;;;;;;;;;;;;;193.7;;;;;;;;;;;
BIA;01.10.1900 00:00;;;;;;;;;;;;;;;;;;63.3;;;;;;;;;;;
BIA;01.11.1900 00:00;;;;;;;;;;;;;;;;;;286.9;;;;;;;;;;;
BIA;01.12.1900 00:00;;;;;;;;;;;;;;;;;;16.5;;;;;;;;;;;
BIA;01.01.1901 00:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
BIA;01.02.1901 00:00;;;;;;;;;;;;;;;;;;98.7;;;;;;;;;;;
BIA;01.03.1901 00:00;;;;;;;;;;;;;;;;;;259.8;;;;;;;;;;;
BIA;01.04.1901 00:00;;;;;;;;;;;;;;;;;;203.5;;;;;;;;;;;
BIA;01.05.1901 00:00;;;;;;;;;;;;;;;;;;72.3;;;;;;;;;;;
