station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BIZ;01.10.1900 00:00;;;;;;;;;;;;;;;;;;87.8;;;;;;;;;;;
BIZ;01.11.1900 00:00;;;;;;;;;;;;;;;;;;59.5;;;;;;;;;;;
BIZ;01.12.1900 00:00;;;;;;;;;;;;;;;;;;46.5;;;;;;;;;;;
BIZ;01.01.1901 00:00;;;;;;;;;;;;;;;;;;36.6;;;;;;;;;;;
BIZ;01.02.1901 00:00;;;;;;;;;;;;;;;;;;25.2;;;;;;;;;;;
BIZ;01.03.1901 00:00;;;;;;;;;;;;;;;;;;88.2;;;;;;;;;;;
BIZ;01.04.1901 00:00;;;;;;;;;;;;;;;;;;180.1;;;;;;;;;;;
BIZ;01.05.1901 00:00;;;;;;;;;;;;;;;;;;33.9;;;;;;;;;;;
BIZ;01.06.1901 00:00;;;;;;;;;;;;;;;;;;146.6;;;;;;;;;;;
BIZ;01.07.1901 00:00;;;;;;;;;;;;;;;;;;101.2;;;;;;;;;;;
BIZ;01.08.1901 00:00;;;;;;;;;;;;;;;;;;159.9;;;;;;;;;;;
BIZ;01.09.1901 00:00;;;;;;;;;;;;;;;;;;128.9;;;;;;;;;;;
BIZ;01.10.1901 00:00;;;;;;;;;;;;;;;;;;55.9;;;;;;;;;;;
BIZ;01.11.1901 00:00;;;;;;;;;;;;;;;;;;38.5;;;;;;;;;;;
BIZ;01.12.1901 00:00;;;;;;;;;;;;;;;;;;43.2;;;;;;;;;;;
BIZ;01.01.1902 00:00;;;;;;;;;;;;;;;;;;25.8;;;;;;;;;;;
BIZ;01.02.1902 00:00;;;;;;;;;;;;;;;;;;62.1;;;;;;;;;;;
BIZ;01.03.1902 00:00;;;;;;;;;;;;;;;;;;70.2;;;;;;;;;;;
BIZ;01.04.1902 00:00;;;;;;;;;;;;;;;;;;45.8;;;;;;;;;;;
BIZ;01.05.1902 00:00;;;;;;;;;;;;;;;;;;174.4;;;;;;;;;;;
BIZ;01.06.1902 00:00;;;;;;;;;;;;;;;;;;95.2;;;;;;;;;;;
