station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BLA;01.03.2001 00:00;1.7;14;-10.5;;;;82.6;5.5;;;;;;3.5;;12.6;;190;;;;;;;;0;566.9;318.9;
BLA;01.04.2001 00:00;1.5;13.8;-10.5;;;;75.1;4.9;;;;;;3.3;;11.9;;127.2;;;;;;;;0;556.2;316.2;
BLA;01.05.2001 00:00;9.9;24.6;-2.5;;;;70.5;8.2;;;;;;3.1;;11.2;;45.2;;;;;;;;0;290.2;74.2;
BLA;01.06.2001 00:00;10.1;26.5;-3;;;;73.1;8.6;;;;;;3.3;;11.9;;165;;;;;;;;0;247.4;79.4;
BLA;01.07.2001 00:00;12.9;26;0;;;;74.6;10.9;;;;;;3.6;;13;;125.1;;;;;;;;0;96.1;24.1;
BLA;01.08.2001 00:00;13.5;26.5;1.3;;;;77.7;11.6;;;;;;3.2;;11.5;;82.9;;;;;;;;0;77.1;13.1;
BLA;01.09.2001 00:00;6.4;18.5;-5.3;;;;80.1;7.6;;;;;;3.1;;11.2;;83.7;;;;;;;;0;408.9;168.9;
BLA;01.10.2001 00:00;7.3;22.6;-2.5;;;;76.6;7.8;;;;;;2.5;;9;;32.9;;;;;;;;0;393;145;
BLA;01.11.2001 00:00;-2.1;13.2;-14.4;;;;82.8;4.5;;;;;;3;;11.2;;66.5;;;;;;;;0;662.8;422.8;
BLA;01.12.2001 00:00;-6.9;7.5;-22;;;;76.1;3.1;;;;;;3.9;;14;;82.3;;;;;;;;0;835.3;587.3;
BLA;01.01.2002 00:00;-7;8.3;-19.2;;;;79.5;3.1;;;;;;2.5;;9;;27.4;;;;;;;;0;838.3;590.3;
BLA;01.02.2002 00:00;-1.4;8.7;-19.5;;;;79.8;4.5;;;;;;3.3;;11.9;;108.4;;;;;;;;0;598.7;374.7;
BLA;01.03.2002 00:00;0.8;13;-12;;;;69.5;4.4;;;;;;3.3;;11.9;;111.2;;;;;;;;0;594.9;346.9;
BLA;01.04.2002 00:00;3.8;16.3;-6.5;;;;69.5;5.2;;;;;;3.8;;13.7;;30.1;;;;;;;;0;486.7;246.7;
BLA;01.05.2002 00:00;7.1;21;-6.4;;;;74.9;7.3;;;;;;2.7;;9.7;;173.2;;;;;;;;0;392.9;152.9;
BLA;01.06.2002 00:00;13.2;28.5;-1;;;;70.7;10.3;;;;;;2.1;;7.6;;132.9;;;;;;;;2.3;136.2;32.2;
BLA;01.07.2002 00:00;12.6;25;2.5;;;;74.4;10.6;;;;;;2.8;;10.1;;101.2;;;;;;;;0;123.4;11.4;
BLA;01.08.2002 00:00;11.6;23.5;2.5;;;;79.9;10.7;;;;;;2.2;;7.9;;142.6;;;;;;;;0;149.3;29.3;
BLA;01.09.2002 00:00;8.1;22.5;-3;;;;82.7;8.9;;;;;;2.5;;9;;84.1;;;;;;;;0;351.6;119.6;
BLA;01.10.2002 00:00;4.3;17;-7.5;;;;79.2;6.7;;;;;;2.6;;9.4;;92.5;;;;;;;;0;486.5;238.5;
BLA;01.11.2002 00:00;0;14;-12;;;;86.9;5.5;;;;;;2.7;;9.7;;290.8;;;;;;;;0;600.9;360.9;
BLA;01.12.2002 00:00;-2.6;8.5;-12;;;;85.7;4.6;;;;;;2.2;;10.1;;98;;;;;;;;0;699.6;451.6;
BLA;01.01.2003 00:00;-7.6;4;-21;;;;85.5;3.3;;;;;;3.8;;13.7;;109.1;;;;;;;;0;854.8;606.8;
BLA;01.02.2003 00:00;-8.3;6.5;-23;;;;74.4;2.6;;;;;;3;;12.2;;58.1;;;;;;;;0;793;569;
BLA;01.03.2003 00:00;0.7;12;-11.5;;;;69.9;4.3;;;;;;;;;;7.2;;;;;;;;0;597.5;349.5;
BLA;01.04.2003 00:00;3.4;18;-12.8;;;;69;5.2;;;;;;;;;;37.4;;;;;;;;0;499.2;259.2;
BLA;01.05.2003 00:00;9.3;22;-5.9;;;;72.7;8.2;;;;;;;;;;59.8;;;;;;;;0;298.7;90.7;
BLA;01.06.2003 00:00;15.3;27;2.5;;;;70.5;11.5;;;;;;;;;;73.8;;;;;;;;0.2;0;0;
BLA;01.07.2003 00:00;14;27.5;2;;;;71.7;11;;;;;;;;;;94.1;;;;;;;;0.2;63.7;7.7;
BLA;01.08.2003 00:00;15.3;28.6;3.5;;;;72.1;11.6;;;;;;;;;;62.2;;;;;;;;3.8;37.5;5.5;
BLA;01.09.2003 00:00;8.9;24;-1.5;;;;77;8.4;;;;;;;;;;29.7;;;;;;;;0;318;94;
BLA;01.10.2003 00:00;1.8;18.5;-12;;;;80.3;5.9;;;;;;;;;;103.6;;;;;;;;0;564.1;316.1;
BLA;01.11.2003 00:00;0.5;12;-9.8;;;;82.2;6;;;;;;;;;;31.7;;;;;;;;0;583.6;343.6;
BLA;01.12.2003 00:00;-3.6;7;-16;;;;79.4;3.9;;;;;;;;;;41.9;;;;;;;;0;732.8;484.8;
BLA;01.01.2004 00:00;-5.5;6;-21;;;;84.2;3.7;;;;;;;;;;178.8;;;;;;;;0;790.6;542.6;
BLA;01.02.2004 00:00;-4.1;12;-20;;;;72.7;3.5;;;;;;3.4;;;;19.1;;;;;;;;0;697.7;465.7;
BLA;01.03.2004 00:00;-1.7;13;-19;;;;72;3.9;;;;;;2.9;;;;24.6;;;;;;;;0;674;426;
BLA;01.04.2004 00:00;2.8;15.5;-10;;;;72.7;5.2;;;;;;3.6;;;;30;;;;;;;;0;514.6;274.6;
BLA;01.05.2004 00:00;6.5;20;-5.5;;;;71.1;6.6;;;;;;3.7;;;;57.9;;;;;;;;0;411.2;171.2;
BLA;01.06.2004 00:00;11.2;25;-1;;;;70.7;8.9;;;;;;3.2;;;;77.8;;;;;;;;0;214.7;46.7;
BLA;01.07.2004 00:00;12.5;26.5;-1;;;;70.9;10;;;;;;3.6;;14;;50.1;;;;;;;;0;116.1;28.1;
BLA;01.08.2004 00:00;12.7;26.2;-1;;;;75.8;10.9;;;;;;3.1;;;;131.1;;;;;;;;0;140.3;28.3;
BLA;01.09.2004 00:00;9.8;24;-3;;;;77.4;9.2;;;;;;3.2;;;;54.9;;;;;;;;0;248.3;80.3;
BLA;01.10.2004 00:00;6;20.2;-3;;;;83.3;8;;;;;;2.7;;11.5;;103.8;;;;;;;;0;433;185;
BLA;01.11.2004 00:00;-1.8;15;-12.5;;;;80.8;4.7;;;;;;3.9;;;;104;;;;;;;;0;652.7;412.7;
BLA;01.12.2004 00:00;-6.4;5;-20;;;;83.2;3.4;;;;;;3.3;;14;;50.3;;;;;;;;0;817;569;
BLA;01.01.2005 00:00;-8.3;6;-22.5;;;;79.1;2.9;;;;;;3.6;;;;73.1;;;;;;;;0;876.1;628.1;
BLA;01.02.2005 00:00;-9.3;3.3;-21.5;;;;76.3;2.6;;;;;;4;;;;69;;;;;;;;0;819.3;595.3;
BLA;01.03.2005 00:00;-1.7;13;-23;;;;71.7;4.1;;;;;;3;;;;19.3;;;;;;;;0;673.3;425.3;
BLA;01.04.2005 00:00;3.5;19.5;-10.4;;;;72.3;5.3;;;;;;3.6;;;;82.7;;;;;;;;0;496;256;
