station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BUF;01.01.1917 00:00;-12.6;;-30.5;;;;;;;;;;;;;;;115;;;;;;;;;1010.2;;
BUF;01.02.1917 00:00;-12.2;;-30.5;;;;;;;;;;;;;;;8;;;;;;;;;900.2;;
BUF;01.03.1917 00:00;-8.2;;-25.5;;;;;;;;;;;;;;;35.9;;;;;;;;;873.9;;
BUF;01.04.1917 00:00;-4.1;;-18.5;;;;;;;;;;;;;;;70.7;;;;;;;;;721.7;;
BUF;01.05.1917 00:00;4.7;;-4.5;;;;;;;;;;;;;;;79.4;;;;;;;;;473.9;;
BUF;01.06.1917 00:00;9.2;;0.1;;;;;;;;;;;;;;;124.7;;;;;;;;;315.9;;
BUF;01.07.1917 00:00;9.4;;-1.5;;;;;;;;;;;;;;;110.4;;;;;;;;;297.8;;
BUF;01.08.1917 00:00;8.6;;-0.5;;;;;;;;;;;;;;;162.1;;;;;;;;;338.9;;
BUF;01.09.1917 00:00;7.2;;-2;;;;;;;;;;;;;;;42.6;;;;;;;;;385.4;;
BUF;01.10.1917 00:00;-1.7;;-18.5;;;;;;;;;;;;;;;189.8;;;;;;;;;671.2;;
BUF;01.11.1917 00:00;-7;;-24;;;;;;;;;;;;;;;19.5;;;;;;;;;808.9;;
BUF;01.12.1917 00:00;-11.9;;-28.5;;;;;;;;;;;;;;;26.9;;;;;;;;;987.4;;
BUF;01.01.1918 00:00;-9.5;;-30.5;;;;;;;;;;;;;;;9.8;;;;;;;;;916;;
BUF;01.02.1918 00:00;-8.7;;-27.5;;;;;;;;;;;;;;;15.8;;;;;;;;;802.2;;
BUF;01.03.1918 00:00;-5.8;;-21.5;;;;;;;;;;;;;;;76.8;;;;;;;;;800.9;;
BUF;01.04.1918 00:00;0.7;;-14;;;;;;;;;;;;;;;38;;;;;;;;;580.4;;
BUF;01.05.1918 00:00;5.1;;-2.5;;;;;;;;;;;;;;;24;;;;;;;;;460.6;;
BUF;01.06.1918 00:00;5.5;;-4.5;;;;;;;;;;;;;;;102.5;;;;;;;;;434.4;;
BUF;01.07.1918 00:00;10;;-3.5;;;;;;;;;;;;;;;18.8;;;;;;;;;247.2;;
BUF;01.08.1918 00:00;9.3;;-5.5;;;;;;;;;;;;;;;33.1;;;;;;;;;289.1;;
BUF;01.09.1918 00:00;7.4;;-1.5;;;;;;;;;;;;;;;202.3;;;;;;;;;378;;
BUF;01.10.1918 00:00;0.1;;-9.5;;;;;;;;;;;;;;;114.4;;;;;;;;;618.3;;
BUF;01.11.1918 00:00;-5.2;;-16.5;;;;;;;;;;;;;;;13.5;;;;;;;;;756.8;;
BUF;01.12.1918 00:00;-7.7;;-26;;;;;;;;;;;;;;;119.5;;;;;;;;;859.2;;
BUF;01.01.1919 00:00;-10.2;;-32;;;;;;;;;;;;;;;120.5;;;;;;;;;935.1;;
BUF;01.02.1919 00:00;-9.8;;-33.5;;;;;;;;;;;;;;;21;;;;;;;;;833.1;;
BUF;01.03.1919 00:00;-5.6;;-23;;;;;;;;;;;;;;;35.5;;;;;;;;;795;;
BUF;01.04.1919 00:00;-2.6;;-20.5;;;;;;;;;;;;;;;83;;;;;;;;;678.8;;
BUF;01.05.1919 00:00;1.9;;-17.5;;;;;;;;;;;;;;;1.9;;;;;;;;;561.7;;
BUF;01.06.1919 00:00;7.6;;-3.5;;;;;;;;;;;;;;;64.6;;;;;;;;;356.4;;
BUF;01.07.1919 00:00;7.4;;-2.5;;;;;;;;;;;;;;;117.2;;;;;;;;;383.4;;
BUF;01.08.1919 00:00;12.3;;-5.5;;;;;;;;;;;;;;;42.3;;;;;;;;;142.3;;
BUF;01.09.1919 00:00;8;;-6.5;;;;;;;;;;;;;;;52.5;;;;;;;;;352.6;;
BUF;01.10.1919 00:00;-3.2;;-22.5;;;;;;;;;;;;;;;74.3;;;;;;;;;719.6;;
BUF;01.11.1919 00:00;-7.3;;-26.5;;;;;;;;;;;;;;;89.4;;;;;;;;;819.2;;
BUF;01.12.1919 00:00;-8.9;;-27;;;;;;;;;;;;;;;84.1;;;;;;;;;897;;
BUF;01.01.1920 00:00;-6.1;;-29;;;;;;;;;;;;;;;83.7;;;;;;;;;808;;
BUF;01.02.1920 00:00;-7.5;;-20.5;;;;;;;;;;;;;;;8.5;;;;;;;;;796.2;;
BUF;01.03.1920 00:00;-3.3;;-23;;;;;;;;;;;;;;;71.4;;;;;;;;;722.6;;
BUF;01.04.1920 00:00;-0.2;;-15;;;;;;;;;;;;;;;122.8;;;;;;;;;604.7;;
BUF;01.05.1920 00:00;6;;-14.5;;;;;;;;;;;;;;;77.1;;;;;;;;;426.8;;
BUF;01.06.1920 00:00;8.9;;-3;;;;;;;;;;;;;;;80;;;;;;;;;309.4;;
BUF;01.07.1920 00:00;11.5;;-0.5;;;;;;;;;;;;;;;152.7;;;;;;;;;184.1;;
BUF;01.08.1920 00:00;9.1;;-3;;;;;;;;;;;;;;;87.9;;;;;;;;;289.2;;
BUF;01.09.1920 00:00;7.4;;-0.5;;;;;;;;;;;;;;;197.8;;;;;;;;;378.9;;
BUF;01.10.1920 00:00;2.8;;-11.5;;;;;;;;;;;;;;;30;;;;;;;;;533.1;;
BUF;01.11.1920 00:00;-4;;-16;;;;;;;;;;;;;;;12.3;;;;;;;;;720.5;;
BUF;01.12.1920 00:00;-7.6;;-20;;;;;;;;;;;;;;;37.5;;;;;;;;;856.9;;
BUF;01.01.1921 00:00;-6.6;;-20;;;;;;;;;;;;;;;81.1;;;;;;;;;825.3;;
BUF;01.02.1921 00:00;-9.9;;-22;;;;;;;;;;;;;;;8.5;;;;;;;;;838.3;;
BUF;01.03.1921 00:00;-4.9;;-17;;;;;;;;;;;;;;;5.8;;;;;;;;;771.8;;
