station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CHA;01.01.1981 00:00;-4.7;4.5;-13.8;;;;71.3;2.9;;;;;;;;;;191.9;61;;;;5699;35;;0;765;517;185.6
CHA;01.02.1981 00:00;-5.1;9.4;-14.2;;;;74.5;3;;;;;;;;;;58.8;123;;;;8644;51;;0;701.6;477.6;49.8
CHA;01.03.1981 00:00;0.8;12.6;-9.8;;;;89.3;5.8;;;;;;11.8;33.3;42.5;119.9;133.5;127;;;;4431;20;;0;596.6;348.6;133.6
CHA;01.04.1981 00:00;2.6;12.7;-8.3;;;;82.4;6.3;;;;;;8.5;23.6;30.6;85;22.5;206;;;;10675;44;;0;521.8;281.8;13.7
CHA;01.05.1981 00:00;4.7;16.9;-4.7;;;;86.1;7.4;;;;;;8.4;29.3;30.2;105.5;138.4;180;;;;6595;24;;0;458.1;226.1;128
CHA;01.06.1981 00:00;8;19.2;-0.8;;;;85.6;9.3;;;;;;8.6;29.1;31;104.8;60.8;210;;;;8401;31;;0;317.1;133.1;22.2
CHA;01.07.1981 00:00;9.2;21.4;1.9;;;;89.1;10.4;;;;;;8;30.7;28.8;110.5;121;176;;;;6890;25;;0;287;103;76.8
CHA;01.08.1981 00:00;10.9;21.6;2.6;;;;81.9;10.8;;;;;;7.5;31.4;27;113;34.7;236;;;;13960;54;;0;219.7;67.7;-55.6
CHA;01.09.1981 00:00;8.4;16.8;0.8;;;;87.6;9.7;;;;;;8.2;27.9;29.5;100.4;100.4;126;;;;5591;25;;0;319.7;111.7;80
CHA;01.10.1981 00:00;3;15.1;-5.3;;;;85.1;6.5;;;;;;12.8;43.7;46.1;157.3;238;77;;;;3567;18;;0;518.6;278.6;172.2
CHA;01.11.1981 00:00;0;12.9;-10.7;;;;74.3;4.7;;;;;;10.4;40.3;37.4;145.1;76.9;86;;;;9165;56;;0;599.6;359.6;50.4
CHA;01.12.1981 00:00;-4.7;2.5;-16.1;;;;90.7;4;;;;;;14.1;49.8;50.8;179.3;468.9;35;;;;1654;11;;0;766.3;518.3;476.6
CHA;01.01.1982 00:00;-1.4;7.7;-14;;;;81.8;4.5;;;;;;9.4;34;33.8;122.4;157.6;60;;;;5203;32;;0;663.9;415.9;153.6
CHA;01.02.1982 00:00;-2.1;5.7;-14.5;;;;75.8;4;834.3;;;;;7.5;22.7;27;81.7;35.8;120;;;;8596;51;;0;619.8;395.8;28.9
CHA;01.03.1982 00:00;-3.2;5.4;-10.6;;;;84.5;4.2;833.2;;;;;11.3;57;40.7;205.2;170.1;116;;;;5462;25;25.5;0;718.5;470.5;174.4
CHA;01.04.1982 00:00;-0.6;10.4;-9;;;;76.5;4.5;834.2;;;;;9.6;35.3;34.6;127.1;10.6;240;;;;13615;57;52.1;0;618.3;378.3;0.9
CHA;01.05.1982 00:00;5.6;16.4;-5.1;;;;75.6;6.9;839.3;;;;;7.5;30.1;27;108.4;92.4;227;;;;11698;43;83.8;0;445.7;197.7;67.3
CHA;01.06.1982 00:00;9.4;18.6;0.5;;;;82.3;9.7;838.7;;1515;;;7.9;31.5;28.4;113.4;222.4;190;;;;7647;28;73.7;0;263.4;87.4;182.9
CHA;01.07.1982 00:00;12.7;21.5;4.8;;;;77.8;11.3;841;;1531.1;;;7.2;32.3;25.9;116.3;138.8;234;;;;12415;45;103.8;0;140;36;35.1
CHA;01.08.1982 00:00;9.9;19.5;2.8;;;;86;10.5;839.6;;1517.5;;;7.7;26.7;27.7;96.1;135.5;164;;;;7580;30;67.3;0;276.8;76.8;87.9
