station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CHU;01.01.1887 00:00;-4.6;;;;;;;;947;;;;;;;;;8;;;;;;;;;761.2;;
CHU;01.02.1887 00:00;-1;;;;;;;;952.7;;;;;;;;;1.4;;;;;;;;;589.1;;
CHU;01.03.1887 00:00;1.9;;;;;;;;945.3;;;;;;;;;41.9;;;;;;;;;560;;
CHU;01.04.1887 00:00;8;;;;;;;;943.5;;;;;;;;;12;;;;;;;;;328.2;;
CHU;01.05.1887 00:00;10.2;;;;;;;;945.5;;;;;;;;;54.1;;;;;;;;;269.1;;
CHU;01.06.1887 00:00;17.1;;;;;;;;951.6;;;;;;;;;8.8;;;;;;;;;8.1;;
CHU;01.07.1887 00:00;18.8;;;;;;;;951.3;;;;;;;;;61.3;;;;;;;;;0;;
CHU;01.08.1887 00:00;16.7;;;;;;;;948.9;;;;;;;;;84.7;;;;;;;;;35.5;;
CHU;01.09.1887 00:00;12.6;;;;;;;;947.7;;;;;;;;;70.5;;;;;;;;;148.3;;
CHU;01.10.1887 00:00;4.8;;;;;;;;946.8;;;;;;;;;31;;;;;;;;;472.2;;
CHU;01.11.1887 00:00;4.1;;;;;;;;938.9;;;;;;;;;17.4;;;;;;;;;475.6;;
CHU;01.12.1887 00:00;-1.8;;;;;;;;941.7;;;;;;;;;81.2;;;;;;;;;676.9;;
CHU;01.01.1888 00:00;-2.6;;;;;;;;951;;;;;;;;;19.5;;;;;;;;;701.8;;
CHU;01.02.1888 00:00;-1.6;;;;;;;;937.7;;;;;;;;;84.5;;;;;;;;;626.5;;
CHU;01.03.1888 00:00;2.3;;;;;;;;935.8;;;;;;;;;79;;;;;;;;;547.3;;
CHU;01.04.1888 00:00;6.2;;;;;;;;940.9;;;;;;;;;68.4;;;;;;;;;400;;
CHU;01.05.1888 00:00;13.5;;;;;;;;949.2;;;;;;;;;17.6;;;;;;;;;89.5;;
CHU;01.06.1888 00:00;16;;;;;;;;947.6;;;;;;;;;81.5;;;;;;;;;40.3;;
