station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
DEM;01.08.1892 00:00;;;;;;;;;;;;;;;;;;89.9;;;;;;;;;;;
DEM;01.09.1892 00:00;;;;;;;;;;;;;;;;;;118.9;;;;;;;;;;;
DEM;01.10.1892 00:00;;;;;;;;;;;;;;;;;;109.5;;;;;;;;;;;
DEM;01.11.1892 00:00;;;;;;;;;;;;;;;;;;42.5;;;;;;;;;;;
DEM;01.12.1892 00:00;;;;;;;;;;;;;;;;;;36.1;;;;;;;;;;;
DEM;01.01.1893 00:00;;;;;;;;;;;;;;;;;;36.8;;;;;;;;;;;
DEM;01.02.1893 00:00;;;;;;;;;;;;;;;;;;84.2;;;;;;;;;;;
DEM;01.03.1893 00:00;;;;;;;;;;;;;;;;;;25.3;;;;;;;;;;;
DEM;01.04.1893 00:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
DEM;01.05.1893 00:00;;;;;;;;;;;;;;;;;;23.3;;;;;;;;;;;
DEM;01.06.1893 00:00;;;;;;;;;;;;;;;;;;87.5;;;;;;;;;;;
DEM;01.07.1893 00:00;;;;;;;;;;;;;;;;;;111.8;;;;;;;;;;;
DEM;01.08.1893 00:00;;;;;;;;;;;;;;;;;;9.5;;;;;;;;;;;
DEM;01.09.1893 00:00;;;;;;;;;;;;;;;;;;111.4;;;;;;;;;;;
DEM;01.10.1893 00:00;;;;;;;;;;;;;;;;;;50.6;;;;;;;;;;;
DEM;01.11.1893 00:00;;;;;;;;;;;;;;;;;;69.2;;;;;;;;;;;
DEM;01.12.1893 00:00;;;;;;;;;;;;;;;;;;19.4;;;;;;;;;;;
DEM;01.01.1894 00:00;;;;;;;;;;;;;;;;;;30.7;;;;;;;;;;;
DEM;01.02.1894 00:00;;;;;;;;;;;;;;;;;;25.6;;;;;;;;;;;
DEM;01.03.1894 00:00;;;;;;;;;;;;;;;;;;45.8;;;;;;;;;;;
DEM;01.04.1894 00:00;;;;;;;;;;;;;;;;;;81.4;;;;;;;;;;;
DEM;01.05.1894 00:00;;;;;;;;;;;;;;;;;;157.3;;;;;;;;;;;
DEM;01.06.1894 00:00;;;;;;;;;;;;;;;;;;85.8;;;;;;;;;;;
DEM;01.07.1894 00:00;;;;;;;;;;;;;;;;;;174;;;;;;;;;;;
DEM;01.08.1894 00:00;;;;;;;;;;;;;;;;;;81.4;;;;;;;;;;;
DEM;01.09.1894 00:00;;;;;;;;;;;;;;;;;;98.8;;;;;;;;;;;
DEM;01.10.1894 00:00;;;;;;;;;;;;;;;;;;99.3;;;;;;;;;;;
DEM;01.11.1894 00:00;;;;;;;;;;;;;;;;;;29.3;;;;;;;;;;;
DEM;01.12.1894 00:00;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;
DEM;01.01.1895 00:00;;;;;;;;;;;;;;;;;;85.2;;;;;;;;;;;
DEM;01.02.1895 00:00;;;;;;;;;;;;;;;;;;10.7;;;;;;;;;;;
DEM;01.03.1895 00:00;;;;;;;;;;;;;;;;;;48.2;;;;;;;;;;;
DEM;01.04.1895 00:00;;;;;;;;;;;;;;;;;;91.8;;;;;;;;;;;
DEM;01.05.1895 00:00;;;;;;;;;;;;;;;;;;55.8;;;;;;;;;;;
DEM;01.06.1895 00:00;;;;;;;;;;;;;;;;;;104.6;;;;;;;;;;;
DEM;01.07.1895 00:00;;;;;;;;;;;;;;;;;;53.9;;;;;;;;;;;
DEM;01.08.1895 00:00;;;;;;;;;;;;;;;;;;73.3;;;;;;;;;;;
