station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
EBK;01.08.1879 00:00;;;;;;;;;;;;;;;;;;177.8;;;;;;;;;;;
EBK;01.09.1879 00:00;;;;;;;;;;;;;;;;;;157.9;;;;;;;;;;;
EBK;01.10.1879 00:00;;;;;;;;;;;;;;;;;;130.5;;;;;;;;;;;
EBK;01.11.1879 00:00;;;;;;;;;;;;;;;;;;164.1;;;;;;;;;;;
EBK;01.12.1879 00:00;;;;;;;;;;;;;;;;;;85.5;;;;;;;;;;;
EBK;01.01.1880 00:00;;;;;;;;;;;;;;;;;;30.6;;;;;;;;;;;
EBK;01.02.1880 00:00;;;;;;;;;;;;;;;;;;63.8;;;;;;;;;;;
EBK;01.03.1880 00:00;;;;;;;;;;;;;;;;;;73.6;;;;;;;;;;;
EBK;01.04.1880 00:00;;;;;;;;;;;;;;;;;;171.5;;;;;;;;;;;
EBK;01.05.1880 00:00;;;;;;;;;;;;;;;;;;124.9;;;;;;;;;;;
EBK;01.06.1880 00:00;;;;;;;;;;;;;;;;;;183.4;;;;;;;;;;;
EBK;01.07.1880 00:00;;;;;;;;;;;;;;;;;;191.7;;;;;;;;;;;
EBK;01.08.1880 00:00;;;;;;;;;;;;;;;;;;200.3;;;;;;;;;;;
EBK;01.09.1880 00:00;;;;;;;;;;;;;;;;;;185;;;;;;;;;;;
EBK;01.10.1880 00:00;;;;;;;;;;;;;;;;;;286;;;;;;;;;;;
EBK;01.11.1880 00:00;;;;;;;;;;;;;;;;;;57.3;;;;;;;;;;;
EBK;01.12.1880 00:00;;;;;;;;;;;;;;;;;;255.3;;;;;;;;;;;
EBK;01.01.1881 00:00;;;;;;;;;;;;;;;;;;41.2;;;;;;;;;;;
EBK;01.02.1881 00:00;;;;;;;;;;;;;;;;;;104.9;;;;;;;;;;;
EBK;01.03.1881 00:00;;;;;;;;;;;;;;;;;;156.1;;;;;;;;;;;
EBK;01.04.1881 00:00;;;;;;;;;;;;;;;;;;131.5;;;;;;;;;;;
EBK;01.05.1881 00:00;;;;;;;;;;;;;;;;;;111.9;;;;;;;;;;;
EBK;01.06.1881 00:00;;;;;;;;;;;;;;;;;;180.4;;;;;;;;;;;
EBK;01.07.1881 00:00;;;;;;;;;;;;;;;;;;107.1;;;;;;;;;;;
EBK;01.08.1881 00:00;;;;;;;;;;;;;;;;;;245.5;;;;;;;;;;;
EBK;01.09.1881 00:00;;;;;;;;;;;;;;;;;;265.3;;;;;;;;;;;
EBK;01.10.1881 00:00;;;;;;;;;;;;;;;;;;128.7;;;;;;;;;;;
EBK;01.11.1881 00:00;;;;;;;;;;;;;;;;;;32.7;;;;;;;;;;;
EBK;01.12.1881 00:00;;;;;;;;;;;;;;;;;;54.6;;;;;;;;;;;
EBK;01.01.1882 00:00;;;;;;;;;;;;;;;;;;46.5;;;;;;;;;;;
EBK;01.02.1882 00:00;;;;;;;;;;;;;;;;;;72.2;;;;;;;;;;;
EBK;01.03.1882 00:00;;;;;;;;;;;;;;;;;;69.1;;;;;;;;;;;
EBK;01.04.1882 00:00;;;;;;;;;;;;;;;;;;119.1;;;;;;;;;;;
EBK;01.05.1882 00:00;;;;;;;;;;;;;;;;;;121.2;;;;;;;;;;;
EBK;01.06.1882 00:00;;;;;;;;;;;;;;;;;;272.9;;;;;;;;;;;
EBK;01.07.1882 00:00;;;;;;;;;;;;;;;;;;290.2;;;;;;;;;;;
EBK;01.08.1882 00:00;;;;;;;;;;;;;;;;;;157.7;;;;;;;;;;;
EBK;01.09.1882 00:00;;;;;;;;;;;;;;;;;;254.4;;;;;;;;;;;
EBK;01.10.1882 00:00;;;;;;;;;;;;;;;;;;146.3;;;;;;;;;;;
EBK;01.11.1882 00:00;;;;;;;;;;;;;;;;;;250.3;;;;;;;;;;;
EBK;01.12.1882 00:00;;;;;;;;;;;;;;;;;;308.9;;;;;;;;;;;
EBK;01.01.1883 00:00;;;;;;;;;;;;;;;;;;75.8;;;;;;;;;;;
EBK;01.02.1883 00:00;;;;;;;;;;;;;;;;;;37.9;;;;;;;;;;;
EBK;01.03.1883 00:00;;;;;;;;;;;;;;;;;;72.5;;;;;;;;;;;
EBK;01.04.1883 00:00;;;;;;;;;;;;;;;;;;83.9;;;;;;;;;;;
EBK;01.05.1883 00:00;;;;;;;;;;;;;;;;;;149.2;;;;;;;;;;;
EBK;01.06.1883 00:00;;;;;;;;;;;;;;;;;;302.6;;;;;;;;;;;
EBK;01.07.1883 00:00;;;;;;;;;;;;;;;;;;237.7;;;;;;;;;;;
EBK;01.08.1883 00:00;;;;;;;;;;;;;;;;;;105;;;;;;;;;;;
EBK;01.09.1883 00:00;;;;;;;;;;;;;;;;;;172.1;;;;;;;;;;;
EBK;01.10.1883 00:00;;;;;;;;;;;;;;;;;;121.9;;;;;;;;;;;
EBK;01.11.1883 00:00;;;;;;;;;;;;;;;;;;156.2;;;;;;;;;;;
EBK;01.12.1883 00:00;;;;;;;;;;;;;;;;;;175;;;;;;;;;;;
EBK;01.01.1884 00:00;;;;;;;;;;;;;;;;;;88.4;;;;;;;;;;;
EBK;01.02.1884 00:00;;;;;;;;;;;;;;;;;;93.7;;;;;;;;;;;
EBK;01.03.1884 00:00;;;;;;;;;;;;;;;;;;33.3;;;;;;;;;;;
EBK;01.04.1884 00:00;;;;;;;;;;;;;;;;;;77.1;;;;;;;;;;;
EBK;01.05.1884 00:00;;;;;;;;;;;;;;;;;;154.9;;;;;;;;;;;
EBK;01.06.1884 00:00;;;;;;;;;;;;;;;;;;171.4;;;;;;;;;;;
EBK;01.07.1884 00:00;;;;;;;;;;;;;;;;;;231;;;;;;;;;;;
EBK;01.08.1884 00:00;;;;;;;;;;;;;;;;;;141.9;;;;;;;;;;;
EBK;01.09.1884 00:00;;;;;;;;;;;;;;;;;;90.2;;;;;;;;;;;
EBK;01.10.1884 00:00;;;;;;;;;;;;;;;;;;85.9;;;;;;;;;;;
EBK;01.11.1884 00:00;;;;;;;;;;;;;;;;;;25.5;;;;;;;;;;;
EBK;01.12.1884 00:00;;;;;;;;;;;;;;;;;;167.1;;;;;;;;;;;
EBK;01.01.1885 00:00;;;;;;;;;;;;;;;;;;15.2;;;;;;;;;;;
EBK;01.02.1885 00:00;;;;;;;;;;;;;;;;;;100.9;;;;;;;;;;;
EBK;01.03.1885 00:00;;;;;;;;;;;;;;;;;;99.9;;;;;;;;;;;
EBK;01.04.1885 00:00;;;;;;;;;;;;;;;;;;49.1;;;;;;;;;;;
EBK;01.05.1885 00:00;;;;;;;;;;;;;;;;;;211.9;;;;;;;;;;;
EBK;01.06.1885 00:00;;;;;;;;;;;;;;;;;;85.7;;;;;;;;;;;
EBK;01.07.1885 00:00;;;;;;;;;;;;;;;;;;121.4;;;;;;;;;;;
EBK;01.08.1885 00:00;;;;;;;;;;;;;;;;;;79.2;;;;;;;;;;;
EBK;01.09.1885 00:00;;;;;;;;;;;;;;;;;;245.9;;;;;;;;;;;
EBK;01.10.1885 00:00;;;;;;;;;;;;;;;;;;236;;;;;;;;;;;
EBK;01.11.1885 00:00;;;;;;;;;;;;;;;;;;128.6;;;;;;;;;;;
EBK;01.12.1885 00:00;;;;;;;;;;;;;;;;;;158.4;;;;;;;;;;;
EBK;01.01.1886 00:00;;;;;;;;;;;;;;;;;;51.9;;;;;;;;;;;
EBK;01.02.1886 00:00;;;;;;;;;;;;;;;;;;58.6;;;;;;;;;;;
EBK;01.03.1886 00:00;;;;;;;;;;;;;;;;;;70.9;;;;;;;;;;;
EBK;01.04.1886 00:00;;;;;;;;;;;;;;;;;;122;;;;;;;;;;;
EBK;01.05.1886 00:00;;;;;;;;;;;;;;;;;;111.2;;;;;;;;;;;
EBK;01.06.1886 00:00;;;;;;;;;;;;;;;;;;278.4;;;;;;;;;;;
EBK;01.07.1886 00:00;;;;;;;;;;;;;;;;;;166.8;;;;;;;;;;;
EBK;01.08.1886 00:00;;;;;;;;;;;;;;;;;;222.9;;;;;;;;;;;
EBK;01.09.1886 00:00;;;;;;;;;;;;;;;;;;126.4;;;;;;;;;;;
EBK;01.10.1886 00:00;;;;;;;;;;;;;;;;;;138.2;;;;;;;;;;;
EBK;01.11.1886 00:00;;;;;;;;;;;;;;;;;;89.1;;;;;;;;;;;
EBK;01.12.1886 00:00;;;;;;;;;;;;;;;;;;190.7;;;;;;;;;;;
EBK;01.01.1887 00:00;;;;;;;;;;;;;;;;;;11.7;;;;;;;;;;;
EBK;01.02.1887 00:00;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;
EBK;01.03.1887 00:00;;;;;;;;;;;;;;;;;;154.1;;;;;;;;;;;
EBK;01.04.1887 00:00;;;;;;;;;;;;;;;;;;60.9;;;;;;;;;;;
EBK;01.05.1887 00:00;;;;;;;;;;;;;;;;;;228.7;;;;;;;;;;;
EBK;01.06.1887 00:00;;;;;;;;;;;;;;;;;;75.5;;;;;;;;;;;
EBK;01.07.1887 00:00;;;;;;;;;;;;;;;;;;158.6;;;;;;;;;;;
EBK;01.08.1887 00:00;;;;;;;;;;;;;;;;;;184.8;;;;;;;;;;;
EBK;01.09.1887 00:00;;;;;;;;;;;;;;;;;;88.5;;;;;;;;;;;
