station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ELM;01.02.1878 00:00;0.3;;;;;;;;;;;;;;;;;20.8;;;;;;;;;550.3;;
ELM;01.03.1878 00:00;0.5;;;;;;;;;;;;;;;;;126.3;;;;;;;;;585.5;;
ELM;01.04.1878 00:00;6.6;;;;;;;;;;;;;;;;;101.3;;;;;;;;;401.6;;
ELM;01.05.1878 00:00;12.1;;;;;;;;;;;;;;;;;99.9;;;;;;;;;148.5;;
ELM;01.06.1878 00:00;14;;;;;;;;;;;;;;;;;151.9;;;;;;;;;61.8;;
ELM;01.07.1878 00:00;14.7;;;;;;;;;;;;;;;;;201.2;;;;;;;;;63.8;;
ELM;01.08.1878 00:00;15.1;;;;;;;;;;;;;;;;;186.4;;;;;;;;;8;;
ELM;01.09.1878 00:00;11.2;;;;;;;;;;;;;;;;;102.7;;;;;;;;;211.5;;
ELM;01.10.1878 00:00;8.8;;;;;;;;;;;;;;;;;136.3;;;;;;;;;311.4;;
ELM;01.11.1878 00:00;1.1;;;;;;;;;;;;;;;;;153.4;;;;;;;;;558.1;;
ELM;01.12.1878 00:00;-3.4;;;;;;;;;;;;;;;;;82.1;;;;;;;;;725.1;;
ELM;01.01.1879 00:00;-1.6;;;;;;;;;;;;;;;;;62.1;;;;;;;;;668.5;;
ELM;01.02.1879 00:00;0.4;;;;;;;;;;;;;;;;;114.1;;;;;;;;;549.7;;
ELM;01.03.1879 00:00;3.1;;;;;;;;;;;;;;;;;43.7;;;;;;;;;523.6;;
ELM;01.04.1879 00:00;4.8;;;;;;;;;;;;;;;;;141.4;;;;;;;;;455.2;;
ELM;01.05.1879 00:00;7.1;;;;;;;;;;;;;;;;;171.1;;;;;;;;;373.6;;
ELM;01.06.1879 00:00;14.4;;;;;;;;;;;;;;;;;151.3;;;;;;;;;66.2;;
ELM;01.07.1879 00:00;12.7;;;;;;;;;;;;;;;;;225.4;;;;;;;;;156.2;;
ELM;01.08.1879 00:00;16.5;;;;;;;;;;;;;;;;;167.4;;;;;;;;;16.4;;
ELM;01.09.1879 00:00;12.2;;;;;;;;;;;;;;;;;126.2;;;;;;;;;125.6;;
ELM;01.10.1879 00:00;5.4;;;;;;;;;;;;;;;;;99.3;;;;;;;;;444.5;;
ELM;01.11.1879 00:00;-1;;;;;;;;;;;;;;;;;215.8;;;;;;;;;630.9;;
ELM;01.12.1879 00:00;-6.5;;;;;;;;;;;;;;;;;30.3;;;;;;;;;821.4;;
ELM;01.01.1880 00:00;-5.9;;;;;;;;;;;;;;;;;41.6;;;;;;;;;803.5;;
ELM;01.02.1880 00:00;1.2;;;;;;;;;;;;;;;;;55.2;;;;;;;;;545.9;;
ELM;01.03.1880 00:00;4.8;;;;;;;;;;;;;;;;;81.5;;;;;;;;;471.1;;
ELM;01.04.1880 00:00;7.3;;;;;;;;;;;;;;;;;127.2;;;;;;;;;369.1;;
ELM;01.05.1880 00:00;9.4;;;;;;;;;;;;;;;;;85.4;;;;;;;;;278.7;;
ELM;01.06.1880 00:00;12.5;;;;;;;;;;;;;;;;;241;;;;;;;;;124.6;;
ELM;01.07.1880 00:00;16.6;;;;;;;;;;;;;;;;;143.3;;;;;;;;;18.4;;
ELM;01.08.1880 00:00;13.6;;;;;;;;;;;;;;;;;177;;;;;;;;;65.7;;
ELM;01.09.1880 00:00;11.9;;;;;;;;;;;;;;;;;139.2;;;;;;;;;188.8;;
ELM;01.10.1880 00:00;8;;;;;;;;;;;;;;;;;224.2;;;;;;;;;354.9;;
ELM;01.11.1880 00:00;2.6;;;;;;;;;;;;;;;;;81.8;;;;;;;;;522.4;;
ELM;01.12.1880 00:00;1.9;;;;;;;;;;;;;;;;;174.3;;;;;;;;;560.5;;
ELM;01.01.1881 00:00;-4.5;;;;;;;;;;;;;;;;;32.5;;;;;;;;;760.8;;
ELM;01.02.1881 00:00;0.8;;;;;;;;;;;;;;;;;79.2;;;;;;;;;536.3;;
ELM;01.03.1881 00:00;3.6;;;;;;;;;;;;;;;;;100.8;;;;;;;;;509.6;;
ELM;01.04.1881 00:00;6;;;;;;;;;;;;;;;;;107;;;;;;;;;413.9;;
ELM;01.05.1881 00:00;10;;;;;;;;;;;;;;;;;52.5;;;;;;;;;238.9;;
ELM;01.06.1881 00:00;13.2;;;;;;;;;;;;;;;;;137.2;;;;;;;;;111.7;;
ELM;01.07.1881 00:00;18;;;;;;;;;;;;;;;;;119;;;;;;;;;19.2;;
ELM;01.08.1881 00:00;15.2;;;;;;;;;;;;;;;;;223.5;;;;;;;;;72;;
ELM;01.09.1881 00:00;10.3;;;;;;;;;;;;;;;;;240;;;;;;;;;;;
ELM;01.10.1881 00:00;3.6;;;;;;;;;;;;;;;;;120;;;;;;;;;;;
ELM;01.11.1881 00:00;3.8;;;;;;;;;;;;;;;;;25;;;;;;;;;;;
ELM;01.12.1881 00:00;-1.5;;;;;;;;;;;;;;;;;56.8;;;;;;;;;;;
ELM;01.01.1882 00:00;-1.1;;;;;;;;;;;;;;;;;19.4;;;;;;;;;652.6;;
ELM;01.02.1882 00:00;-1.4;;;;;;;;;;;;;;;;;32.4;;;;;;;;;600.6;;
ELM;01.03.1882 00:00;4.2;;;;;;;;;;;;;;;;;69;;;;;;;;;490.4;;
ELM;01.04.1882 00:00;6.3;;;;;;;;;;;;;;;;;71;;;;;;;;;395.7;;
ELM;01.05.1882 00:00;11.2;;;;;;;;;;;;;;;;;109.9;;;;;;;;;214.7;;
ELM;01.06.1882 00:00;12.1;;;;;;;;;;;;;;;;;180.6;;;;;;;;;175.2;;
ELM;01.07.1882 00:00;13.6;;;;;;;;;;;;;;;;;169.3;;;;;;;;;112.4;;
ELM;01.08.1882 00:00;12.3;;;;;;;;;;;;;;;;;224;;;;;;;;;147.1;;
ELM;01.09.1882 00:00;9.8;;;;;;;;;;;;;;;;;285.6;;;;;;;;;233.3;;
ELM;01.10.1882 00:00;7.7;;;;;;;;;;;;;;;;;224.8;;;;;;;;;344.6;;
ELM;01.11.1882 00:00;1.8;;;;;;;;;;;;;;;;;149.2;;;;;;;;;545.1;;
ELM;01.12.1882 00:00;0.1;;;;;;;;;;;;;;;;;255.6;;;;;;;;;616.8;;
ELM;01.01.1883 00:00;-1;;;;;;;;;;;;;;;;;72.9;;;;;;;;;650.8;;
ELM;01.02.1883 00:00;0.5;;;;;;;;;;;;;;;;;29.3;;;;;;;;;547.1;;
ELM;01.03.1883 00:00;-2.1;;;;;;;;;;;;;;;;;109.3;;;;;;;;;684.8;;
ELM;01.04.1883 00:00;5.2;;;;;;;;;;;;;;;;;53.4;;;;;;;;;428.9;;
ELM;01.05.1883 00:00;10.5;;;;;;;;;;;;;;;;;127.2;;;;;;;;;196.9;;
ELM;01.06.1883 00:00;12.9;;;;;;;;;;;;;;;;;206.4;;;;;;;;;138.2;;
ELM;01.07.1883 00:00;13.6;;;;;;;;;;;;;;;;;223.7;;;;;;;;;150.7;;
ELM;01.08.1883 00:00;13.8;;;;;;;;;;;;;;;;;104.9;;;;;;;;;56.8;;
ELM;01.09.1883 00:00;10.9;;;;;;;;;;;;;;;;;174;;;;;;;;;190.1;;
ELM;01.10.1883 00:00;5.4;;;;;;;;;;;;;;;;;121.8;;;;;;;;;453.1;;
ELM;01.11.1883 00:00;1.1;;;;;;;;;;;;;;;;;71;;;;;;;;;565.7;;
ELM;01.12.1883 00:00;-3.6;;;;;;;;;;;;;;;;;182.5;;;;;;;;;731.4;;
ELM;01.01.1884 00:00;-0.9;;;;;;;;;;;;;;;;;128.2;;;;;;;;;646.5;;
ELM;01.02.1884 00:00;0.3;;;;;;;;;;;;;;;;;44.3;;;;;;;;;571.3;;
ELM;01.03.1884 00:00;2.8;;;;;;;;;;;;;;;;;27.3;;;;;;;;;532.9;;
ELM;01.04.1884 00:00;5.5;;;;;;;;;;;;;;;;;52.8;;;;;;;;;427.9;;
ELM;01.05.1884 00:00;11.7;;;;;;;;;;;;;;;;;77.5;;;;;;;;;172.4;;
ELM;01.06.1884 00:00;10.1;;;;;;;;;;;;;;;;;184.8;;;;;;;;;240.2;;
ELM;01.07.1884 00:00;15.6;;;;;;;;;;;;;;;;;227.6;;;;;;;;;69.5;;
ELM;01.08.1884 00:00;14.9;;;;;;;;;;;;;;;;;161.8;;;;;;;;;52.2;;
ELM;01.09.1884 00:00;11.8;;;;;;;;;;;;;;;;;90.7;;;;;;;;;173.7;;
ELM;01.10.1884 00:00;5;;;;;;;;;;;;;;;;;77;;;;;;;;;463.9;;
ELM;01.11.1884 00:00;-0.9;;;;;;;;;;;;;;;;;38.8;;;;;;;;;628.3;;
ELM;01.12.1884 00:00;-1.5;;;;;;;;;;;;;;;;;122.3;;;;;;;;;665.5;;
ELM;01.01.1885 00:00;-5.7;;;;;;;;;;;;;;;;;6.2;;;;;;;;;795.4;;
ELM;01.02.1885 00:00;2.4;;;;;;;;;;;;;;;;;83.9;;;;;;;;;494.1;;
ELM;01.03.1885 00:00;1.8;;;;;;;;;;;;;;;;;56.5;;;;;;;;;563.4;;
ELM;01.04.1885 00:00;7.4;;;;;;;;;;;;;;;;;57.9;;;;;;;;;351.7;;
ELM;01.05.1885 00:00;8.2;;;;;;;;;;;;;;;;;139;;;;;;;;;346.2;;
ELM;01.06.1885 00:00;15;;;;;;;;;;;;;;;;;73.9;;;;;;;;;83.9;;
ELM;01.07.1885 00:00;15.7;;;;;;;;;;;;;;;;;173.2;;;;;;;;;24.4;;
ELM;01.08.1885 00:00;13.5;;;;;;;;;;;;;;;;;173.9;;;;;;;;;79.2;;
ELM;01.09.1885 00:00;10.6;;;;;;;;;;;;;;;;;297;;;;;;;;;195.1;;
ELM;01.10.1885 00:00;4.8;;;;;;;;;;;;;;;;;236.4;;;;;;;;;470.5;;
ELM;01.11.1885 00:00;2.3;;;;;;;;;;;;;;;;;120.9;;;;;;;;;529.8;;
ELM;01.12.1885 00:00;-3;;;;;;;;;;;;;;;;;79.7;;;;;;;;;713.7;;
ELM;01.01.1886 00:00;-3.8;;;;;;;;;;;;;;;;;59.6;;;;;;;;;738.5;;
ELM;01.02.1886 00:00;-5.1;;;;;;;;;;;;;;;;;58.2;;;;;;;;;702;;
ELM;01.03.1886 00:00;-0.2;;;;;;;;;;;;;;;;;34.5;;;;;;;;;625.5;;
