station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
EVO;01.10.1986 00:00;6.7;18.7;-4.8;;;;;6.7;;;;;;1.3;;4.7;;59;130;;;;10628;74;;0;390.9;166.9;
EVO;01.11.1986 00:00;2.1;11.3;-7.7;;;;;4.4;;;;;;1.2;;4.3;;36.5;84;;;;7809;68;;0;536.3;296.3;
EVO;01.12.1986 00:00;-2.3;9.1;-17;;;;;3.4;;;;;;1.3;;4.7;;81.4;57;;;;5512;51;;0;690.1;442.1;
EVO;01.01.1987 00:00;-4.5;5.8;-23.8;;;;59.5;2.8;;;;;;1.1;;4;;43.5;75;;;;6669;59;;0;759.7;511.7;
EVO;01.02.1987 00:00;-2.9;7.5;-14.7;;;;70.8;3.5;;;;;;0.8;;2.9;;48.3;103;;;;4824;40;;0;640.6;416.6;
EVO;01.03.1987 00:00;-4.2;6.8;-13.9;;;;;3.2;;;;;;1.3;;4.7;;36.8;172;;;;6667;40;;0;751.6;503.6;
EVO;01.04.1987 00:00;3;16.8;-11.2;;;;58.1;4.5;;;;;;1.7;;6.1;;51.7;230;;;;10806;57;;0;509.8;269.8;
EVO;01.05.1987 00:00;3.5;15.1;-6.8;;;;74.9;5.8;;;;;;1.7;13.5;6.1;48.6;62.9;224;;;;9693;43;;0;511.8;263.8;41.3
EVO;01.06.1987 00:00;7.7;21.8;0;;;;79.8;8.4;;;;;;1.6;16;5.8;57.6;95.1;215;;;;9755;42;;0;347.9;139.9;34
EVO;01.07.1987 00:00;11.7;23.2;0.6;;;;79.7;10.9;;;;;;1.5;11.5;5.4;41.4;83.6;213;;;;10837;47;;0;177.9;41.9;2.8
EVO;01.08.1987 00:00;12.3;24.1;1.6;;;;67.4;9.4;;;;;;1.7;13.1;6.1;47.2;60.6;206;;;;12619;62;;1.3;154.6;42.6;-72.6
EVO;01.09.1987 00:00;11.9;23.6;0.1;;;;63.2;8.5;;;;;;1.5;13.8;5.4;49.7;43.9;176;;;;11715;68;;0;196.6;52.6;-54.6
EVO;01.10.1987 00:00;6.7;17.9;-2.5;;;;64.8;6.2;;;;;;1.5;27.8;5.4;100.1;78.1;101;;;;6165;43;;0;397.2;165.2;45.2
EVO;01.11.1987 00:00;0.2;13.4;-10.4;;;;60.2;3.6;;;;;;1.1;16.9;4;60.8;55.3;78;;;;6098;53;;0;593.8;353.8;35.1
EVO;01.12.1987 00:00;1.5;12.1;-8;;;;50.7;3.5;817.3;;1511.2;;;1;12.8;3.6;46.1;35.8;62;;;;6582;61;12.6;0;573;325;19.9
EVO;01.01.1988 00:00;-1.7;6.9;-10.5;;;;65.3;3.6;811.8;;1459.9;;;1.2;17.7;4.3;63.7;58.3;64;;;;4596;40;12.8;0;672.8;424.8;51.9
EVO;01.02.1988 00:00;-4;7.1;-14.3;;;;57.7;2.6;811.1;;1457.2;;;1.3;20.2;4.7;72.7;46.6;113;;;;5684;45;21.2;0;697.3;465.3;34.7
EVO;01.03.1988 00:00;-3.6;7.5;-14.3;;;;69.5;3.5;810.6;;1451.2;;;1.3;20.7;4.7;74.5;118.1;140;;;;2589;16;32.1;0;730.2;482.2;116
EVO;01.04.1988 00:00;3.2;13.7;-8.7;;;;67.6;5.2;813.1;;1466.2;;;1.4;10.1;5;36.4;19.8;220;;;;6907;36;68.9;0;503.3;263.3;11.5
EVO;01.05.1988 00:00;7.2;17;0;;;;73.4;7.3;814.5;;1475.8;;;1.7;27.4;6.1;98.6;59.6;222;;;;7769;35;87.1;0;390;150;40.7
EVO;01.06.1988 00:00;8.4;16.9;-0.1;;;;76.4;8.3;816.4;;1493.3;;;1.6;13.1;5.8;47.2;67.9;230;;;;7825;34;90.3;0;348.8;108.8;13.9
EVO;01.07.1988 00:00;12.1;23.5;2;;;;66.7;9.2;820.3;;1528.8;;;2;20.4;7.2;73.4;62;272;;;;14724;64;120;0;161.4;33.4;-93.8
EVO;01.08.1988 00:00;12.2;22.4;0.3;;;;67.8;9.5;819.9;;1525.2;;;1.7;15.7;6.1;56.5;53.7;207;;;;11536;57;94.7;0;143.8;47.8;-67.2
EVO;01.09.1988 00:00;8.6;19;-1.5;;;;70.2;7.8;820.6;;1535.9;;;1.4;13.8;5;49.7;31.3;171;;;;10451;61;62.2;0;313.5;105.5;-40
EVO;01.10.1988 00:00;7;17.4;-4;;;;67.5;6.7;819;;1521;;;1.3;14.2;4.7;51.1;119.6;102;;;;7111;50;36.3;0;382.3;158.3;89.4
EVO;01.11.1988 00:00;0.6;10.2;-17;;;;55.8;3.7;817.4;;1513.5;;;1;13.5;3.6;48.6;29.1;85;;;;8255;72;15.6;0;582;342;3.7
EVO;01.12.1988 00:00;-1.2;8.6;-11.3;;;;58.9;3.3;819.2;;1532.1;;;1.1;22.7;4;81.7;72.2;59;;;;5714;53;10.3;0;657.5;409.5;60
