station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
FAH;01.01.1957 00:00;;;;;;;;;;;;;;;;;;41.8;;;;;;;;;;;
FAH;01.02.1957 00:00;;;;;;;;;;;;;;;;;;145.1;;;;;;;;;;;
FAH;01.03.1957 00:00;;;;;;;;;;;;;;;;;;54.9;;;;;;;;;;;
FAH;01.04.1957 00:00;;;;;;;;;;;;;;;;;;57.3;;;;;;;;;;;
FAH;01.05.1957 00:00;;;;;;;;;;;;;;;;;;49.7;;;;;;;;;;;
FAH;01.06.1957 00:00;;;;;;;;;;;;;;;;;;180.2;;;;;;;;;;;
FAH;01.07.1957 00:00;;;;;;;;;;;;;;;;;;153;;;;;;;;;;;
FAH;01.08.1957 00:00;;;;;;;;;;;;;;;;;;90.5;;;;;;;;;;;
FAH;01.09.1957 00:00;;;;;;;;;;;;;;;;;;148.6;;;;;;;;;;;
FAH;01.10.1957 00:00;;;;;;;;;;;;;;;;;;27.1;;;;;;;;;;;
FAH;01.11.1957 00:00;;;;;;;;;;;;;;;;;;49.9;;;;;;;;;;;
FAH;01.12.1957 00:00;;;;;;;;;;;;;;;;;;35.8;;;;;;;;;;;
FAH;01.01.1958 00:00;;;;;;;;;;;;;;;;;;84.9;;;;;;;;;;;
FAH;01.02.1958 00:00;;;;;;;;;;;;;;;;;;119;;;;;;;;;;;
FAH;01.03.1958 00:00;;;;;;;;;;;;;;;;;;53.6;;;;;;;;;;;
FAH;01.04.1958 00:00;;;;;;;;;;;;;;;;;;91.7;;;;;;;;;;;
FAH;01.05.1958 00:00;;;;;;;;;;;;;;;;;;113.6;;;;;;;;;;;
FAH;01.06.1958 00:00;;;;;;;;;;;;;;;;;;136.4;;;;;;;;;;;
FAH;01.07.1958 00:00;;;;;;;;;;;;;;;;;;127.9;;;;;;;;;;;
FAH;01.08.1958 00:00;;;;;;;;;;;;;;;;;;102.4;;;;;;;;;;;
FAH;01.09.1958 00:00;;;;;;;;;;;;;;;;;;67.3;;;;;;;;;;;
FAH;01.10.1958 00:00;;;;;;;;;;;;;;;;;;70.5;;;;;;;;;;;
FAH;01.11.1958 00:00;;;;;;;;;;;;;;;;;;65.7;;;;;;;;;;;
FAH;01.12.1958 00:00;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;
FAH;01.01.1959 00:00;;;;;;;;;;;;;;;;;;110.5;;;;;;;;;;;
FAH;01.02.1959 00:00;;;;;;;;;;;;;;;;;;3.5;;;;;;;;;;;
FAH;01.03.1959 00:00;;;;;;;;;;;;;;;;;;111.4;;;;;;;;;;;
FAH;01.04.1959 00:00;;;;;;;;;;;;;;;;;;115.2;;;;;;;;;;;
FAH;01.05.1959 00:00;;;;;;;;;;;;;;;;;;45.8;;;;;;;;;;;
FAH;01.06.1959 00:00;;;;;;;;;;;;;;;;;;171.5;;;;;;;;;;;
FAH;01.07.1959 00:00;;;;;;;;;;;;;;;;;;24.3;;;;;;;;;;;
FAH;01.08.1959 00:00;;;;;;;;;;;;;;;;;;138.3;;;;;;;;;;;
FAH;01.09.1959 00:00;;;;;;;;;;;;;;;;;;47;;;;;;;;;;;
FAH;01.10.1959 00:00;;;;;;;;;;;;;;;;;;87.7;;;;;;;;;;;
FAH;01.11.1959 00:00;;;;;;;;;;;;;;;;;;47.6;;;;;;;;;;;
FAH;01.12.1959 00:00;;;;;;;;;;;;;;;;;;94.2;;;;;;;;;;;
FAH;01.01.1960 00:00;;;;;;;;;;;;;;;;;;95.7;;;;;;;;;;;
FAH;01.02.1960 00:00;;;;;;;;;;;;;;;;;;85.8;;;;;;;;;;;
FAH;01.03.1960 00:00;;;;;;;;;;;;;;;;;;63.5;;;;;;;;;;;
FAH;01.04.1960 00:00;;;;;;;;;;;;;;;;;;46.8;;;;;;;;;;;
FAH;01.05.1960 00:00;;;;;;;;;;;;;;;;;;91.4;;;;;;;;;;;
FAH;01.06.1960 00:00;;;;;;;;;;;;;;;;;;74.9;;;;;;;;;;;
FAH;01.07.1960 00:00;;;;;;;;;;;;;;;;;;102.7;;;;;;;;;;;
FAH;01.08.1960 00:00;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;
FAH;01.09.1960 00:00;;;;;;;;;;;;;;;;;;105.5;;;;;;;;;;;
FAH;01.10.1960 00:00;;;;;;;;;;;;;;;;;;115.2;;;;;;;;;;;
FAH;01.11.1960 00:00;;;;;;;;;;;;;;;;;;101.9;;;;;;;;;;;
FAH;01.12.1960 00:00;;;;;;;;;;;;;;;;;;40.3;;;;;;;;;;;
FAH;01.01.1961 00:00;;;;;;;;;;;;;;;;;;74.5;;;;;;;;;;;
FAH;01.02.1961 00:00;;;;;;;;;;;;;;;;;;76.7;;;;;;;;;;;
FAH;01.03.1961 00:00;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;
FAH;01.04.1961 00:00;;;;;;;;;;;;;;;;;;94.2;;;;;;;;;;;
FAH;01.05.1961 00:00;;;;;;;;;;;;;;;;;;100.9;;;;;;;;;;;
FAH;01.06.1961 00:00;;;;;;;;;;;;;;;;;;105.2;;;;;;;;;;;
FAH;01.07.1961 00:00;;;;;;;;;;;;;;;;;;106;;;;;;;;;;;
FAH;01.08.1961 00:00;;;;;;;;;;;;;;;;;;99;;;;;;;;;;;
FAH;01.09.1961 00:00;;;;;;;;;;;;;;;;;;42.3;;;;;;;;;;;
FAH;01.10.1961 00:00;;;;;;;;;;;;;;;;;;71.8;;;;;;;;;;;
FAH;01.11.1961 00:00;;;;;;;;;;;;;;;;;;45.7;;;;;;;;;;;
FAH;01.12.1961 00:00;;;;;;;;;;;;;;;;;;95.9;;;;;;;;;;;
FAH;01.01.1962 00:00;;;;;;;;;;;;;;;;;;121.9;;;;;;;;;;;
FAH;01.02.1962 00:00;;;;;;;;;;;;;;;;;;64.3;;;;;;;;;;;
FAH;01.03.1962 00:00;;;;;;;;;;;;;;;;;;118.9;;;;;;;;;;;
FAH;01.04.1962 00:00;;;;;;;;;;;;;;;;;;72.7;;;;;;;;;;;
FAH;01.05.1962 00:00;;;;;;;;;;;;;;;;;;104.8;;;;;;;;;;;
FAH;01.06.1962 00:00;;;;;;;;;;;;;;;;;;42.3;;;;;;;;;;;
FAH;01.07.1962 00:00;;;;;;;;;;;;;;;;;;46.9;;;;;;;;;;;
FAH;01.08.1962 00:00;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;
FAH;01.09.1962 00:00;;;;;;;;;;;;;;;;;;51.1;;;;;;;;;;;
FAH;01.10.1962 00:00;;;;;;;;;;;;;;;;;;25.7;;;;;;;;;;;
FAH;01.11.1962 00:00;;;;;;;;;;;;;;;;;;31.7;;;;;;;;;;;
FAH;01.12.1962 00:00;;;;;;;;;;;;;;;;;;101.3;;;;;;;;;;;
FAH;01.01.1963 00:00;;;;;;;;;;;;;;;;;;41.1;;;;;;;;;;;
FAH;01.02.1963 00:00;;;;;;;;;;;;;;;;;;42.6;;;;;;;;;;;
FAH;01.03.1963 00:00;;;;;;;;;;;;;;;;;;98.7;;;;;;;;;;;
FAH;01.04.1963 00:00;;;;;;;;;;;;;;;;;;79.2;;;;;;;;;;;
FAH;01.05.1963 00:00;;;;;;;;;;;;;;;;;;70.1;;;;;;;;;;;
FAH;01.06.1963 00:00;;;;;;;;;;;;;;;;;;169.9;;;;;;;;;;;
FAH;01.07.1963 00:00;;;;;;;;;;;;;;;;;;83.1;;;;;;;;;;;
FAH;01.08.1963 00:00;;;;;;;;;;;;;;;;;;191.5;;;;;;;;;;;
FAH;01.09.1963 00:00;;;;;;;;;;;;;;;;;;56;;;;;;;;;;;
FAH;01.10.1963 00:00;;;;;;;;;;;;;;;;;;45.8;;;;;;;;;;;
FAH;01.11.1963 00:00;;;;;;;;;;;;;;;;;;187.4;;;;;;;;;;;
FAH;01.12.1963 00:00;;;;;;;;;;;;;;;;;;8.1;;;;;;;;;;;
FAH;01.01.1964 00:00;;;;;;;;;;;;;;;;;;19.1;;;;;;;;;;;
FAH;01.02.1964 00:00;;;;;;;;;;;;;;;;;;27.2;;;;;;;;;;;
FAH;01.03.1964 00:00;;;;;;;;;;;;;;;;;;113.7;;;;;;;;;;;
FAH;01.04.1964 00:00;;;;;;;;;;;;;;;;;;79.1;;;;;;;;;;;
FAH;01.05.1964 00:00;;;;;;;;;;;;;;;;;;160.3;;;;;;;;;;;
FAH;01.06.1964 00:00;;;;;;;;;;;;;;;;;;61.5;;;;;;;;;;;
FAH;01.07.1964 00:00;;;;;;;;;;;;;;;;;;53.7;;;;;;;;;;;
FAH;01.08.1964 00:00;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;
FAH;01.09.1964 00:00;;;;;;;;;;;;;;;;;;60.1;;;;;;;;;;;
FAH;01.10.1964 00:00;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;
FAH;01.11.1964 00:00;;;;;;;;;;;;;;;;;;61.4;;;;;;;;;;;
FAH;01.12.1964 00:00;;;;;;;;;;;;;;;;;;19.2;;;;;;;;;;;
FAH;01.01.1965 00:00;;;;;;;;;;;;;;;;;;89.8;;;;;;;;;;;
FAH;01.02.1965 00:00;;;;;;;;;;;;;;;;;;18.1;;;;;;;;;;;
FAH;01.03.1965 00:00;;;;;;;;;;;;;;;;;;113.4;;;;;;;;;;;
FAH;01.04.1965 00:00;;;;;;;;;;;;;;;;;;143.9;;;;;;;;;;;
FAH;01.05.1965 00:00;;;;;;;;;;;;;;;;;;119.9;;;;;;;;;;;
