station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GRA;01.10.1900 00:00;;;;;;;;;;;;;;;;;;69.3;;;;;;;;;;;
GRA;01.11.1900 00:00;;;;;;;;;;;;;;;;;;54.3;;;;;;;;;;;
GRA;01.12.1900 00:00;;;;;;;;;;;;;;;;;;65;;;;;;;;;;;
GRA;01.01.1901 00:00;-2.4;;;;;;;;;;;;;;;;;25.9;;;;;;;;;;;
GRA;01.02.1901 00:00;-6.6;;;;;;;;;;;;;;;;;25.3;;;;;;;;;;;
GRA;01.03.1901 00:00;0.9;;;;;;;;;;;;;;;;;70.9;;;;;;;;;;;
GRA;01.04.1901 00:00;7.7;;;;;;;;;;;;;;;;;175.7;;;;;;;;;;;
GRA;01.05.1901 00:00;11.9;;;;;;;;;;;;;;;;;18.7;;;;;;;;;;;
GRA;01.06.1901 00:00;15.5;;;;;;;;;;;;;;;;;151.1;;;;;;;;;;;
GRA;01.07.1901 00:00;17.5;;;;;;;;;;;;;;;;;96.6;;;;;;;;;;;
GRA;01.08.1901 00:00;15.8;;;;;;;;;;;;;;;;;119.2;;;;;;;;;;;
GRA;01.09.1901 00:00;13.8;;;;;;;;;;;;;;;;;152.6;;;;;;;;;;;
GRA;01.10.1901 00:00;7.7;;;;;;;;;;;;;;;;;50.2;;;;;;;;;;;
GRA;01.11.1901 00:00;0.7;;;;;;;;;;;;;;;;;29.6;;;;;;;;;;;
GRA;01.12.1901 00:00;-0.7;;;;;;;;;;;;;;;;;60;;;;;;;;;;;
GRA;01.01.1902 00:00;0.2;;;;;;;;;;;;;;;;;59.9;;;;;;;;;;;
GRA;01.02.1902 00:00;-0.8;;;;;;;;;;;;;;;;;90;;;;;;;;;;;
GRA;01.03.1902 00:00;3.7;;;;;;;;;;;;;;;;;70.8;;;;;;;;;;;
GRA;01.04.1902 00:00;9.7;;;;;;;;;;;;;;;;;91.3;;;;;;;;;;;
GRA;01.05.1902 00:00;7.8;;;;;;;;;;;;;;;;;106.2;;;;;;;;;;;
GRA;01.06.1902 00:00;14.3;;;;;;;;;;;;;;;;;50.1;;;;;;;;;;;
GRA;01.07.1902 00:00;17.3;;;;;;;;;;;;;;;;;81.1;;;;;;;;;;;
GRA;01.08.1902 00:00;15.8;;;;;;;;;;;;;;;;;164.1;;;;;;;;;;;
GRA;01.09.1902 00:00;12.8;;;;;;;;;;;;;;;;;85.4;;;;;;;;;;;
GRA;01.10.1902 00:00;7.6;;;;;;;;;;;;;;;;;85.2;;;;;;;;;;;
GRA;01.11.1902 00:00;1.7;;;;;;;;;;;;;;;;;45.3;;;;;;;;;;;
GRA;01.12.1902 00:00;-1.2;;;;;;;;;;;;;;;;;53;;;;;;;;;;;
GRA;01.01.1903 00:00;-1.4;;;;;;;;;;;;;;;;;41.8;;;;;;;;;;;
GRA;01.02.1903 00:00;0.9;;;;;;;;;;;;;;;;;41.7;;;;;;;;;;;
GRA;01.03.1903 00:00;4.7;;;;;;;;;;;;;;;;;50.2;;;;;;;;;;;
GRA;01.04.1903 00:00;4.3;;;;;;;;;;;;;;;;;60.9;;;;;;;;;;;
