station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GIH;01.08.1976 00:00;;;;;;;;;;;;;;;;;;75.1;;;;;;;;;;;
GIH;01.09.1976 00:00;;;;;;;;;;;;;;;;;;76.2;;;;;;;;;;;
GIH;01.10.1976 00:00;;;;;;;;;;;;;;;;;;80.2;;;;;;;;;;;
GIH;01.11.1976 00:00;;;;;;;;;;;;;;;;;;54.7;;;;;;;;;;;
GIH;01.12.1976 00:00;;;;;;;;;;;;;;;;;;119.6;;;;;;;;;;;
GIH;01.01.1977 00:00;;;;;;;;;;;;;;;;;;57.2;;;;;;;;;;;
GIH;01.02.1977 00:00;;;;;;;;;;;;;;;;;;114.4;;;;;;;;;;;
GIH;01.03.1977 00:00;;;;;;;;;;;;;;;;;;74.3;;;;;;;;;;;
GIH;01.04.1977 00:00;;;;;;;;;;;;;;;;;;223;;;;;;;;;;;
GIH;01.05.1977 00:00;;;;;;;;;;;;;;;;;;68.2;;;;;;;;;;;
GIH;01.06.1977 00:00;;;;;;;;;;;;;;;;;;166.2;;;;;;;;;;;
GIH;01.07.1977 00:00;;;;;;;;;;;;;;;;;;257.7;;;;;;;;;;;
GIH;01.08.1977 00:00;;;;;;;;;;;;;;;;;;141.4;;;;;;;;;;;
GIH;01.09.1977 00:00;;;;;;;;;;;;;;;;;;55.2;;;;;;;;;;;
GIH;01.10.1977 00:00;;;;;;;;;;;;;;;;;;95.5;;;;;;;;;;;
GIH;01.11.1977 00:00;;;;;;;;;;;;;;;;;;147.2;;;;;;;;;;;
GIH;01.12.1977 00:00;;;;;;;;;;;;;;;;;;76.9;;;;;;;;;;;
GIH;01.01.1978 00:00;;;;;;;;;;;;;;;;;;82.5;;;;;;;;;;;
GIH;01.02.1978 00:00;;;;;;;;;;;;;;;;;;176;;;;;;;;;;;
GIH;01.03.1978 00:00;;;;;;;;;;;;;;;;;;171.1;;;;;;;;;;;
GIH;01.04.1978 00:00;;;;;;;;;;;;;;;;;;51.4;;;;;;;;;;;
GIH;01.05.1978 00:00;;;;;;;;;;;;;;;;;;123.8;;;;;;;;;;;
GIH;01.06.1978 00:00;;;;;;;;;;;;;;;;;;169;;;;;;;;;;;
GIH;01.07.1978 00:00;;;;;;;;;;;;;;;;;;127.4;;;;;;;;;;;
GIH;01.08.1978 00:00;;;;;;;;;;;;;;;;;;164.8;;;;;;;;;;;
GIH;01.09.1978 00:00;;;;;;;;;;;;;;;;;;61.1;;;;;;;;;;;
GIH;01.10.1978 00:00;;;;;;;;;;;;;;;;;;74;;;;;;;;;;;
GIH;01.11.1978 00:00;;;;;;;;;;;;;;;;;;26.2;;;;;;;;;;;
GIH;01.12.1978 00:00;;;;;;;;;;;;;;;;;;102.2;;;;;;;;;;;
GIH;01.01.1979 00:00;;;;;;;;;;;;;;;;;;83.1;;;;;;;;;;;
GIH;01.02.1979 00:00;;;;;;;;;;;;;;;;;;105.5;;;;;;;;;;;
GIH;01.03.1979 00:00;;;;;;;;;;;;;;;;;;137.1;;;;;;;;;;;
GIH;01.04.1979 00:00;;;;;;;;;;;;;;;;;;111.1;;;;;;;;;;;
GIH;01.05.1979 00:00;;;;;;;;;;;;;;;;;;54;;;;;;;;;;;
GIH;01.06.1979 00:00;;;;;;;;;;;;;;;;;;214.2;;;;;;;;;;;
GIH;01.07.1979 00:00;;;;;;;;;;;;;;;;;;67.8;;;;;;;;;;;
GIH;01.08.1979 00:00;;;;;;;;;;;;;;;;;;212.2;;;;;;;;;;;
