station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GOR;01.08.1993 00:00;5.7;14.7;-5.7;;;;58.7;5.3;;;;;;2.6;24.5;;88.2;;;;;;;;;;;194.1;
GOR;01.09.1993 00:00;0.4;10.3;-9.4;;;;70.3;4.5;;;;;;3.8;;;;;;;;;;;;;;324.8;
GOR;01.10.1993 00:00;-3;4.1;-14.2;;;;67;3.3;;;;;;4.4;37.5;;135;;;;;;;;;;;465;
GOR;01.11.1993 00:00;-6.9;1.8;-19.2;;;;55.1;2.1;;;;;;2.2;24.7;;88.9;;;;;;;;;;;566.6;
GOR;01.12.1993 00:00;-7.9;5.6;-20.2;;;;61.9;2.1;;;;;;5;40.8;;146.9;;;;;;;;;;;617.7;
GOR;01.01.1994 00:00;-9.2;0;-19.3;;;;60.5;1.9;;;;;;4.6;50.4;16.6;181.4;;;;;;;;;;;593.9;
GOR;01.02.1994 00:00;;;;;;;;;;;;;;3.3;31;11.9;111.6;;;;;;;;;;;;
GOR;01.03.1994 00:00;-4;4;-14.8;;;;52.7;2.4;;;;;;3.6;42.8;13;154.1;;;;;;;;;;;496.5;
GOR;01.04.1994 00:00;-8.1;5.6;-18.4;;;;71.2;2.5;694;;;;1019.3;2.7;25.7;9.7;92.5;;;;;;;;;;;602.3;
GOR;01.05.1994 00:00;-0.5;8.6;-7.7;;;;67.7;3.9;698.8;;;;1026.1;3.9;33.6;14;121;;;;;;;;;;;386.5;
GOR;01.06.1994 00:00;2.3;12.7;-9.3;;;;65.5;4.8;704.8;;;;1035;3.3;43.9;11.9;158;;;;;;;;;;;289.6;
GOR;01.07.1994 00:00;7.1;;;;;;62.6;6.1;707.6;;;;1039.1;2.1;;7.6;;;;;;;;;;;;141.9;
GOR;01.08.1994 00:00;6.3;14.4;-2.2;;;;61.1;5.8;705.4;;;;1035.9;3.3;35.1;11.9;126.4;;;;;;;;;;;176.2;
GOR;01.09.1994 00:00;;;;;;;;;;;;;;3.9;;14;;;;;;;;;;;;;
GOR;01.10.1994 00:00;-1.2;;;;;;56.2;3.2;698.3;;;;;2.8;;10.1;;;;;;;;;;;;381.5;
GOR;01.11.1994 00:00;;;;;;;;;697.5;;;;;3.2;33.7;11.5;121.3;;;;;;;;;;;;
GOR;01.12.1994 00:00;-6;5.1;-20.1;;;;49.1;1.9;694.2;;;;;3.3;31.7;11.9;114.1;;;;;;;;;;;557.3;
GOR;01.01.1995 00:00;-10.9;-1.8;-22.6;;;;55.4;1.6;687.7;;;;;5.1;49;18.4;176.4;;;;;;;;;;;708.9;
GOR;01.02.1995 00:00;;;;;;;;;690.8;;;;;3.5;45.6;12.6;164.2;;;;;;;;;;;;
GOR;01.03.1995 00:00;-10;-0.3;-22.9;;;;56.8;1.6;687.2;;;;;3.9;45.3;14;163.1;;;;;;;;;;;682.2;
