station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GOE;01.12.1981 00:00;;;;;;;;;;;;;;2.2;;7.9;;;;;;;1024;;;;;;
GOE;01.01.1982 00:00;;;;;;;;;;;;;;2.2;;7.9;;;;;;;930;;;;;;
GOE;01.02.1982 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;2811;;;;;;
GOE;01.03.1982 00:00;;;;;;;;;;;;;;2.3;;8.3;;;;;;;6208;;;;;;
GOE;01.04.1982 00:00;;;;;;;;;;;;;;2.3;;8.3;;;;;;;10416;;;;;;
GOE;01.05.1982 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;11756;;;;;;
GOE;01.06.1982 00:00;;;;;;;;;;;;;;1.3;;4.7;;;;;;;8323;;;;;;
GOE;01.07.1982 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;10886;;;;;;
GOE;01.08.1982 00:00;;;;;;;;;;;;;;1;;3.6;;;;;;;7479;;;;;;
GOE;01.09.1982 00:00;;;;;;;;;;;;;;0.9;;3.2;;;;;;;8447;;;;;;
GOE;01.10.1982 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;2923;;;;;;
GOE;01.11.1982 00:00;;;;;;;;;;;;;;1.6;;5.8;;;;;;;2502;;;;;;
GOE;01.12.1982 00:00;;;;;;;;;;;;;;2.5;;9;;;;;;;1783;;;;;;
GOE;01.01.1983 00:00;;;;;;;;;;;;;;2.6;;9.4;;;;;;;2562;;;;;;
GOE;01.02.1983 00:00;;;;;;;;;;;;;;2.8;;10.1;;;;;;;4157;;;;;;
