station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GRE;01.06.1992 00:00;15.5;27.5;5.8;;;;79.1;13.6;1017.3;;;;1017.2;;;;;;;;;;;;;;17.8;1.8;
GRE;01.07.1992 00:00;18.5;31.4;10.3;;;;78.4;16.3;990.1;;;;1020.7;;;;;;;;;;;;;;0;0;
GRE;01.08.1992 00:00;20.1;32.5;7.8;;;;72.2;16.4;967.1;;;;;;;;;;;;;;;;;;0;0;
GRE;01.09.1992 00:00;14;23.7;2.8;;;;84;13.4;970.3;;;;;;;;;;;;;;;;;;54.5;6.5;
GRE;01.10.1992 00:00;8.2;17;-2.8;;;;86.1;9.5;960.4;;;;;;;;;;;;;;;;;;329.4;121.4;
GRE;01.11.1992 00:00;6.5;13.4;-3.7;;;;89.7;8.8;969.8;;;;;;;;;;;;;;;;;;404;164;
GRE;01.12.1992 00:00;1;;;;;;89.6;6.1;969.7;;;;;;;;;;;;;;;;;;552.2;320.2;
GRE;01.01.1993 00:00;2.2;12.7;-12.1;;;;85.3;6.4;977.3;;;;;;;;;;;;;;;;;;552.8;304.8;
GRE;01.02.1993 00:00;-0.6;10.7;-14.8;;;;85.6;5.1;977.2;;;;;2.3;18.2;;65.5;;;;;;;;;;577.6;353.6;
GRE;01.03.1993 00:00;3.8;20;-7.1;;;;72.4;5.8;971.1;;;;;2.5;20.2;;72.7;;;;;;;;;;502.3;254.3;
GRE;01.04.1993 00:00;9.7;24.4;-2.8;;;;75.3;8.8;962.5;;;;;2.3;17.9;;64.4;;;;;;;;;;242;82;
GRE;01.05.1993 00:00;14;27.8;4.1;;;;77.5;12.1;964.4;;;;;2.2;24.6;;88.6;;;;;;;;;;61.7;5.7;
GRE;01.06.1993 00:00;16.7;30.2;5.5;;;;77.3;14.4;967.3;;;;;2.2;16.8;;60.5;;;;;;;;;;9.2;1.2;
