station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GUT;01.06.1976 00:00;18.5;29.7;6.4;;;;58.9;12.4;968;;;;;1.1;;5;;94.3;;;;;;;;;29.5;;
GUT;01.07.1976 00:00;19.4;31.4;9.8;;;;66.1;14.3;965;;;;;0.7;;2.9;;233.3;;;;;;;;;0;;
GUT;01.08.1976 00:00;15.9;25.2;8.5;;;;72.2;12.6;967.2;;;;;0.5;;2.5;;35.6;;;;;;;;;0;;
GUT;01.09.1976 00:00;12.6;22.5;4.2;;;;78.4;11.1;964.8;;;;;0.6;;3.2;;90.2;;;;;;;;;128.9;;
GUT;01.10.1976 00:00;10.3;23.2;3.4;;;;81.9;10.2;958.6;;;;;0.5;;2.9;;47;;;;;;;;;250.1;;
GUT;01.11.1976 00:00;4.6;18.6;-2.1;;;;79.7;6.7;966;;;;;1.3;;5;;75.1;;;;;;;;;460.9;;
GUT;01.12.1976 00:00;-1.6;7.8;-9.2;;;;84.1;4.7;959.5;;;;;1;;4.7;;78.3;;;;;;;;;670.8;;
GUT;01.01.1977 00:00;0.5;8;-8.6;;;;84;5.4;962;;;;;0.8;;3.6;;58.9;;;;;;;;;604.2;;
GUT;01.02.1977 00:00;4.6;12.7;-3.3;;;;75.4;6.4;959.8;;;;;1.8;;7.6;;104;;;;;;;;;429.9;;
GUT;01.03.1977 00:00;7.1;20.4;-4.5;;;;72.2;7.1;967.3;;;;;1.4;;5.8;;61;;;;;;;;;377.1;;
GUT;01.04.1977 00:00;6.5;19.4;-2.5;;;;80.6;7.8;963.9;;;;;1.9;;7.9;;128.6;;;;;;;;;386.5;;
GUT;01.05.1977 00:00;12.2;25;1.5;;;;72.9;10.2;962.9;;;;;1.2;;5.8;;56;;;;;;;;;140.5;;
GUT;01.06.1977 00:00;16.2;31.5;6;;;;72.9;13.2;963.3;;;;;1.1;;5;;118.3;;;;;;;;;0;;
GUT;01.07.1977 00:00;17.7;28.8;9.1;;;;72.1;14.7;963.6;;;;;0.7;;3.2;;143.7;;;;;;;;;0;;
GUT;01.08.1977 00:00;16.4;27;8.9;;;;82.5;15;963.3;;;;;0.5;;2.5;;131.5;;;;;;;;;0;;
GUT;01.09.1977 00:00;12.7;24;3.2;;;;84.2;12.5;970.4;;;;;0.8;;4;;57.4;;;;;;;;;125.6;;
GUT;01.10.1977 00:00;10.3;23.8;0.8;;;;87.2;10.8;967.9;;;;;0.5;;2.5;;60.3;;;;;;;;;255.6;;
GUT;01.11.1977 00:00;5;19.6;-4;;;;81.4;7.3;962.5;;;;;1.6;;6.1;;75.1;;;;;;;;;437.6;;
GUT;01.12.1977 00:00;1.4;13.4;-5.7;;;;90.3;6.3;968.7;;;;;1.2;;5;;57.8;;;;;;;;;576.2;;
GUT;01.01.1978 00:00;0.1;6;-9.5;;;;88.4;5.5;962.2;;;;;2;;7.9;;50.6;;;;;1584;11;;;617.7;;
GUT;01.02.1978 00:00;-0.9;10.7;-7.6;;;;85.6;5;957.2;;;;;1.2;;5;;96.6;;;;;2526;16;;;584.5;;
GUT;01.03.1978 00:00;4.4;18.1;-1.7;;;;82.7;6.9;962.9;;;;;2.7;;9.7;;105.7;;;;;5538;26;;;482.4;;
GUT;01.04.1978 00:00;7.3;18.8;-2.3;;;;74.5;7.5;958.3;;;;;1.9;;7.2;;51.6;;;;;9672;40;;;368.4;;
GUT;01.05.1978 00:00;11.1;23;2.6;;;;76.8;9.9;962.4;;;;;2.6;;10.1;;142.2;;;;;8250;30;;;208.5;;
GUT;01.06.1978 00:00;14.6;27.8;6.4;;;;73.2;12.2;964;;;;;1.7;;6.8;;92;;;;;11304;42;;;75.6;;
GUT;01.07.1978 00:00;16.1;28.9;8.6;;;;78.1;14.3;965.7;;;;;1.7;;6.1;;126.5;;;;;11406;42;;;25.9;;
GUT;01.08.1978 00:00;15.1;26.4;6;;;;88;15.1;967.1;;;;;1.6;;6.1;;163.2;;;;;11172;44;;;46;;
GUT;01.09.1978 00:00;12.9;24;3.4;;;;86.6;12.7;968;;;;;2.3;;8.6;;48.8;;;;;10194;47;;;117.6;;
GUT;01.10.1978 00:00;7.8;16.7;1.1;;;;94.2;10;971;;;;;1.7;;6.8;;75.4;;;;;3264;17;;;378.6;;
GUT;01.11.1978 00:00;2.6;11.9;-3.2;;;;95.3;7.1;975.2;;;;;1.4;;5.4;;10.6;;;;;1566;10;;;522.1;;
GUT;01.12.1978 00:00;1.5;12;-6.3;;;;89.8;6.3;957.9;;;;;2.4;;9;;79.4;;;;;1692;12;;;574.5;;
GUT;01.01.1979 00:00;-3.1;5.3;-13.3;;;;91.9;4.7;962.2;;;;;2;;7.9;;62.1;;;;;2502;17;;;716.8;;
GUT;01.02.1979 00:00;1.5;10.9;-7;;;;90.6;6.3;959.1;;;;;1.9;;7.2;;75.3;;;;;2766;17;;;517.5;;
GUT;01.03.1979 00:00;4.9;17.5;-1.8;;;;87.4;7.6;959.2;;;;;2.6;;10.1;;74.8;;;;;5616;27;;;469.2;;
GUT;01.04.1979 00:00;5.9;18.2;-1.6;;;;82;7.5;961.6;;;;;2.2;;7.9;;93.6;;;;;7560;32;;;421.5;;
GUT;01.05.1979 00:00;12.3;30;-1.8;;;;70.7;10.2;966.3;;;;;1.8;;6.8;;52.8;;;;;14016;52;;;164.9;;
GUT;01.06.1979 00:00;16.3;28.1;6.4;;;;79.6;14.5;967;;;;;1.5;;5.8;;99.9;;;;;9570;35;;;49.2;;
GUT;01.07.1979 00:00;16.8;28.7;8.8;;;;74.2;14.3;968.6;;;;;1.7;;6.1;;57.5;;;;;9960;36;;;9.9;;
GUT;01.08.1979 00:00;15.5;28.9;5.9;;;;83;14.3;964.9;;;;;1.7;;6.5;;71.6;;;;;10296;40;;;26.2;;
GUT;01.09.1979 00:00;13.3;24.4;3.6;;;;85.1;13.1;969.1;;;;;1.5;;5.4;;103.5;;;;;9804;45;;;109.3;;
