station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GUE;01.01.1954 00:00;-10.2;3.4;-20.6;;;;;;761.8;;;;;;;;;;;;;;;;;;935.3;;
GUE;01.02.1954 00:00;-7.9;0.2;-16;;;;;;759.1;;;;;;;;;;;;;;;;;;782.3;;
GUE;01.03.1954 00:00;-4.8;4;-15;;;;;;762.7;;;;;;;;;;;;;;;;;;768.1;;
GUE;01.04.1954 00:00;-4.1;9.2;-14.5;;;;;;767.2;;;;;;;;;;;;;;;;;;723.2;;
GUE;01.05.1954 00:00;0.1;10.3;-8.4;;;;;;768.3;;;;;;;;;;;;;;;;;;617.7;;
GUE;01.06.1954 00:00;4.9;15.2;-3.4;;;;;;772.9;;;;;;;;;;;;;;;;;;453.4;;
GUE;01.07.1954 00:00;4.6;16;-4;;;;;;772.5;;;;;;;;;;;;;;;;;;478.3;;
GUE;01.08.1954 00:00;5.6;15.8;-1.7;;;;;;772.3;;;;;;;;;;;;;;;;;;446.8;;
GUE;01.09.1954 00:00;5.2;17;-9.2;;;;;;775;;;;;;;;;;;;;;;;;;438;;
GUE;01.10.1954 00:00;1.9;11.3;-7.8;;;;;;773.4;;;;;;;;;;;;;;;;;;560.1;;
GUE;01.11.1954 00:00;-2.5;11;-15.1;;;;;;768.3;;;;;;;;;;;;;;;;;;675.2;;
GUE;01.12.1954 00:00;-4;6.7;-14.8;;;;;;766.9;;;;;;;;;;;;;;;;;;744.3;;
GUE;01.01.1955 00:00;-5.1;2.8;-18.7;;;;;;762.6;;;;;;;;;;;;;;;;;;777.8;;
GUE;01.02.1955 00:00;-9.3;-1;-19.2;;;;;;755.4;;;;;;;;;;;;;;;;;;821.8;;
GUE;01.03.1955 00:00;-6.6;7.7;-18.4;;;;;;762.5;;;;;;;;;;;;;;;;;;824.6;;
GUE;01.04.1955 00:00;-3.1;8;-12.8;;;;;;770.9;;;;;;;;;;;;;;;;;;691.5;;
GUE;01.05.1955 00:00;0.2;8.3;-8.5;;;;;;771.2;;;;;;;;;;;;;;;;;;614;;
GUE;01.06.1955 00:00;4.6;14.2;-5.5;;;;;;773.5;;;;;;;;;;;;;;;;;;462;;
GUE;01.07.1955 00:00;7.2;19;-0.8;;;;;;774.6;;;;;;;;;;;;;;;;;;392;;
GUE;01.08.1955 00:00;6.2;14.3;-2.6;;;;;;775.3;;;;;;;;;;;;;;;;;;429.3;;
GUE;01.09.1955 00:00;4.4;13.6;-6.3;;;;;;773.9;;;;;;;;;;;;;;;;;;468.1;;
GUE;01.10.1955 00:00;0;12;-12.2;;;;;;769.3;;;;;;;;;;;;;;;;;;618.7;;
GUE;01.11.1955 00:00;-3.1;7.4;-17;;;;;;769.3;;;;;;;;;;;;;;;;;;693.1;;
GUE;01.12.1955 00:00;-3.5;6.8;-12.6;;;;;;765.9;;;;;;;;;;;;;;;;;;729;;
GUE;01.01.1956 00:00;-6;4.4;-15.9;;;;;;764.3;;;;;;;;;;;;;;;;;;805.8;;
GUE;01.02.1956 00:00;-15.5;1.1;-30.2;;;;;;756.2;;;;;;;;;;;;;;;;;;1028.3;;
GUE;01.03.1956 00:00;-6.7;5.1;-20.5;;;;;;765.6;;;;;;;;;;;;;;;;;;828.9;;
GUE;01.04.1956 00:00;-4.9;6.3;-17.5;;;;;;762.9;;;;;;;;;;;;;;;;;;748.1;;
GUE;01.05.1956 00:00;1.4;13;-9.2;;;;;;774.3;;;;;;;;;;;;;;;;;;577.9;;
GUE;01.06.1956 00:00;1.9;11.4;-5.5;;;;;;772.9;;;;;;;;;;;;;;;;;;542.8;;
GUE;01.07.1956 00:00;7.2;19;-0.6;;;;;;774.8;;;;;;;;;;;;;;;;;;391.4;;
GUE;01.08.1956 00:00;6.5;20.2;-3;;;;;;772.4;;;;;;;;;;;;;;;;;;410.2;;
GUE;01.09.1956 00:00;6.6;16.2;-1.6;;;;;;776;;;;;;;;;;;;;;;;;;402.6;;
