station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
HOE;01.08.1974 00:00;;;;;;;;;;;;;;;;;;149.4;;;;;;;;;;;
HOE;01.09.1974 00:00;;;;;;;;;;;;;;;;;;117.2;;;;;;;;;;;
HOE;01.10.1974 00:00;;;;;;;;;;;;;;;;;;182.4;;;;;;;;;;;
HOE;01.11.1974 00:00;;;;;;;;;;;;;;;;;;105.1;;;;;;;;;;;
HOE;01.12.1974 00:00;;;;;;;;;;;;;;;;;;99;;;;;;;;;;;
HOE;01.01.1975 00:00;;;;;;;;;;;;;;;;;;65.6;;;;;;;;;;;
HOE;01.02.1975 00:00;;;;;;;;;;;;;;;;;;29.7;;;;;;;;;;;
HOE;01.03.1975 00:00;;;;;;;;;;;;;;;;;;65.6;;;;;;;;;;;
HOE;01.04.1975 00:00;;;;;;;;;;;;;;;;;;119.2;;;;;;;;;;;
HOE;01.05.1975 00:00;;;;;;;;;;;;;;;;;;149.5;;;;;;;;;;;
HOE;01.06.1975 00:00;;;;;;;;;;;;;;;;;;199.8;;;;;;;;;;;
HOE;01.07.1975 00:00;;;;;;;;;;;;;;;;;;123.8;;;;;;;;;;;
HOE;01.08.1975 00:00;;;;;;;;;;;;;;;;;;313.8;;;;;;;;;;;
HOE;01.09.1975 00:00;;;;;;;;;;;;;;;;;;112.2;;;;;;;;;;;
HOE;01.10.1975 00:00;;;;;;;;;;;;;;;;;;69.6;;;;;;;;;;;
HOE;01.11.1975 00:00;;;;;;;;;;;;;;;;;;128.1;;;;;;;;;;;
HOE;01.12.1975 00:00;;;;;;;;;;;;;;;;;;10.7;;;;;;;;;;;
HOE;01.01.1976 00:00;;;;;;;;;;;;;;;;;;62.9;;;;;;;;;;;
HOE;01.02.1976 00:00;;;;;;;;;;;;;;;;;;28.7;;;;;;;;;;;
HOE;01.03.1976 00:00;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;
HOE;01.04.1976 00:00;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;
