station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
INT;01.01.1894 00:00;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;
INT;01.02.1894 00:00;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;
INT;01.03.1894 00:00;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;
INT;01.04.1894 00:00;;;;;;;;;;;;;;;;;;63;;;;;;;;;;;
INT;01.05.1894 00:00;;;;;;;;;;;;;;;;;;130;;;;;;;;;;;
INT;01.06.1894 00:00;;;;;;;;;;;;;;;;;;94;;;;;;;;;;;
INT;01.07.1894 00:00;;;;;;;;;;;;;;;;;;117;;;;;;;;;;;
INT;01.08.1894 00:00;;;;;;;;;;;;;;;;;;117;;;;;;;;;;;
INT;01.09.1894 00:00;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;
INT;01.10.1894 00:00;;;;;;;;;;;;;;;;;;89;;;;;;;;;;;
INT;01.11.1894 00:00;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;
INT;01.12.1894 00:00;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;
INT;01.01.1895 00:00;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;
INT;01.02.1895 00:00;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;
INT;01.03.1895 00:00;;;;;;;;;;;;;;;;;;131;;;;;;;;;;;
INT;01.04.1895 00:00;;;;;;;;;;;;;;;;;;64;;;;;;;;;;;
INT;01.05.1895 00:00;;;;;;;;;;;;;;;;;;127;;;;;;;;;;;
INT;01.06.1895 00:00;;;;;;;;;;;;;;;;;;106;;;;;;;;;;;
INT;01.07.1895 00:00;;;;;;;;;;;;;;;;;;113;;;;;;;;;;;
INT;01.08.1895 00:00;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;
INT;01.09.1895 00:00;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;
INT;01.10.1895 00:00;;;;;;;;;;;;;;;;;;107;;;;;;;;;;;
INT;01.11.1895 00:00;;;;;;;;;;;;;;;;;;61;;;;;;;;;;;
INT;01.12.1895 00:00;;;;;;;;;;;;;;;;;;144;;;;;;;;;;;
INT;01.01.1896 00:00;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;
INT;01.02.1896 00:00;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;
INT;01.03.1896 00:00;;;;;;;;;;;;;;;;;;262;;;;;;;;;;;
INT;01.04.1896 00:00;;;;;;;;;;;;;;;;;;131;;;;;;;;;;;
INT;01.05.1896 00:00;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;
INT;01.06.1896 00:00;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;
INT;01.07.1896 00:00;;;;;;;;;;;;;;;;;;174;;;;;;;;;;;
INT;01.08.1896 00:00;;;;;;;;;;;;;;;;;;198;;;;;;;;;;;
INT;01.09.1896 00:00;;;;;;;;;;;;;;;;;;210;;;;;;;;;;;
INT;01.10.1896 00:00;;;;;;;;;;;;;;;;;;129;;;;;;;;;;;
INT;01.11.1896 00:00;;;;;;;;;;;;;;;;;;62;;;;;;;;;;;
INT;01.12.1896 00:00;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;
INT;01.01.1897 00:00;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;
INT;01.02.1897 00:00;;;;;;;;;;;;;;;;;;170;;;;;;;;;;;
INT;01.03.1897 00:00;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;
INT;01.04.1897 00:00;;;;;;;;;;;;;;;;;;82;;;;;;;;;;;
INT;01.05.1897 00:00;;;;;;;;;;;;;;;;;;117;;;;;;;;;;;
INT;01.06.1897 00:00;;;;;;;;;;;;;;;;;;142;;;;;;;;;;;
INT;01.07.1897 00:00;;;;;;;;;;;;;;;;;;130;;;;;;;;;;;
