station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BRL;01.01.1901 00:00;;;;;;;;;;;;;;;;;;67.8;;;;;;;;;;;
BRL;01.02.1901 00:00;;;;;;;;;;;;;;;;;;52.8;;;;;;;;;;;
BRL;01.03.1901 00:00;;;;;;;;;;;;;;;;;;110;;;;;;;;;;;
BRL;01.04.1901 00:00;;;;;;;;;;;;;;;;;;241.9;;;;;;;;;;;
BRL;01.05.1901 00:00;;;;;;;;;;;;;;;;;;41.6;;;;;;;;;;;
BRL;01.06.1901 00:00;;;;;;;;;;;;;;;;;;150.4;;;;;;;;;;;
BRL;01.07.1901 00:00;;;;;;;;;;;;;;;;;;129.8;;;;;;;;;;;
BRL;01.08.1901 00:00;;;;;;;;;;;;;;;;;;120.1;;;;;;;;;;;
BRL;01.09.1901 00:00;;;;;;;;;;;;;;;;;;245.6;;;;;;;;;;;
BRL;01.10.1901 00:00;;;;;;;;;;;;;;;;;;97.4;;;;;;;;;;;
BRL;01.11.1901 00:00;;;;;;;;;;;;;;;;;;42.7;;;;;;;;;;;
BRL;01.12.1901 00:00;;;;;;;;;;;;;;;;;;121.3;;;;;;;;;;;
BRL;01.01.1902 00:00;;;;;;;;;;;;;;;;;;106.5;;;;;;;;;;;
BRL;01.02.1902 00:00;;;;;;;;;;;;;;;;;;130.7;;;;;;;;;;;
BRL;01.03.1902 00:00;;;;;;;;;;;;;;;;;;160.5;;;;;;;;;;;
BRL;01.04.1902 00:00;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;
BRL;01.05.1902 00:00;;;;;;;;;;;;;;;;;;167.1;;;;;;;;;;;
BRL;01.06.1902 00:00;;;;;;;;;;;;;;;;;;94.4;;;;;;;;;;;
BRL;01.07.1902 00:00;;;;;;;;;;;;;;;;;;67.4;;;;;;;;;;;
BRL;01.08.1902 00:00;;;;;;;;;;;;;;;;;;189.9;;;;;;;;;;;
BRL;01.09.1902 00:00;;;;;;;;;;;;;;;;;;58.3;;;;;;;;;;;
BRL;01.10.1902 00:00;;;;;;;;;;;;;;;;;;118.7;;;;;;;;;;;
BRL;01.11.1902 00:00;;;;;;;;;;;;;;;;;;65.1;;;;;;;;;;;
BRL;01.12.1902 00:00;;;;;;;;;;;;;;;;;;131.3;;;;;;;;;;;
BRL;01.01.1903 00:00;;;;;;;;;;;;;;;;;;76.5;;;;;;;;;;;
BRL;01.02.1903 00:00;;;;;;;;;;;;;;;;;;49.3;;;;;;;;;;;
BRL;01.03.1903 00:00;;;;;;;;;;;;;;;;;;101.5;;;;;;;;;;;
BRL;01.04.1903 00:00;;;;;;;;;;;;;;;;;;120;;;;;;;;;;;
BRL;01.05.1903 00:00;;;;;;;;;;;;;;;;;;96.9;;;;;;;;;;;
BRL;01.06.1903 00:00;;;;;;;;;;;;;;;;;;92.9;;;;;;;;;;;
BRL;01.07.1903 00:00;;;;;;;;;;;;;;;;;;101.5;;;;;;;;;;;
BRL;01.08.1903 00:00;;;;;;;;;;;;;;;;;;172.6;;;;;;;;;;;
BRL;01.09.1903 00:00;;;;;;;;;;;;;;;;;;38.2;;;;;;;;;;;
BRL;01.10.1903 00:00;;;;;;;;;;;;;;;;;;206.7;;;;;;;;;;;
BRL;01.11.1903 00:00;;;;;;;;;;;;;;;;;;120.1;;;;;;;;;;;
BRL;01.12.1903 00:00;;;;;;;;;;;;;;;;;;83.9;;;;;;;;;;;
BRL;01.01.1904 00:00;;;;;;;;;;;;;;;;;;67.7;;;;;;;;;;;
BRL;01.02.1904 00:00;;;;;;;;;;;;;;;;;;202.6;;;;;;;;;;;
BRL;01.03.1904 00:00;;;;;;;;;;;;;;;;;;72.5;;;;;;;;;;;
BRL;01.04.1904 00:00;;;;;;;;;;;;;;;;;;68.4;;;;;;;;;;;
BRL;01.05.1904 00:00;;;;;;;;;;;;;;;;;;168.1;;;;;;;;;;;
BRL;01.06.1904 00:00;;;;;;;;;;;;;;;;;;194.4;;;;;;;;;;;
BRL;01.07.1904 00:00;;;;;;;;;;;;;;;;;;49.9;;;;;;;;;;;
BRL;01.08.1904 00:00;;;;;;;;;;;;;;;;;;107;;;;;;;;;;;
BRL;01.09.1904 00:00;;;;;;;;;;;;;;;;;;116.9;;;;;;;;;;;
BRL;01.10.1904 00:00;;;;;;;;;;;;;;;;;;58.5;;;;;;;;;;;
BRL;01.11.1904 00:00;;;;;;;;;;;;;;;;;;49.7;;;;;;;;;;;
BRL;01.12.1904 00:00;;;;;;;;;;;;;;;;;;102.4;;;;;;;;;;;
BRL;01.01.1905 00:00;;;;;;;;;;;;;;;;;;87.4;;;;;;;;;;;
