station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CDF;01.01.1900 00:00;;;;;;;;;;;;;;;;;;218.9;;;;;;;;;;;
CDF;01.02.1900 00:00;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;
CDF;01.03.1900 00:00;;;;;;;;;;;;;;;;;;59.9;;;;;;;;;;;
CDF;01.04.1900 00:00;;;;;;;;;;;;;;;;;;83.3;;;;;;;;;;;
CDF;01.05.1900 00:00;;;;;;;;;;;;;;;;;;84.8;;;;;;;;;;;
CDF;01.06.1900 00:00;;;;;;;;;;;;;;;;;;73.4;;;;;;;;;;;
CDF;01.07.1900 00:00;;;;;;;;;;;;;;;;;;106.7;;;;;;;;;;;
CDF;01.08.1900 00:00;;;;;;;;;;;;;;;;;;155.9;;;;;;;;;;;
CDF;01.09.1900 00:00;;;;;;;;;;;;;;;;;;102.6;;;;;;;;;;;
CDF;01.10.1900 00:00;;;;;;;;;;;;;;;;;;88.1;;;;;;;;;;;
CDF;01.11.1900 00:00;;;;;;;;;;;;;;;;;;90.6;;;;;;;;;;;
CDF;01.12.1900 00:00;;;;;;;;;;;;;;;;;;150.1;;;;;;;;;;;
CDF;01.01.1901 00:00;-2.6;;-16;;;;80.8;4.3;904.3;;;;;2.7;;9.7;;123.3;;;;;7620;;;;700.8;;
CDF;01.02.1901 00:00;-7.3;;-25.6;;;;78.3;3.1;898.8;;;;;3.1;;11.2;;63.1;;;;;6120;;;;765.1;;
CDF;01.03.1901 00:00;-0.4;;-17.5;;;;78.4;4.8;893.4;;;;;3.9;;14;;102.6;;;;;4200;;;;632.4;;
CDF;01.04.1901 00:00;5.6;;-9;;;;79.1;7.4;901.2;;;;;3.1;;11.2;;288.7;;;;;7860;;;;431.5;;
CDF;01.05.1901 00:00;10;;0;;;;70.3;8.8;903;;;;;2;;7.2;;42.3;;;;;14580;;;;249;;
CDF;01.06.1901 00:00;13.6;;1.5;;;;70.1;11.3;905.7;;;;;2.4;;8.6;;190.2;;;;;13440;;;;105.8;;
CDF;01.07.1901 00:00;15.7;;5.5;;;;68;12.1;904.7;;;;;2.4;;8.6;;125.9;;;;;13320;;;;18;;
CDF;01.08.1901 00:00;13.9;;2;;;;77.4;12.6;906.6;;;;;1.1;;4;;140.3;;;;;12564;52;;;77.4;;
CDF;01.09.1901 00:00;12;;2.5;;;;83.8;11.9;901.9;;;;;0.4;;1.4;;199.3;;;;;6570;32;;;152.3;;
CDF;01.10.1901 00:00;6.2;;-2;;;;83.9;8.2;901.1;;;;;0.8;;2.9;;142.9;;;;;5718;31;;;419.2;;
CDF;01.11.1901 00:00;-0.5;;-10;;;;79.8;4.7;905.1;;;;;1.1;;4;;49.7;;;;;5958;38;;;614.1;;
