station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
LAE;01.12.1989 00:00;1.3;20.1;-7.5;;;;78.6;5.4;917.2;;1473.8;;;3.7;30.4;13.3;109.4;;46;;;;6210;41;27;0;579.3;331.3;
LAE;01.01.1990 00:00;0.6;9.2;-6.8;;;;75.1;4.8;924.4;;1535.1;;;3.4;34.4;12.2;123.8;;59;;;;7954;50;20.3;0;601.4;353.4;
LAE;01.02.1990 00:00;5.2;15.1;-1.8;;;;75.3;6.6;919.2;;1502.6;;;5.1;36;18.4;129.6;;75;;;;7339;45;34.5;0;415.4;191.4;
LAE;01.03.1990 00:00;5.5;19.2;-4.5;;;;71.9;6.5;928.4;;1582.8;;;4.1;30.6;14.8;110.2;;122;;;;9685;46;53.2;0;442.7;202.7;
LAE;01.04.1990 00:00;4.7;16.2;-2.1;;;;79.2;6.6;916;;1472.9;;;4;20.7;14.4;74.5;;135;;;;6168;26;51.5;0;460.4;220.4;
LAE;01.05.1990 00:00;12.6;20.2;4.1;;;;67.4;9.7;921.4;;1539.4;;;4.2;19.6;15.1;70.6;;246;;;;15350;57;114.5;0;106.2;18.2;
LAE;01.06.1990 00:00;12.8;25.3;4;;;;80.1;11.7;918.8;;1516.3;;;3.7;24.5;13.3;88.2;;196;;;;9605;35;90.1;2.8;166.2;38.2;
LAE;01.07.1990 00:00;16;27.9;7.6;;;;67.5;12;922.5;;1557.7;;;4.7;19.9;16.9;71.6;;260;;;;17154;63;133.2;16.7;64;8;
LAE;01.08.1990 00:00;17;27.6;7.1;;;;66.2;12.6;923.1;;1566.5;;;4.2;20.7;15.1;74.5;;220;;;;15515;62;123.5;23.6;17.8;1.8;
LAE;01.09.1990 00:00;11;19.9;4.9;;;;78.7;10.3;920.8;;1531.7;;;4.6;26.8;16.6;96.5;;144;;;;9577;45;62.3;0;203.1;43.1;
LAE;01.10.1990 00:00;9.7;22;-1.8;;;;82.9;10;916.9;;1492.2;;;4.1;25.3;14.8;91.1;;94;;;;7728;40;40.7;0;268.4;100.4;
LAE;01.11.1990 00:00;1.6;10.6;-5;;;;94.2;6.6;916.1;;1466.8;;;3.9;27;14;97.2;;33;;;;1988;12;12.4;0;550.5;310.5;
LAE;01.12.1990 00:00;-2.5;7.9;-9.4;;;;90.9;4.8;918.1;;1474.5;;;4.6;70;16.6;252;;33;;;;2665;18;8.3;0;697.2;449.2;
LAE;01.01.1991 00:00;-1.9;11.8;-10.1;;;;90.2;5;924.2;;1528.7;;;4.6;26.9;16.6;96.8;;30;;;;1672;11;13.9;0;677.5;429.5;
LAE;01.02.1991 00:00;-2.3;12.6;-15.5;;;;78.3;4.2;917.2;;1468.2;;;3.9;26.9;14;96.8;;96;;;;7577;46;22;0;623.5;399.5;
LAE;01.03.1991 00:00;5.2;14.7;-4.4;;;;81.1;7.1;915.7;;1470.6;;;4.6;20.9;16.6;75.2;;90;;;;4498;21;38.8;0;453.4;213.4;
LAE;01.04.1991 00:00;5.1;15.2;-3.8;;;;69.1;6;917.4;;1486.8;;;3.9;16.7;14;60.1;;168;;;;10291;44;64.7;0;445.9;205.9;
LAE;01.05.1991 00:00;7.3;20.3;-2.4;;;;73.2;7.3;920.3;;1517;;;3.8;16.1;13.7;58;;188;;;;10593;40;78.2;0;371.4;155.4;
LAE;01.06.1991 00:00;12.1;24.2;4.8;;;;76.6;10.8;918.8;;1515;;;4;23.8;14.4;85.7;;204;;;;10002;37;91.3;0.2;179.3;43.3;
LAE;01.07.1991 00:00;17.3;28;9.8;;;;74.1;14.4;920.6;;1543.8;;;4.3;24.2;15.5;87.1;;247;;;;16052;59;126.3;20.4;9.5;1.5;
LAE;01.08.1991 00:00;18.1;29.2;7.3;;;;64.4;13.2;922.7;;1565.4;;;3.7;15.4;13.3;55.4;;227;;;;16627;67;126.3;28.9;0;0;
LAE;01.09.1991 00:00;14.8;25;5;;;;72.7;12;920.1;;1532.9;;;3.8;25.4;13.7;91.4;;152;;;;11382;53;78.9;2.8;70.8;14.8;
LAE;01.10.1991 00:00;6.5;16;-3.1;;;;87.4;8.7;918.8;;1501.8;;;3.8;28.9;13.7;104;;89;;;;6907;36;31.3;0;396.4;172.4;
LAE;01.11.1991 00:00;2.2;13.2;-3.3;;;;88.5;6.4;916.8;;1473.8;;;5.3;24.8;19.1;89.3;;38;;;;3346;21;17.7;0;534;294;
LAE;01.12.1991 00:00;-2.3;6.3;-11.4;;;;85;4.5;927.8;;1556.7;;;4.5;35;16.2;126;;36;;;;4117;27;11.7;0;691;443;
LAE;01.01.1992 00:00;-1.8;9.1;-12.5;;;;82.3;4.4;928.2;;1562.1;;;4.5;19.1;16.2;68.8;;53;;;;6007;38;18.7;0;676.1;428.1;
