station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
LAG;01.10.1900 00:00;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;
LAG;01.11.1900 00:00;;;;;;;;;;;;;;;;;;58.2;;;;;;;;;;;
LAG;01.12.1900 00:00;;;;;;;;;;;;;;;;;;96;;;;;;;;;;;
LAG;01.01.1901 00:00;-3.3;;;;;;;;;;;;;;;;;44.9;;;;;;;;;;;
LAG;01.02.1901 00:00;-6;;;;;;;;;;;;;;;;;39.5;;;;;;;;;;;
LAG;01.03.1901 00:00;0.4;;;;;;;;;;;;;;;;;94.3;;;;;;;;;;;
LAG;01.04.1901 00:00;7;;;;;;;;;;;;;;;;;236.9;;;;;;;;;;;
LAG;01.05.1901 00:00;11.9;;;;;;;;;;;;;;;;;36.6;;;;;;;;;;;
LAG;01.06.1901 00:00;15.3;;;;;;;;;;;;;;;;;178.9;;;;;;;;;;;
LAG;01.07.1901 00:00;17.3;;;;;;;;;;;;;;;;;148.3;;;;;;;;;;;
LAG;01.08.1901 00:00;15.2;;;;;;;;;;;;;;;;;142.1;;;;;;;;;;;
LAG;01.09.1901 00:00;13;;;;;;;;;;;;;;;;;171.9;;;;;;;;;;;
LAG;01.10.1901 00:00;7;;;;;;;;;;;;;;;;;77.6;;;;;;;;;;;
LAG;01.11.1901 00:00;-0.7;;;;;;;;;;;;;;;;;44.4;;;;;;;;;;;
LAG;01.12.1901 00:00;-1.4;;;;;;;;;;;;;;;;;82.2;;;;;;;;;;;
LAG;01.01.1902 00:00;-0.5;;;;;;;;;;;;;;;;;64.7;;;;;;;;;;;
LAG;01.02.1902 00:00;-1.8;;;;;;;;;;;;;;;;;95.4;;;;;;;;;;;
LAG;01.03.1902 00:00;2.7;;;;;;;;;;;;;;;;;147.1;;;;;;;;;;;
LAG;01.04.1902 00:00;9;;;;;;;;;;;;;;;;;92.7;;;;;;;;;;;
LAG;01.05.1902 00:00;7;;;;;;;;;;;;;;;;;172.2;;;;;;;;;;;
LAG;01.06.1902 00:00;14.1;;;;;;;;;;;;;;;;;74.5;;;;;;;;;;;
LAG;01.07.1902 00:00;17.5;;;;;;;;;;;;;;;;;121.9;;;;;;;;;;;
LAG;01.08.1902 00:00;15.4;;;;;;;;;;;;;;;;;166.3;;;;;;;;;;;
LAG;01.09.1902 00:00;12.4;;;;;;;;;;;;;;;;;138;;;;;;;;;;;
LAG;01.10.1902 00:00;6.6;;;;;;;;;;;;;;;;;152.2;;;;;;;;;;;
LAG;01.11.1902 00:00;1;;;;;;;;;;;;;;;;;34.9;;;;;;;;;;;
LAG;01.12.1902 00:00;-2.3;;;;;;;;;;;;;;;;;90.1;;;;;;;;;;;
LAG;01.01.1903 00:00;-1.4;;;;;;;;;;;;;;;;;49.7;;;;;;;;;;;
LAG;01.02.1903 00:00;1.5;;;;;;;;;;;;;;;;;56.8;;;;;;;;;;;
LAG;01.03.1903 00:00;4.2;;;;;;;;;;;;;;;;;84.6;;;;;;;;;;;
LAG;01.04.1903 00:00;3.5;;;;;;;;;;;;;;;;;103.5;;;;;;;;;;;
LAG;01.05.1903 00:00;11.2;;;;;;;;;;;;;;;;;86.1;;;;;;;;;;;
LAG;01.06.1903 00:00;13.4;;;;;;;;;;;;;;;;;195.9;;;;;;;;;;;
LAG;01.07.1903 00:00;15.2;;;;;;;;;;;;;;;;;267.2;;;;;;;;;;;
LAG;01.08.1903 00:00;15.4;;;;;;;;;;;;;;;;;135.5;;;;;;;;;;;
LAG;01.09.1903 00:00;12.8;;;;;;;;;;;;;;;;;58.5;;;;;;;;;;;
LAG;01.10.1903 00:00;8.6;;;;;;;;;;;;;;;;;160.6;;;;;;;;;;;
LAG;01.11.1903 00:00;2.6;;;;;;;;;;;;;;;;;104.9;;;;;;;;;;;
LAG;01.12.1903 00:00;-3.2;;;;;;;;;;;;;;;;;45;;;;;;;;;;;
