station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
LUZ;01.01.1864 00:00;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;
LUZ;01.02.1864 00:00;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;
LUZ;01.03.1864 00:00;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;
LUZ;01.04.1864 00:00;;;;;;;;;;;;;;;;;;136;;;;;;;;;;;
LUZ;01.05.1864 00:00;;;;;;;;;;;;;;;;;;149;;;;;;;;;;;
LUZ;01.06.1864 00:00;;;;;;;;;;;;;;;;;;207;;;;;;;;;;;
LUZ;01.07.1864 00:00;;;;;;;;;;;;;;;;;;157;;;;;;;;;;;
LUZ;01.08.1864 00:00;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;
LUZ;01.09.1864 00:00;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;
LUZ;01.10.1864 00:00;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;
LUZ;01.11.1864 00:00;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;
LUZ;01.12.1864 00:00;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;
LUZ;01.01.1865 00:00;;;;;;;;;;;;;;;;;;65;;;;;;;;;;;
LUZ;01.02.1865 00:00;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;
LUZ;01.03.1865 00:00;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;
LUZ;01.04.1865 00:00;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
LUZ;01.05.1865 00:00;;;;;;;;;;;;;;;;;;89;;;;;;;;;;;
LUZ;01.06.1865 00:00;;;;;;;;;;;;;;;;;;59;;;;;;;;;;;
LUZ;01.07.1865 00:00;;;;;;;;;;;;;;;;;;176;;;;;;;;;;;
LUZ;01.08.1865 00:00;;;;;;;;;;;;;;;;;;219;;;;;;;;;;;
LUZ;01.09.1865 00:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
LUZ;01.10.1865 00:00;;;;;;;;;;;;;;;;;;75;;;;;;;;;;;
LUZ;01.11.1865 00:00;;;;;;;;;;;;;;;;;;87;;;;;;;;;;;
LUZ;01.12.1865 00:00;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;
LUZ;01.01.1866 00:00;;;;;;;;;;;;;;;;;;28;;;;;;;;;;;
LUZ;01.02.1866 00:00;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;
LUZ;01.03.1866 00:00;;;;;;;;;;;;;;;;;;139;;;;;;;;;;;
LUZ;01.04.1866 00:00;;;;;;;;;;;;;;;;;;98;;;;;;;;;;;
LUZ;01.05.1866 00:00;;;;;;;;;;;;;;;;;;121;;;;;;;;;;;
LUZ;01.06.1866 00:00;;;;;;;;;;;;;;;;;;83;;;;;;;;;;;
LUZ;01.07.1866 00:00;;;;;;;;;;;;;;;;;;88;;;;;;;;;;;
LUZ;01.08.1866 00:00;;;;;;;;;;;;;;;;;;287;;;;;;;;;;;
LUZ;01.09.1866 00:00;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;
LUZ;01.10.1866 00:00;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;
LUZ;01.11.1866 00:00;;;;;;;;;;;;;;;;;;87;;;;;;;;;;;
LUZ;01.12.1866 00:00;;;;;;;;;;;;;;;;;;77;;;;;;;;;;;
LUZ;01.01.1867 00:00;;;;;;;;;;;;;;;;;;169;;;;;;;;;;;
LUZ;01.02.1867 00:00;;;;;;;;;;;;;;;;;;65;;;;;;;;;;;
LUZ;01.03.1867 00:00;;;;;;;;;;;;;;;;;;114;;;;;;;;;;;
LUZ;01.04.1867 00:00;;;;;;;;;;;;;;;;;;119;;;;;;;;;;;
LUZ;01.05.1867 00:00;;;;;;;;;;;;;;;;;;185;;;;;;;;;;;
LUZ;01.06.1867 00:00;;;;;;;;;;;;;;;;;;168;;;;;;;;;;;
LUZ;01.07.1867 00:00;;;;;;;;;;;;;;;;;;74;;;;;;;;;;;
