station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MAH;01.09.1992 00:00;14;24;0.6;;;;84.6;13.5;970.4;;;;;;;;;59.6;;;;;31161;148;;0;61.7;5.7;
MAH;01.10.1992 00:00;8.2;;;;;;87.6;9.7;961;;;;;;;;;126.8;;;;;;;;0;328.1;112.1;
MAH;01.11.1992 00:00;6.5;;;;;;92.2;9;970.6;;;;;;;;;;;;;;;;;;;;
MAH;01.12.1992 00:00;1.7;12;-5.1;;;;92.3;6.5;969.6;;;;;;;;;57;;;;;1399;10;;0;568.2;320.2;
MAH;01.01.1993 00:00;2.6;13.8;-11.7;;;;87.6;6.7;977.3;;;;;;;;;11.8;;;;;3619;24;;0;538.6;290.6;
MAH;01.03.1993 00:00;4;21.1;-9;;;;74.4;6;970.7;;;;;2.9;18.8;;67.7;10.2;;;;;12131;58;;0;497.2;249.2;
MAH;01.04.1993 00:00;9.6;23;-4.5;;;;76.7;8.9;962.6;;;;;2.4;17.6;;63.4;49.1;;;;;8437;37;;0;241.2;81.2;
MAH;01.05.1993 00:00;13.9;28.5;2.2;;;;77.5;11.9;964.5;;;;;2.3;20.5;;73.8;50.2;;;;;11338;44;;2.4;61.3;5.3;
MAH;01.06.1993 00:00;16.4;30;5;;;;78.3;14.3;967.5;;;;;2.1;18.6;;67;143.3;;;;;12763;49;;9.9;9.6;1.6;
MAH;01.07.1993 00:00;17.4;31.1;5.1;;;;73;14;969.1;;;;;2.5;19.4;;69.8;66.7;;;;;12681;48;;26.5;17.7;1.7;
MAH;01.08.1993 00:00;17.9;31.9;2;;;;74.3;14.6;969.1;;;;;2.4;18;;64.8;84.7;;;;;14699;61;;31.8;8;0;
MAH;01.09.1993 00:00;13;23;0.7;;;;84.9;12.7;963.9;;;;;2.1;;;;209.8;;;;;;;;0;80.3;16.3;
MAH;01.10.1993 00:00;8.3;15.7;1.6;;;;90.6;10;964.8;;;;;2.2;20.5;;73.8;170.5;;;;;1753;9;;0;363.9;115.9;
MAH;01.11.1993 00:00;2.7;13.9;-6.4;;;;88.8;6.8;969.2;;;;;1.9;21.7;;78.1;17.7;;;;;1567;10;;0;518.6;278.6;
MAH;01.12.1993 00:00;3.8;14;-6.5;;;;88.3;7.2;965.6;;;;;4.6;25.5;;91.8;87.8;;;;;2513;17;;0;501.2;253.2;
MAH;01.01.1994 00:00;5;14.4;-0.8;;;;81.4;7.1;967.5;;;;;3.3;28.8;11.9;103.7;65.4;;;;;3753;25;;0;464.7;216.7;
MAH;01.02.1994 00:00;5.6;16.7;-2.1;;;;77.2;7.1;964.4;;;;;2.4;18.5;8.6;66.6;38.2;;;;;;;;0;402.6;178.6;
MAH;01.03.1994 00:00;10.2;25.4;2.5;;;;71.4;8.7;971.5;;;;;3.3;23.6;11.9;85;22.7;;;;;8742;42;;0;275.8;67.8;
MAH;01.04.1994 00:00;8.8;26.8;0.5;;;;77.2;8.6;963;;;;;3.1;21.5;11.2;77.4;70.3;155;;;;514;2;65.9;0;294.7;110.7;
MAH;01.05.1994 00:00;14.4;30.1;5.3;;;;78;12.5;963.9;;;;;2.2;16.7;7.9;60.1;135;192;;;;885;3;98;0.1;68;4;
MAH;01.06.1994 00:00;18.3;34.1;5.2;;;;70.3;14.3;969.9;;;;;2.4;21.1;8.6;76;50;250;;;;1375;5;128.4;40.8;27.4;3.4;
MAH;01.07.1994 00:00;20.9;41.3;7.8;;;;69.8;16.6;968.2;;;;;1.6;12.5;5.8;45;61.3;270;;;;13924;53;134.6;84.4;0;0;
MAH;01.08.1994 00:00;19.4;33.9;6.2;;;;71.2;15.5;967;;;;;1.7;22.8;6.1;82.1;81.9;243;;;;14508;60;121.8;48.2;0;0;
MAH;01.09.1994 00:00;13.6;26.6;1;;;;80;12.4;966.3;;;;;2;18.5;7.2;66.6;161.7;186;;;;;;66.1;2.6;76.4;20.4;
MAH;01.10.1994 00:00;9.3;28.5;-4;;;;80.7;9.6;967.8;;;;;2.3;20.2;8.3;72.7;69;177;;;;6739;36;47.6;0;309.8;93.8;
MAH;01.11.1994 00:00;7.5;14.9;-2.4;;;;87.6;9.1;;;;;;1.7;14.5;6.1;52.2;56.2;167;;;;2447;16;;0;373.9;133.9;
MAH;01.01.1995 00:00;2.6;13.2;-15.2;;;;74.6;5.6;970;;;;;31;21.8;111.6;78.5;107;165;;;;4232;28;35.2;0;523.5;283.5;
MAH;01.03.1995 00:00;4;17.1;-7.9;;;;71.9;5.8;967;;;;;171.9;21.1;618.8;76;49.5;181;;;;9789;47;;0;495.4;247.4;
MAH;01.04.1995 00:00;8.9;22.5;-3.3;;;;71.6;8;966.7;;;;;3.9;29.7;14;106.9;28.8;168;;;;10324;45;72.6;0;304.2;96.2;
MAH;01.05.1995 00:00;12.5;26.8;-0.5;;;;71.5;10;966.4;;;;;2.7;17.8;9.7;64.1;126.7;177;;;;11300;44;89;0;142.3;30.3;
MAH;01.06.1995 00:00;15.1;30.1;3.4;;;;69.2;11.6;967.2;;;;;2.6;14.8;9.4;53.3;32.8;259;;;;12619;48;115.9;12.7;62.3;6.3;
MAH;01.07.1995 00:00;20.2;33.6;8.3;;;;69.5;15.8;967.1;;;;;2;21.2;7.2;76.3;63.7;262;;;;17116;65;;64.8;0;0;
MAH;01.08.1995 00:00;17.7;34.6;2.5;;;;72.3;14.3;967.7;;;;;2.3;16.7;8.3;60.1;96.5;203;;;;11916;49;107.7;20.3;18.4;2.4;
MAH;01.09.1995 00:00;11.6;21.6;-1.9;;;;78.4;10.6;965.5;;;;;2.1;16.1;7.6;58;135.7;126;;;;7462;35;53.5;0;147.6;27.6;
MAH;01.10.1995 00:00;11.6;25;1.6;;;;85.2;11.6;973.3;;;;;1.1;13.6;4;49;23;83;;;;6436;34;33.8;0;163;27;
MAH;01.11.1995 00:00;4.4;14.5;-8.1;;;;81.5;7;969;;;;;2;16.5;7.2;59.4;34;42;;;;5106;33;19.4;0;466.6;226.6;
MAH;01.12.1995 00:00;1.2;11.6;-7.1;;;;85;5.9;965.2;;;;;51.7;20.8;186.1;74.9;72.3;34;;;;2384;16;14.1;0;581.7;333.7;
MAH;01.01.1996 00:00;1.1;7.1;-3.3;;;;88.2;5.9;963.9;;;;;1.7;10.5;6.1;37.8;44.6;30;;;;18068;118;10.6;0;585.8;337.8;
MAH;01.02.1996 00:00;0.3;11.4;-20.3;;;;77.8;4.9;963.4;;;;;3.3;21.5;11.9;77.4;43.7;53;;;;5181;31;23.3;0;572.4;340.4;
MAH;01.03.1996 00:00;3.2;19.4;-10;;;;70.3;5.6;965;;;;;2.4;15.7;8.6;56.5;38.3;139;;;;10557;51;45;0;519.6;271.6;
MAH;01.04.1996 00:00;8.8;23.5;-4.5;;;;68.3;7.6;965.9;;;;;2.7;17.2;9.7;61.9;16.2;186;;;;10510;46;75.2;0;294.8;102.8;
MAH;01.05.1996 00:00;12.6;28.9;2.2;;;;72.3;10.3;963.9;;;;;2.8;23.3;10.1;83.9;93.4;212;;;;10389;40;100.7;0.6;140;28;
MAH;01.06.1996 00:00;17.3;35.3;4.9;;;;65.9;12.6;970.4;;;;;1.9;19.8;6.8;71.3;;269;;;;14356;55;123.3;21;17.6;1.6;
MAH;01.07.1996 00:00;17.1;28.9;2.4;;;;68.2;12.8;969.1;;;;;2.4;16.3;8.6;58.7;;231;;;;14373;54;119.4;16.1;17.1;1.1;
MAH;01.08.1996 00:00;16.6;30.1;3.8;;;;74.7;13.9;967.4;;;;;2;19.3;7.2;69.5;;185;;;;10747;44;93.7;5.7;0;0;
MAH;01.09.1996 00:00;11.1;22;-0.1;;;;73.3;9.5;965.9;;;;;2.8;18.2;10.1;65.5;;148;;;;10432;49;64.2;0;221.4;37.4;
MAH;01.10.1996 00:00;8.9;20.1;-3.3;;;;81.1;9.2;969.7;;;;;2;21.7;7.2;78.1;;66;;;;5657;30;32.7;0;328.3;96.3;
MAH;01.11.1996 00:00;4.4;15.2;-4.5;;;;81.6;6.9;964.8;;;;;3.3;22.3;11.9;80.3;;29;;;;3626;23;22.5;0;467.3;227.3;
MAH;01.12.1996 00:00;0.7;9;-11.1;;;;85.1;5.7;964.5;;;;;2.3;22.2;8.3;79.9;14.7;8;;;;;;15.4;0;597.8;349.8;
MAH;01.01.1997 00:00;-0.7;4.5;-11.3;;;;88.6;5.2;972.2;;;;;1.2;13.3;4.3;47.9;30.3;5;;;;;;12.5;0;640.3;392.3;
