station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GEN;01.08.1992 00:00;;;;;;;;;843.2;;;;;;;;;;;;;;;;;;;;
GEN;01.09.1992 00:00;;;;;;;;;843.1;;;;;;;;;;;;;;;;;;;;
GEN;01.10.1992 00:00;;;;;;;;;830.8;;;;;;;;;;;;;;;;;;;;
GEN;01.11.1992 00:00;;;;;;;;;838.8;;;;;;;;;;;;;;;;;;;;
GEN;01.12.1992 00:00;;;;;;;;;837.1;;;;;;;;;;;;;;;;;;;;
GEN;01.01.1993 00:00;;;;;;;;;843.6;;;;;;;;;;;;;;;;;;;;
GEN;01.02.1993 00:00;;;;;;;;;841.4;;;;;3.8;35.7;;128.5;;;;;;;;;;;;
GEN;01.03.1993 00:00;;;;;;;;;837.3;;;;;3.5;26.3;;94.7;;;;;;;;;;;;
GEN;01.04.1993 00:00;;;;;;;;;834.3;;;;;3.2;29.9;;107.6;;;;;;;;;;;;
GEN;01.05.1993 00:00;;;;;;;;;838;;;;;2.7;20;;72;;;;;;;;;;;;
GEN;01.06.1993 00:00;;;;;;;;;840.4;;;;;3.1;30.6;;110.2;;;;;;;;;;;;
GEN;01.07.1993 00:00;;;;;;;;;841.6;;;;;2.9;28.6;;103;;;;;;;;;;;;
GEN;01.08.1993 00:00;;;;;;;;;843;;;;;2.7;26.6;;95.8;;;;;;;;;;;;
GEN;01.09.1993 00:00;;;;;;;;;837.1;;;;;3.4;;;;;;;;;;;;;;;
GEN;01.10.1993 00:00;;;;;;;;;836.5;;;;;3.8;28.6;;103;;;;;;;;;;;;
GEN;01.12.1993 00:00;;;;;;;;;832.8;;;;;3.8;41.5;;149.4;;;;;;;;;;;;
GEN;01.01.1994 00:00;;;;;;;;;834;;;;;4.1;;;;;;;;;;;;;;;
GEN;01.02.1994 00:00;;;;;;;;;833.4;;;;;2.8;20.2;;72.7;;;;;;;;;;;;
GEN;01.03.1994 00:00;;;;;;;;;840.4;;;;;3.4;;;;;;;;;;;;;;;
GEN;01.04.1994 00:00;;;;;;;;;831.6;;;;;3.9;28.8;;103.7;;;;;;;;;;;;
GEN;01.05.1994 00:00;;;;;;;;;836.7;;;;;3.4;;;;;;;;;;;;;;;
GEN;01.06.1994 00:00;;;;;;;;;842;;;;;3.3;35.7;;128.5;;;;;;;;;;;;
GEN;01.07.1994 00:00;;;;;;;;;843.4;;;;;2.2;22;7.9;79.2;;;;;;;;;;;;
GEN;01.08.1994 00:00;15.6;;;;;;68.5;11.8;842.1;;;;;2.6;;;;;;;;;;;;;;;
GEN;01.09.1994 00:00;9.1;15.4;1.3;;;;87.2;10.3;839.3;;;;;3.5;;;;;;;;;;;;;;83.6;
GEN;01.10.1994 00:00;5.6;14.1;-3.4;;;;73.3;6.5;839.2;;;;;2.3;17.1;;61.6;;;;;;;;;;;199.5;
GEN;01.11.1994 00:00;6.4;15.4;1.6;;;;61.8;5.7;840.9;;;;;3.7;27;;97.2;;;;;;;;;;;170.9;
GEN;01.12.1994 00:00;0.4;;;;;;64.8;4;839.7;;;;;3.2;29.3;;105.5;;;;;;;;;;;;
GEN;01.01.1995 00:00;-3.3;8.2;-11.9;;;;55.5;2.8;834.5;;;;;4.8;33;;118.8;;;;;;;;;;;475.1;
GEN;01.02.1995 00:00;0.7;10.2;-5;;;;60.3;3.7;835.9;;;;;3.6;32.6;;117.4;;;;;;;;;;;316.6;
GEN;01.03.1995 00:00;-1.5;10.3;-9.4;;;;59.1;3.3;832.9;;;;;4.2;44.2;;159.1;;;;;;;;;;;418.2;
GEN;01.04.1995 00:00;4.2;12.9;-3.2;;;;68.2;5.6;835.6;;;;;3.9;28.2;;101.5;;;;;;;;;;;234.3;
GEN;01.06.1995 00:00;9.3;18.6;2;;;;79.3;9.5;838.4;;;;;2.5;22.6;;81.4;;;;;;;;;;;101.5;
GEN;01.07.1995 00:00;15.1;21;8;;;;80.1;13.8;842.3;;;;;2;17.6;;63.4;;;;;;;;;;;1.7;
GEN;01.08.1995 00:00;;;;;;;;;841.2;;;;;2.5;;;;;;;;;;;;;;;
GEN;01.09.1995 00:00;7.5;12.6;0.9;;;;79.2;8.3;836.8;;;;;3.2;24.6;;88.6;;;;;;;;;;;134.4;
GEN;01.10.1995 00:00;9.5;16;2.4;;;;65;7.6;845.6;;;;;1.8;14.7;;52.9;;;;;;;;;;;81.2;
GEN;01.11.1995 00:00;1.1;;;;;;62.8;4.3;836.7;;;;;4.6;;;;;;;;;;;;;;305.1;
GEN;01.12.1995 00:00;-2;5.9;-9.7;;;;79.5;4.3;833.2;;;;;2.6;21.6;;77.8;7.8;;;;;;;;;;432.5;
GEN;01.01.1996 00:00;-1.2;5.5;-9.7;;;;77.3;4.3;834;;;;;2.7;19.3;;69.5;17.8;;;;;;;;;;409.2;
GEN;01.02.1996 00:00;-4.4;5.8;-12.1;;;;70.7;3.1;829.4;;;;;3.1;28.2;;101.5;3.5;;;;;;;;;;477;
GEN;01.03.1996 00:00;-3;;;;;;73;3.7;831.6;;;;;2.7;;;;;;;;;;;;;;;
GEN;01.04.1996 00:00;3.9;11.2;-4.8;;;;68.6;5.5;836;;;;;2.4;20.1;;72.4;23;;;;;;;;;;242.6;
GEN;01.05.1996 00:00;7;;;;;;80.2;8;835.8;;;;;3.4;;;;31;;;;;;;;;;144.9;
GEN;01.06.1996 00:00;11.8;21.1;3.3;;;;73.9;10.4;843.1;;;;;2.7;31.3;;112.7;17.6;;;;;;;;;;45.2;
GEN;01.08.1996 00:00;11.8;18;7.3;;;;83.4;11.6;840.6;;;;;2.3;20.3;;73.1;38;;;;;;;;;;25.4;
GEN;01.09.1996 00:00;7.1;14.7;2.5;;;;71.5;7.1;836.2;;;;;3;25.8;;92.9;7.9;;;;;;;;;;148;
GEN;01.10.1996 00:00;5.7;13.8;1.1;;;;76.2;6.9;839.2;;;;;3.2;22.1;;79.6;22.3;;;;;;;;;;195.5;
GEN;01.12.1996 00:00;-1.6;8.2;-16.7;;;;73.9;4.2;831.8;;;;;2.7;28.8;;103.7;10.2;;;;;;;;;;407.2;
GEN;01.01.1997 00:00;0.3;8.4;-8.5;;;;65.1;3.8;838.9;;;;;1.9;14.2;6.8;51.1;82.3;;;;;;;;;;361.3;
GEN;01.02.1997 00:00;1.1;8.1;-4.5;;;;49.3;3.2;841.5;;;;;3.2;31.1;;112;4.6;;;;;;;;;;305.5;
GEN;01.03.1997 00:00;4.2;12.1;-4.5;;;;50.3;4;841.3;;;;;4;38;;136.8;1.3;;;;;;;;;;242.6;
