station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MTE;01.01.1973 00:00;;;;;;;;;;;;;;;;;;32.1;;;;;;;;;;;
MTE;01.02.1973 00:00;;;;;;;;;;;;;;;;;;38.2;;;;;;;;;;;
MTE;01.03.1973 00:00;;;;;;;;;;;;;;;;;;7.3;;;;;;;;;;;
MTE;01.04.1973 00:00;;;;;;;;;;;;;;;;;;65.6;;;;;;;;;;;
MTE;01.05.1973 00:00;;;;;;;;;;;;;;;;;;43.9;;;;;;;;;;;
MTE;01.06.1973 00:00;;;;;;;;;;;;;;;;;;117.9;;;;;;;;;;;
MTE;01.07.1973 00:00;;;;;;;;;;;;;;;;;;161.2;;;;;;;;;;;
MTE;01.08.1973 00:00;;;;;;;;;;;;;;;;;;83.6;;;;;;;;;;;
MTE;01.09.1973 00:00;;;;;;;;;;;;;;;;;;63.1;;;;;;;;;;;
MTE;01.10.1973 00:00;;;;;;;;;;;;;;;;;;36.3;;;;;;;;;;;
MTE;01.11.1973 00:00;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;
MTE;01.12.1973 00:00;;;;;;;;;;;;;;;;;;28.1;;;;;;;;;;;
MTE;01.01.1974 00:00;;;;;;;;;;;;;;;;;;8.4;;;;;;;;;;;
MTE;01.02.1974 00:00;;;;;;;;;;;;;;;;;;53.4;;;;;;;;;;;
MTE;01.03.1974 00:00;;;;;;;;;;;;;;;;;;28.9;;;;;;;;;;;
MTE;01.04.1974 00:00;;;;;;;;;;;;;;;;;;22.6;;;;;;;;;;;
MTE;01.05.1974 00:00;;;;;;;;;;;;;;;;;;82.7;;;;;;;;;;;
MTE;01.06.1974 00:00;;;;;;;;;;;;;;;;;;95.9;;;;;;;;;;;
MTE;01.07.1974 00:00;;;;;;;;;;;;;;;;;;39.9;;;;;;;;;;;
MTE;01.08.1974 00:00;;;;;;;;;;;;;;;;;;58.7;;;;;;;;;;;
MTE;01.09.1974 00:00;;;;;;;;;;;;;;;;;;99.7;;;;;;;;;;;
MTE;01.10.1974 00:00;;;;;;;;;;;;;;;;;;102.4;;;;;;;;;;;
MTE;01.11.1974 00:00;;;;;;;;;;;;;;;;;;105.8;;;;;;;;;;;
MTE;01.12.1974 00:00;;;;;;;;;;;;;;;;;;49.4;;;;;;;;;;;
MTE;01.01.1975 00:00;;;;;;;;;;;;;;;;;;84.9;;;;;;;;;;;
MTE;01.02.1975 00:00;;;;;;;;;;;;;;;;;;6.5;;;;;;;;;;;
MTE;01.03.1975 00:00;;;;;;;;;;;;;;;;;;63.3;;;;;;;;;;;
MTE;01.04.1975 00:00;;;;;;;;;;;;;;;;;;67.8;;;;;;;;;;;
MTE;01.05.1975 00:00;;;;;;;;;;;;;;;;;;69.3;;;;;;;;;;;
MTE;01.06.1975 00:00;;;;;;;;;;;;;;;;;;57.2;;;;;;;;;;;
MTE;01.07.1975 00:00;;;;;;;;;;;;;;;;;;81;;;;;;;;;;;
MTE;01.08.1975 00:00;;;;;;;;;;;;;;;;;;94.5;;;;;;;;;;;
MTE;01.09.1975 00:00;;;;;;;;;;;;;;;;;;64.7;;;;;;;;;;;
MTE;01.10.1975 00:00;;;;;;;;;;;;;;;;;;28.5;;;;;;;;;;;
MTE;01.11.1975 00:00;;;;;;;;;;;;;;;;;;87.7;;;;;;;;;;;
MTE;01.12.1975 00:00;;;;;;;;;;;;;;;;;;9.9;;;;;;;;;;;
MTE;01.01.1976 00:00;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;
MTE;01.02.1976 00:00;;;;;;;;;;;;;;;;;;22.7;;;;;;;;;;;
MTE;01.03.1976 00:00;;;;;;;;;;;;;;;;;;9.1;;;;;;;;;;;
MTE;01.04.1976 00:00;;;;;;;;;;;;;;;;;;74;;;;;;;;;;;
MTE;01.05.1976 00:00;;;;;;;;;;;;;;;;;;35.2;;;;;;;;;;;
MTE;01.06.1976 00:00;;;;;;;;;;;;;;;;;;47.6;;;;;;;;;;;
MTE;01.07.1976 00:00;;;;;;;;;;;;;;;;;;102.6;;;;;;;;;;;
MTE;01.08.1976 00:00;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;
MTE;01.09.1976 00:00;;;;;;;;;;;;;;;;;;51.5;;;;;;;;;;;
MTE;01.10.1976 00:00;;;;;;;;;;;;;;;;;;102.3;;;;;;;;;;;
MTE;01.11.1976 00:00;;;;;;;;;;;;;;;;;;63.2;;;;;;;;;;;
MTE;01.12.1976 00:00;;;;;;;;;;;;;;;;;;97.2;;;;;;;;;;;
MTE;01.01.1977 00:00;;;;;;;;;;;;;;;;;;72.5;;;;;;;;;;;
MTE;01.02.1977 00:00;;;;;;;;;;;;;;;;;;113.8;;;;;;;;;;;
MTE;01.03.1977 00:00;;;;;;;;;;;;;;;;;;51.8;;;;;;;;;;;
MTE;01.04.1977 00:00;;;;;;;;;;;;;;;;;;83.1;;;;;;;;;;;
MTE;01.05.1977 00:00;;;;;;;;;;;;;;;;;;89.3;;;;;;;;;;;
MTE;01.06.1977 00:00;;;;;;;;;;;;;;;;;;116.6;;;;;;;;;;;
MTE;01.07.1977 00:00;;;;;;;;;;;;;;;;;;99.6;;;;;;;;;;;
MTE;01.08.1977 00:00;;;;;;;;;;;;;;;;;;74;;;;;;;;;;;
MTE;01.09.1977 00:00;;;;;;;;;;;;;;;;;;13.7;;;;;;;;;;;
MTE;01.10.1977 00:00;;;;;;;;;;;;;;;;;;88.9;;;;;;;;;;;
MTE;01.11.1977 00:00;;;;;;;;;;;;;;;;;;88;;;;;;;;;;;
MTE;01.12.1977 00:00;;;;;;;;;;;;;;;;;;73;;;;;;;;;;;
MTE;01.01.1978 00:00;;;;;;;;;;;;;;;;;;82.8;;;;;;;;;;;
MTE;01.02.1978 00:00;;;;;;;;;;;;;;;;;;101.2;;;;;;;;;;;
MTE;01.03.1978 00:00;;;;;;;;;;;;;;;;;;128.8;;;;;;;;;;;
MTE;01.04.1978 00:00;;;;;;;;;;;;;;;;;;37.1;;;;;;;;;;;
MTE;01.05.1978 00:00;;;;;;;;;;;;;;;;;;87.5;;;;;;;;;;;
MTE;01.06.1978 00:00;;;;;;;;;;;;;;;;;;136;;;;;;;;;;;
MTE;01.07.1978 00:00;;;;;;;;;;;;;;;;;;69.8;;;;;;;;;;;
MTE;01.08.1978 00:00;;;;;;;;;;;;;;;;;;105.6;;;;;;;;;;;
MTE;01.09.1978 00:00;;;;;;;;;;;;;;;;;;30.5;;;;;;;;;;;
MTE;01.10.1978 00:00;;;;;;;;;;;;;;;;;;35.1;;;;;;;;;;;
MTE;01.11.1978 00:00;;;;;;;;;;;;;;;;;;1.7;;;;;;;;;;;
MTE;01.12.1978 00:00;;;;;;;;;;;;;;;;;;74.4;;;;;;;;;;;
