station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
NAS;01.12.1992 00:00;-3.7;4.4;-13.8;;;;;;;;;;;;;;;;;;;;;;;0;734.7;486.7;
NAS;01.01.1993 00:00;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAS;01.02.1993 00:00;-6;4.2;-24;;;;;;;;;;;2.6;28.6;;103;;;;;;;;;0;728.2;504.2;
NAS;01.04.1993 00:00;-1.6;8.8;-11.6;;;;;;;;;;;3.1;24.2;;87.1;;;;;;;;;0;647.1;407.1;
NAS;01.05.1993 00:00;3.7;15;-3.7;;;;;;;;;;;2.8;21.4;;77;;;;;;;;;0;505.3;257.3;
NAS;01.06.1993 00:00;6.3;18.4;-1.1;;;;;;;;;;;3.3;24.1;;86.8;;;;;;;;;0;410.3;170.3;
NAS;01.07.1993 00:00;6.7;18.9;-3;;;;;;;;;;;3.4;26.4;;95;;;;;;;;;0;384.6;168.6;
NAS;01.08.1993 00:00;8.8;20.5;-3.2;;;;;;;;;;;3.2;24.2;;87.1;;;;;;;;;0;325.8;101.8;
NAS;01.09.1993 00:00;3.6;15.7;-4.2;;;;;;;;;;;3.4;24.9;;89.6;;;;;;;;;0;492.4;252.4;
NAS;01.10.1993 00:00;0.8;9.5;-8.8;;;;;;;;;;;3.2;28;;100.8;;;;;;;;;0;594.4;346.4;
NAS;01.11.1993 00:00;-4.7;4.4;-15.9;;;;;;;;;;;2.3;23.1;;83.2;;;;;;;;;0;741.6;501.6;
NAS;01.12.1993 00:00;-5.2;7.5;-17.1;;;;;;;;;;;4.8;28.6;;103;;;;;;;;;0;779.8;531.8;
NAS;01.01.1994 00:00;-5.8;5.3;-16.4;;;;;;;;;;;4.2;41.5;;149.4;;;;;;;;;0;799.6;551.6;
NAS;01.02.1994 00:00;-7.3;3.1;-18.7;;;;;;;;;;;3.2;17.1;;61.6;;;;;;;;;0;765.5;541.5;
NAS;01.03.1994 00:00;-1.3;6.1;-10.9;;;;;;;;;;;4.6;28.7;;103.3;;;;;;;;;0;659.6;411.6;
NAS;01.04.1994 00:00;-3.9;8.1;-12.7;;;;;;;;;;;3.4;26.9;;96.8;;;;;;;;;0;716.8;476.8;
NAS;01.05.1994 00:00;2.9;12.7;-6.4;;;;;;;;;;;3.2;23.4;;84.2;;;;;;;;;0;531.2;283.2;
NAS;01.06.1994 00:00;6.3;18.2;-5.5;;;;;;;;;;;3.1;20.6;;74.2;;;;;;;;;0;381.2;173.2;
NAS;01.07.1994 00:00;10.6;20.1;3;;;;;;;;;;;2.5;26.8;;96.5;;;;;;;;;0;237.7;53.7;
NAS;01.08.1994 00:00;9.8;21;1.5;;;;;;;;;;;3.2;23.9;;86;;;;;;;;;0;270.5;78.5;
NAS;01.09.1994 00:00;5.1;15.7;-5.9;;;;;;;;;;;3.3;20.8;11.9;74.9;;;;;;;;;0;445.6;205.6;
NAS;01.10.1994 00:00;2;11.7;-9;;;;;;;;;;;3;22.8;10.8;82.1;;;;;;;;;0;559;311;
NAS;01.11.1994 00:00;0.7;8.1;-6.2;;;;;;;;;;;2.8;19.9;;71.6;;;;;;;;;0;579.4;339.4;
NAS;01.12.1994 00:00;-3.7;7.8;-15.5;;;;;;;;;;;3.2;23.3;;83.9;;;;;;;;;0;735.7;487.7;
NAS;01.01.1995 00:00;-9;1.6;-21.9;;;;;;;;;;;4.7;35.2;;126.7;;;;;;;;;0;899.2;651.2;
NAS;01.02.1995 00:00;-4.1;3.3;-13.6;;;;;;;;;;;3.7;25.5;;91.8;;;;;;;;;0;673.5;449.5;
NAS;01.03.1995 00:00;-7.3;4.8;-18.7;;;;;;;;;;;4.2;33.1;;119.2;;;;;;;;;0;847;599;
NAS;01.04.1995 00:00;-1.8;7.2;-12.9;;;;;;;;;;;3.6;25.6;;92.2;;;;;;;;;0;654.1;414.1;
NAS;01.05.1995 00:00;1.9;14.2;-8.6;;;;;;;;;;;3;20.2;;72.7;;;;;;;;;0;561.2;313.2;
NAS;01.07.1995 00:00;10.5;20.5;0.6;;;;;;;;;;;2.5;26.7;;96.1;;;;;;;;;0;236.2;60.2;
NAS;01.08.1995 00:00;6.7;17.4;-3.9;;;;;;;;;;;2.2;21.4;;77;;;;;;;;;0;413.4;165.4;
NAS;01.09.1995 00:00;2.3;11.4;-7.3;;;;;;;;;;;2.9;19.5;;70.2;;;;;;;;;0;530.8;290.8;
NAS;01.10.1995 00:00;6;13.5;-2.3;;;;;;;;;;;2;13.9;;50;;;;;;;;;0;432.6;184.6;
NAS;01.11.1995 00:00;-4.2;5.4;-17;;;;;;;;;;;3.7;23.2;;83.5;;;;;;;;;0;725.8;485.8;
NAS;01.12.1995 00:00;-6.1;0.9;-19.7;;;;;;;;;;;3.2;20.7;;74.5;;;;;;;;;0;809.9;561.9;
NAS;01.01.1996 00:00;-4;0.5;-9.3;;;;;;;;;;;2.5;18.3;;65.9;;;;;;;;;0;744;496;
NAS;01.02.1996 00:00;-9.6;-0.2;-20;;;;;;;;;;;2.7;26.6;;95.8;;;;;;;;;0;859.3;627.3;
NAS;01.03.1996 00:00;-7.2;4.2;-19.8;;;;;;;;;;;2.7;27;;97.2;;;;;;;;;0;842.1;594.1;
NAS;01.04.1996 00:00;-1.9;;;;;;;;;;;;;2.7;;9.7;;;;;;;;;;0;613.4;389.4;
NAS;01.05.1996 00:00;2.6;17.5;-4.4;;;;;;;;;;;3.4;24.7;;88.9;;;;;;;;;0;538.2;290.2;
NAS;01.06.1996 00:00;6.9;;;;;;;;;;;;;2.9;;10.4;;;;;;;;;;0;367.5;143.5;
NAS;01.07.1996 00:00;6.8;;;;;;;;;;;;;3.1;;11.2;;;;;;;;;;0;383.3;151.3;
NAS;01.08.1996 00:00;6.6;17.6;-1.3;;;;;;;;;;;2;16.5;;59.4;;;;;;;;;0;414.5;166.5;
NAS;01.09.1996 00:00;1.4;15.3;-5.7;;;;;;;;;;;2.7;;;;;;;;;;;;0;538.4;306.4;
NAS;01.10.1996 00:00;1.2;9.1;-6;;;;;;;;;;;2.8;22.9;;82.4;;;;;;;;;0;584.2;336.2;
NAS;01.11.1996 00:00;-3.8;11.4;-15.8;;;;;;;;;;;4.1;25.4;14.8;91.4;;;;;;;;;0;715.2;475.2;
NAS;01.12.1996 00:00;-5.5;2.6;-22.5;;;;;;;;;;;2.9;21;;75.6;;;;;;;;;0;789.9;541.9;
NAS;01.01.1997 00:00;-3.8;4.9;-12;;;;;;;;;;;2.4;25.2;8.6;90.7;;;;;;;;;0;737.4;489.4;
NAS;01.02.1997 00:00;-4;4;-15;;;;;;;;;;;4;26.9;;96.8;;;;;;;;;0;671.1;447.1;
NAS;01.03.1997 00:00;-2.8;5.1;-13;;;;;;;;;;;3.2;25;;90;;;;;;;;;0;706.2;458.2;
NAS;01.04.1997 00:00;-4.4;3.4;-15.4;;;;;;;;;;;3.4;24;;86.4;;;;;;;;;0;733.3;493.3;
NAS;01.05.1997 00:00;2.5;12.4;-9.1;;;;;;;;;;;3.4;19.5;;70.2;;;;;;;;;0;542.6;294.6;
NAS;01.06.1997 00:00;5.5;16;-1.8;;;;;;;;;;;3;19;;68.4;;;;;;;;;0;436.4;196.4;
NAS;01.07.1997 00:00;6.5;15;-0.5;;;;;;;;;;;2.8;18.3;;65.9;;;;;;;;;0;418.7;170.7;
NAS;01.08.1997 00:00;8.8;17.4;-0.9;;;;;;;;;;;2.3;18.3;;65.9;;;;;;;;;0;339.1;99.1;
