station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
NAP;01.01.1978 00:00;-2.6;9.2;-9.8;;;;82.4;4.1;851.9;;;;;3.2;;13.7;;42.6;;;;;4950;31;;;701.6;;
NAP;01.02.1978 00:00;-2.5;13.6;-12;;;;84.3;4.4;847.2;;;;;3.2;;12.6;;69;;;;;3288;19;;;631.4;;
NAP;01.03.1978 00:00;0.2;10.6;-7.4;;;;78.1;4.9;854.5;;;;;3.8;;14;;76.3;;;;;4896;23;;;614;;
NAP;01.04.1978 00:00;0.7;10;-6.4;;;;84.1;5.5;850.5;;;;;2;;7.9;;79.3;;;;;4818;19;;;579.7;;
NAP;01.05.1978 00:00;4.8;16.6;-1.9;;;;85.3;7.4;856;;;;;3.4;;12.2;;172.4;;;;;4512;16;;;472.6;;
NAP;01.06.1978 00:00;8.5;20;-0.4;;;;80;9.2;859;;;;;2.8;;10.4;;208.6;;;;;6648;23;;;301.2;;
NAP;01.07.1978 00:00;11;22.1;2.4;;;;80.1;10.7;861.5;;;;;3.2;;12.2;;129.3;;;;;7734;27;;;213;;
NAP;01.08.1978 00:00;10.4;20.7;0.9;;;;88.3;11.4;862.3;;;;;2.4;;9.4;;164.1;;;;;8550;32;;;217.5;;
NAP;01.09.1978 00:00;8.9;19.5;0.3;;;;81.8;9.5;862.8;;;;;3.9;;14.4;;112.6;;;;;11028;49;;;285.2;;
NAP;01.10.1978 00:00;5.6;16.5;-2.7;;;;77.4;7.1;863.4;;;;;2.3;;9.7;;66.6;;;;;9828;50;;;418.1;;
NAP;01.11.1978 00:00;2.7;12.1;-10.8;;;;61.7;4.5;865.5;;;;;2.5;;9.7;;27.8;;;;;11490;69;;;519.7;;
NAP;01.12.1978 00:00;0.3;12.8;-10.8;;;;73;4.5;849.1;;;;;3.8;;14;;47.4;;;;;5376;35;;;611;;
NAP;01.01.1979 00:00;-4.8;7.6;-21.1;;;;80.8;3.6;851;;;;;2.4;;9;;44.1;;;;;4056;25;;;767.8;;
NAP;01.02.1979 00:00;-2.3;7.6;-11.9;;;;87.2;4.7;849.4;;;;;2.3;;8.6;;57.6;;;;;3630;21;;;625.8;;
