station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
NEU;01.01.1864 00:00;-4.8;;;;;;;;;;;;;;;;;23.1;;;;;;;;;767.4;;
NEU;01.02.1864 00:00;0.3;;;;;;;;;;;;;;;;;24.4;;;;;;;;;570.3;;
NEU;01.03.1864 00:00;5.8;;;;;;;;;;;;;;;;;71.1;;;;;;;;;441.6;;
NEU;01.04.1864 00:00;9;;;;;;;;;;;;;;;;;35;;;;;;;;;287;;
NEU;01.05.1864 00:00;14.1;;;;;;;;;;;;;;;;;73.2;;;;;;;;;96.1;;
NEU;01.06.1864 00:00;15.7;;;;;;;;;;;;;;;;;195.9;;;;;;;;;19.9;;
NEU;01.07.1864 00:00;19.2;;;;;;;;;;;;;;;;;33.8;;;;;;;;;0;;
NEU;01.08.1864 00:00;17.6;;;;;;;;;;;;;;;;;52.3;;;;;;;;;44.1;;
NEU;01.09.1864 00:00;13.9;;;;;;;;;;;;;;;;;73.7;;;;;;;;;58.5;;
NEU;01.10.1864 00:00;8;;;;;;;;;;;;;;;;;59.3;;;;;;;;;372.8;;
NEU;01.11.1864 00:00;3.7;;;;;;;;;;;;;;;;;83;;;;;;;;;487.9;;
NEU;01.12.1864 00:00;-2.5;3.1;-9.1;;;;;;;;;;;;;;;11;;;;;;;;;696.3;;
NEU;01.01.1865 00:00;1.3;12.3;-7.2;;;;;;;;;;;;;;;105.3;;;;;;;;;579.2;;
NEU;01.02.1865 00:00;-0.9;8.2;-13.4;;;;;;;;;;;;;;;85.4;;;;;;;;;585.2;;
NEU;01.03.1865 00:00;0.4;8.5;-9.7;;;;;;;;;;;;;;;43.5;;;;;;;;;608.8;;
NEU;01.04.1865 00:00;13.8;27.2;-2.6;;;;;;;;;;;;;;;12.5;;;;;;;;;103.1;;
NEU;01.05.1865 00:00;16.1;28;4.2;;;;;;;;;;;;;;;65.2;;;;;;;;;20;;
NEU;01.06.1865 00:00;18.1;30.8;5.1;;;;;;;;;;;;;;;39.1;;;;;;;;;0;;
NEU;01.07.1865 00:00;20.3;33;6.2;;;;;;;;;;;;;;;90.6;;;;;;;;;0;;
NEU;01.08.1865 00:00;16.9;28.4;5.2;;;;;;;;;;;;;;;122.3;;;;;;;;;9;;
NEU;01.09.1865 00:00;18;28.5;6.4;;;;;;;;;;;;;;;0;;;;;;;;;0;;
NEU;01.10.1865 00:00;10.7;22.5;1.7;;;;;;;;;;;;;;;184.8;;;;;;;;;256;;
NEU;01.11.1865 00:00;5.3;16.3;-4.7;;;;;;;;;;;;;;;68.8;;;;;;;;;442.3;;
