station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ORO;01.02.1993 00:00;;;;;;;;;;;;;;2.5;19;;68.4;;;;;;;;;;;;
ORO;01.03.1993 00:00;;;;;;;;;;;;;;3.6;;13;;;;;;;;;;;;;
ORO;01.04.1993 00:00;;;;;;;;;;;;;;3.2;18.9;11.5;68;;;;;;;;;;;;
ORO;01.05.1993 00:00;;;;;;;;;;;;;;2.7;;;;;;;;;;;;;;;
ORO;01.06.1993 00:00;;;;;;;;;;;;;;2.7;17.5;;63;;;;;;;;;;;;
ORO;01.07.1993 00:00;;;;;;;;;;;;;;3.1;25.4;;91.4;;;;;;;;;;;;
ORO;01.08.1993 00:00;;;;;;;;;;;;;;2.9;18.8;;67.7;;;;;;;;;;;;
ORO;01.09.1993 00:00;;;;;;;;;;;;;;2.7;20.7;;74.5;;;;;;;;;;;;
ORO;01.10.1993 00:00;;;;;;;;;;;;;;2.9;21.7;;78.1;;;;;;;;;;;;
ORO;01.11.1993 00:00;;;;;;;;;;;;;;2.1;17.1;;61.6;;;;;;;;;;;;
ORO;01.12.1993 00:00;;;;;;;;;;;;;;4.7;22;;79.2;;;;;;;;;;;;
ORO;01.01.1994 00:00;;;;;;;;;;;;;;3.4;21;12.2;75.6;;;;;;;;;;;;
ORO;01.02.1994 00:00;;;;;;;;;;;;;;3;14.8;10.8;53.3;;;;;;;;;;;;
ORO;01.03.1994 00:00;;;;;;;;;;;;;;3.2;15.3;11.5;55.1;;;;;;;;;;;;
ORO;01.04.1994 00:00;;;;;;;;;;;;;;3.4;19.3;12.2;69.5;;;;;;;;;;;;
ORO;01.05.1994 00:00;;;;;;;;;;;;;;2.5;14.1;9;50.8;;;;;;;;;;;;
ORO;01.06.1994 00:00;;;;;;;;;;;;;;3.5;20.7;12.6;74.5;;;;;;;;;;;;
ORO;01.07.1994 00:00;;;;;;;;;;;;;;2.3;18.2;8.3;65.5;;;;;;;;;;;;
ORO;01.08.1994 00:00;;;;;;;;;;;;;;2.5;16.2;9;58.3;;;;;;;;;;;;
ORO;01.09.1994 00:00;;;;;;;;;;;;;;2.7;20.5;9.7;73.8;;;;;;;;;;;;
ORO;01.10.1994 00:00;;;;;;;;;;;;;;2.7;17.2;9.7;61.9;;;;;;;;;;;;
ORO;01.11.1994 00:00;;;;;;;;;;;;;;2;17.6;7.2;63.4;;;;;;;;;;;;
ORO;01.12.1994 00:00;;;;;;;;;;;;;;3.3;25.5;11.9;91.8;;;;;;;;;;;;
ORO;01.01.1995 00:00;;;;;;;;;;;;;;3.9;28.2;14;101.5;;;;;;;;;;;;
ORO;01.02.1995 00:00;;;;;;;;;;;;;;3.4;22.8;12.2;82.1;;;;;;;;;;;;
ORO;01.03.1995 00:00;;;;;;;;;;;;;;3.9;;14;;;;;;;;;;;;;
ORO;01.04.1995 00:00;;;;;;;;;;;;;;3.7;;13.3;;;;;;;;;;;;;
ORO;01.05.1995 00:00;;;;;;;;;;;;;;3;15.8;10.8;56.9;;;;;;;;;;;;
ORO;01.06.1995 00:00;;;;;;;;;;;;;;3.2;17.3;11.5;62.3;;;;;;;;;;;;
ORO;01.07.1995 00:00;;;;;;;;;;;;;;2.8;15.2;10.1;54.7;;;;;;;;;;;;
ORO;01.08.1995 00:00;;;;;;;;;;;;;;2.9;20;10.4;72;;;;;;;;;;;;
ORO;01.09.1995 00:00;;;;;;;;;;;;;;2.8;21.7;10.1;78.1;;;;;;;;;;;;
ORO;01.10.1995 00:00;;;;;;;;;;;;;;1.8;12;6.5;43.2;;;;;;;;;;;;
ORO;01.11.1995 00:00;;;;;;;;;;;;;;2.6;20.1;9.4;72.4;;;;;;;;;;;;
ORO;01.12.1995 00:00;;;;;;;;;;;;;;3;21;10.8;75.6;;;;;;;;;;;;
ORO;01.01.1996 00:00;;;;;;;;;;;;;;1.6;16.1;5.8;58;;;;;;;;;;;;
ORO;01.02.1996 00:00;;;;;;;;;;;;;;3.6;23;13;82.8;;;;;;;;;;;;
ORO;01.03.1996 00:00;;;;;;;;;;;;;;2.8;14.7;10.1;52.9;;;;;;;;;;;;
ORO;01.04.1996 00:00;;;;;;;;;;;;;;3.3;20.7;11.9;74.5;;;;;;;;;;;;
ORO;01.05.1996 00:00;;;;;;;;;;;;;;3.2;21.2;11.5;76.3;;;;;;;;;;;;
ORO;01.06.1996 00:00;;;;;;;;;;;;;;3.6;17.1;13;61.6;;;;;;;;;;;;
ORO;01.07.1996 00:00;;;;;;;;;;;;;;3;21.1;10.8;76;;;;;;;;;;;;
ORO;01.08.1996 00:00;;;;;;;;;;;;;;2.6;20.2;9.4;72.7;;;;;;;;;;;;
ORO;01.09.1996 00:00;;;;;;;;;;;;;;3.3;16.1;11.9;58;;;;;;;;;;;;
ORO;01.10.1996 00:00;;;;;;;;;;;;;;2.9;;10.4;;;;;;;;;;;;;
ORO;01.11.1996 00:00;;;;;;;;;;;;;;3.5;24.1;12.6;86.8;;;;;;;;;;;;
ORO;01.12.1996 00:00;;;;;;;;;;;;;;2.4;;8.6;;;;;;;;;;;;;
ORO;01.01.1997 00:00;;;;;;;;;;;;;;1.5;8.8;5.4;31.7;;;;;;;;;;;;
ORO;01.02.1997 00:00;;;;;;;;;;;;;;3.8;30.5;13.7;109.8;;;;;;;;;;;;
ORO;01.03.1997 00:00;;;;;;;;;;;;;;3.1;17.8;11.2;64.1;;;;;;;;;;;;
