station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
PFA;01.01.1901 00:00;;;;;;;;;;;;;;;;;;43.1;;;;;;;;;;;
PFA;01.02.1901 00:00;;;;;;;;;;;;;;;;;;42.3;;;;;;;;;;;
PFA;01.03.1901 00:00;;;;;;;;;;;;;;;;;;98.3;;;;;;;;;;;
PFA;01.04.1901 00:00;;;;;;;;;;;;;;;;;;220.9;;;;;;;;;;;
PFA;01.05.1901 00:00;;;;;;;;;;;;;;;;;;39.9;;;;;;;;;;;
PFA;01.06.1901 00:00;;;;;;;;;;;;;;;;;;165.3;;;;;;;;;;;
PFA;01.07.1901 00:00;;;;;;;;;;;;;;;;;;91.2;;;;;;;;;;;
PFA;01.08.1901 00:00;;;;;;;;;;;;;;;;;;163.3;;;;;;;;;;;
PFA;01.09.1901 00:00;;;;;;;;;;;;;;;;;;132.5;;;;;;;;;;;
PFA;01.10.1901 00:00;;;;;;;;;;;;;;;;;;67;;;;;;;;;;;
PFA;01.11.1901 00:00;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;
PFA;01.12.1901 00:00;;;;;;;;;;;;;;;;;;68.1;;;;;;;;;;;
PFA;01.01.1902 00:00;;;;;;;;;;;;;;;;;;54.6;;;;;;;;;;;
PFA;01.02.1902 00:00;;;;;;;;;;;;;;;;;;74.1;;;;;;;;;;;
PFA;01.03.1902 00:00;;;;;;;;;;;;;;;;;;86.8;;;;;;;;;;;
PFA;01.04.1902 00:00;;;;;;;;;;;;;;;;;;42.2;;;;;;;;;;;
PFA;01.05.1902 00:00;;;;;;;;;;;;;;;;;;186.2;;;;;;;;;;;
PFA;01.06.1902 00:00;;;;;;;;;;;;;;;;;;152.5;;;;;;;;;;;
PFA;01.07.1902 00:00;;;;;;;;;;;;;;;;;;141.7;;;;;;;;;;;
