station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
PIO;01.02.1979 00:00;0;8.1;-9.4;;;;73.8;4.6;892.9;;;;;2.1;;8.6;;49.1;;;;;5688;48;;;560.8;;
PIO;01.03.1979 00:00;1.8;11.9;-7.3;;;;77.6;5.4;894.7;;;;;2.3;;9.4;;296.3;;;;;6108;35;;;565.3;;
PIO;01.04.1979 00:00;4.1;15;-4.2;;;;62.8;5;895.8;;;;;3.4;;13;;65.1;;;;;10182;50;;;475.9;;
PIO;01.05.1979 00:00;9.7;24.4;-2.5;;;;63.8;7.8;902.6;;;;;2.7;;10.1;;153.4;;;;;9252;42;;;262.2;;
PIO;01.06.1979 00:00;14.5;26.6;4.3;;;;66.5;11;902.7;;;;;3.2;;12.2;;65.1;;;;;8784;41;;;33.7;;
PIO;01.07.1979 00:00;16;27.1;7.2;;;;60.4;11;904.2;;;;;3.9;;14.4;;58.1;;;;;12270;56;;;17.2;;
PIO;01.08.1979 00:00;14.1;24.6;3.3;;;;68.4;10.9;900.7;;;;;3.2;;12.2;;75.6;;;;;11520;54;;;49.3;;
PIO;01.09.1979 00:00;12;21.8;2.4;;;;72.2;10.1;904.6;;;;;3;;11.5;;70.8;;;;;12480;66;;;135.4;;
PIO;01.10.1979 00:00;7.7;18.2;-0.3;;;;80.4;8.5;900.5;;;;;2;;8.3;;395;;;;;4860;32;;;382.6;;
PIO;01.11.1979 00:00;2.4;16.3;-6.5;;;;65.7;4.8;899.3;;;;;2.9;;11.5;;87.3;;;;;3048;50;;;529.3;;
PIO;01.12.1979 00:00;0.5;15.1;-7.1;;;;78.5;5;899.1;;;;;1.7;;8.6;;98.1;;;;;552;;;;604.8;;
PIO;01.01.1980 00:00;-2.9;4.5;-12.6;;;;73.9;3.7;898.3;;;;;1.4;;7.6;;40.8;;;;;1710;34;;;711.2;;
PIO;01.02.1980 00:00;0.9;11.3;-5.7;;;;67.2;4.3;903.5;;;;;2;;9.4;;48.2;;;;;7236;57;;;554.8;;
PIO;01.03.1980 00:00;2.3;14.4;-4.4;;;;71.8;5.1;893.9;;;;;2.6;;10.1;;86.6;;;;;6864;39;;;547.9;;
PIO;01.04.1980 00:00;4.5;14.9;-3.8;;;;53.1;4.4;898.6;;;;;2.6;;9.7;;4.1;;;;;9852;48;;;464.7;;
PIO;01.05.1980 00:00;8.6;19.3;1.5;;;;68.2;7.4;896.1;;;;;2.8;;10.8;;80.9;;;;;6558;30;;;346.4;;
PIO;01.06.1980 00:00;12.3;26;3.8;;;;63.5;8.9;899.1;;;;;3.3;;11.9;;133.6;;;;;8634;40;;;140.3;;
PIO;01.07.1980 00:00;14.1;25.7;6.3;;;;62.8;10.1;899.8;;;;;2.6;;11.2;;213.7;;;;;9714;44;;;66.9;;
PIO;01.08.1980 00:00;16.6;28.1;5.8;;;;65;12.2;902.5;;;;;3;;11.2;;70.5;;;;;11982;56;;;16.2;;
PIO;01.09.1980 00:00;13.8;23.5;2.9;;;;64.4;9.8;905.6;;;;;3;;11.2;;10.5;;;;;12810;68;;;24.8;;
PIO;01.10.1980 00:00;7.2;23.9;-0.8;;;;64.3;6.4;897.8;;;;;2.8;;10.4;;211.5;;;;;7836;54;;;389.6;;
PIO;01.11.1980 00:00;1.9;12.1;-6.9;;;;71.1;5.1;898.9;;;;;2.2;;8.3;;21.2;;;;;2106;36;;;543.9;;
PIO;01.12.1980 00:00;-1.3;9.8;-10.1;;;;59.5;3.4;900.7;;;;;2.9;;10.8;;13.2;;;;;570;48;;;660.6;;
PIO;01.01.1981 00:00;-1.9;9.1;-12.4;-3.7;-17.3;8.3;61.6;3.3;901;;1475.6;;;3;22.1;10.8;79.6;98.1;37;;;;2351;67;30;0;679.7;431.7;93.4
PIO;01.02.1981 00:00;-1.5;14.2;-11.1;-3.5;-18;10.4;63;3.5;899.9;;1468;;;2.7;13.7;9.7;49.3;6.9;92;;;;6957;61;29.2;0;601.2;377.2;-0.3
