station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SBE;01.01.1968 00:00;-5.3;13;-19;;;;64.7;2.7;829.7;;;;;0.8;;2.9;;67.9;;;;;;;;;783.9;;
SBE;01.02.1968 00:00;-3.7;4.5;-13;;;;78.2;3.7;828.7;;;;;0.2;;0.7;;201.3;;;;;;;;;686.3;;
SBE;01.03.1968 00:00;-2.1;11.2;-13.5;;;;65.5;3.5;833.1;;;;;0.4;;1.4;;57.9;;;;;;;;;684;;
SBE;01.04.1968 00:00;1.7;15.1;-8.2;;;;74.3;5.2;834.2;;;;;0.4;;1.4;;329.4;;;;;;;;;549.4;;
SBE;01.05.1968 00:00;4.7;16.4;-4.8;;;;74.3;6.5;834.6;;;;;0.6;;2.2;;294;;;;;;;;;474.8;;
SBE;01.06.1968 00:00;9.2;25;1.2;;;;70.9;8.4;837.8;;;;;0.4;;1.4;;147.6;;;;;;;;;306.9;;
SBE;01.07.1968 00:00;11.1;23.4;2.2;;;;70.3;9.7;839.8;;;;;0.6;;2.2;;142.5;;;;;;;;;232.6;;
SBE;01.08.1968 00:00;10.3;21;2;;;;69.7;8.8;836;;;;;0.6;;2.2;;206.7;;;;;;;;;277;;
SBE;01.09.1968 00:00;7.6;16.8;0.5;;;;79.4;8.3;836.4;;;;;0.6;;2.2;;322.3;;;;;;;;;373.2;;
SBE;01.10.1968 00:00;6;18.5;-4.9;;;;74;7;839.9;;;;;0.4;;1.4;;84.1;;;;;;;;;433.7;;
SBE;01.11.1968 00:00;0.6;9.1;-11.2;;;;78.5;5.1;831.3;;;;;0.4;;1.4;;322.8;;;;;;;;;583.3;;
SBE;01.12.1968 00:00;-6.3;7.4;-21.5;;;;80.3;3.3;827.2;;;;;0.2;;0.7;;35.1;;;;;;;;;814;;
SBE;01.01.1969 00:00;-4;5.5;-14.8;;;;74.5;3.5;831;;;;;1.1;;4;;96.1;;;;;;;;;742.5;;
SBE;01.02.1969 00:00;-7.7;1.5;-19.9;;;;77.2;2.8;823.7;;;;;1.4;;5;;95.9;;;;;;;;;775.8;;
SBE;01.03.1969 00:00;-1.9;7;-12.3;;;;77.2;4.2;827.8;;;;;0.4;;1.4;;55.2;;;;;;;;;678;;
SBE;01.04.1969 00:00;0.7;11.8;-11.5;;;;72.1;4.8;832.8;;;;;0.6;;2.2;;51.1;;;;;;;;;579;;
SBE;01.05.1969 00:00;6.9;20;-0.9;;;;77.5;7.9;834.8;;;;;0.6;;2.2;;400.1;;;;;;;;;390;;
SBE;01.06.1969 00:00;8.4;17.6;-1.8;;;;73.1;8.2;834.3;;;;;0.6;;2.2;;217.2;;;;;;;;;319.5;;
SBE;01.07.1969 00:00;12.8;24.2;1.5;;;;72.8;11.1;842.2;;;;;0.8;;2.9;;134.7;;;;;;;;;118.9;;
SBE;01.08.1969 00:00;10.8;21.8;1;;;;73;9.6;837.5;;;;;0.4;;1.4;;159.3;;;;;8670;45;;;216;;
SBE;01.09.1969 00:00;9.4;18.4;1;;;;81.9;9.6;838.8;;;;;0.2;;0.7;;118;;;;;8004;48;;;291;;
SBE;01.10.1969 00:00;6.5;18.2;-1.5;;;;64.3;6;841.5;;;;;0.8;;2.9;;1.2;;;;;11754;82;;;410.7;;
SBE;01.11.1969 00:00;-1.2;12.3;-12.5;;;;79.9;4.8;830.3;;;;;0.8;;2.9;;329.3;;;;;3846;34;;;636.6;;
SBE;01.12.1969 00:00;-7.3;2.5;-15.2;;;;67.9;2.5;825.9;;;;;2.7;;9.7;;24.3;;;;;5106;49;;;845.8;;
SBE;01.01.1970 00:00;-4;5;-17.2;;;;72.8;3.4;827.5;;;;;2;;7.2;;147.6;;;;;4362;39;;;744.7;;
SBE;01.02.1970 00:00;-5.9;6.7;-16.7;;;;70.5;3;825.6;;;;;2.7;;9.7;;99.7;;;;;4674;39;;;726.5;;
SBE;01.03.1970 00:00;-4.6;8.2;-16.8;;;;73.6;3.4;826.7;;;;;3.9;;14;;125.6;;;;;6804;42;;;762;;
SBE;01.04.1970 00:00;-1;12.1;-11.8;;;;67;4.1;830.9;;;;;3.9;;14;;151.2;;;;;8070;44;;;628.8;;
SBE;01.05.1970 00:00;4.3;13.8;-4.5;;;;75.1;6.2;834.4;;;;;2.7;;9.7;;124.4;;;;;8562;43;;;487.7;;
SBE;01.06.1970 00:00;10.6;19.5;0.8;;;;76.6;9.9;838.8;;;;;1.7;;6.1;;136.4;;;;;10056;49;;;208.6;;
SBE;01.07.1970 00:00;11.7;21.1;2.5;;;;76.1;10.9;838.2;;;;;2;;7.2;;94.7;;;;;11460;56;;;157.6;;
SBE;01.08.1970 00:00;11.8;21.4;3.4;;;;80.4;11.2;838;;;;;2;;7.2;;163.5;;;;;9066;47;;;169;;
SBE;01.09.1970 00:00;10.1;20.5;-0.5;;;;75.5;9.5;840.4;;;;;2;;7.2;;128.8;;;;;9714;58;;;242.1;;
SBE;01.10.1970 00:00;4.6;18.8;-5.6;;;;70.1;6;838.5;;;;;3.9;;14;;89.5;;;;;7566;54;;;475.9;;
SBE;01.11.1970 00:00;1.3;17;-11.6;;;;68.8;4.5;834.7;;;;;3.1;;11.2;;281.5;;;;;5862;52;;;560.4;;
SBE;01.12.1970 00:00;-4.1;8.1;-19.5;;;;69.7;3.2;834.4;;;;;3.5;;12.6;;119.8;;;;;6882;66;;;746.1;;
SBE;01.01.1971 00:00;-4.8;6.8;-18.5;;;;76.9;3.4;829.9;;;;;2.9;;10.4;;125.3;;;;;5268;48;;;767.7;;
SBE;01.02.1971 00:00;-3.4;7.5;-13.5;;;;62.6;3;831.8;;;;;6.6;;23.8;;37.1;;;;;8592;72;;;655;;
SBE;01.03.1971 00:00;-5.4;5.2;-21.4;;;;72.8;3.3;826.9;;;;;6.1;;22;;157;;;;;9102;56;;;786.3;;
SBE;01.04.1971 00:00;2.7;11.6;-8;;;;80.8;5.8;831.2;;;;;2.9;;10.4;;137.1;;;;;8070;45;;;518.7;;
SBE;01.05.1971 00:00;6.1;18;-1.1;;;;88.6;8.4;833.5;;;;;1.9;;7.2;;226.4;;;;;5172;26;;;424.8;;
SBE;01.06.1971 00:00;7.9;20;0.1;;;;82.6;8.8;834.5;;;;;2.6;;9.4;;252.8;;;;;7296;36;;;348.6;;
SBE;01.07.1971 00:00;12.4;22.5;2.4;;;;79;11.5;840.4;;;;;3;;10.8;;104.7;;;;;14280;69;;;122;;
SBE;01.08.1971 00:00;12.4;22.9;4.8;;;;86.1;12.4;839.5;;;;;3;;10.8;;250;;;;;10896;57;;;119.5;;
SBE;01.09.1971 00:00;7.8;18.8;-2.6;;;;74.7;7.8;840.6;;;;;3.3;;11.9;;37.3;;;;;13296;78;;;353.9;;
SBE;01.10.1971 00:00;5.6;18.6;-4.8;;;;68.1;6;843.5;;;;;3;;10.8;;15.7;;;;;11196;78;;;438.2;;
SBE;01.11.1971 00:00;-0.8;14.4;-14.8;;;;71.8;4.2;830.4;;;;;4.3;;15.5;;191.1;;;;;5316;47;;;623.1;;
SBE;01.12.1971 00:00;0.7;12.8;-10.4;;;;60.8;3.7;840.3;;;;;4.3;;15.5;;37.4;;;;;7284;70;;;597.7;;
SBE;01.01.1972 00:00;-4.9;5;-14.2;;;;81.1;3.5;829.6;;;;;2;;7.2;;94.5;;;;;2304;21;;;771.4;;
SBE;01.02.1972 00:00;-2.7;4.5;-11.8;;;;85.8;4.4;830.2;;;;;2.4;;8.6;;170.2;;;;;2172;17;;;657;;
SBE;01.03.1972 00:00;-0.3;10;-9.5;;;;84;4.9;832.1;;;;;1.8;;6.8;;176.6;;;;;8256;48;;;628.7;;
SBE;01.04.1972 00:00;1.3;13.2;-8.3;;;;78.2;5.1;828.4;;;;;4.9;;17.6;;144.8;;;;;6996;39;;;561.8;;
SBE;01.05.1972 00:00;4.7;15.6;-3.3;;;;80.9;6.7;833.1;;;;;2.5;;9;;168.4;;;;;6564;33;;;475.3;;
SBE;01.06.1972 00:00;8.4;19.6;2;;;;84.1;9.3;835.9;;;;;3.6;;13.3;;223.1;;;;;6792;33;;;342.5;;
