station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
HAI;01.01.1901 00:00;;;;;;;;;;;;;;;;;;37;;;;;3138;;;;;;
HAI;01.02.1901 00:00;;;;;;;;;;;;;;;;;;31.8;;;;;3810;;;;;;
HAI;01.03.1901 00:00;;;;;;;;;;;;;;;;;;96.1;;;;;4692;;;;;;
HAI;01.04.1901 00:00;;;;;;;;;;;;;;;;;;140.8;;;;;9282;;;;;;
HAI;01.05.1901 00:00;;;;;;;;;;;;;;;;;;12.6;;;;;14346;;;;;;
HAI;01.06.1901 00:00;;;;;;;;;;;;;;;;;;162.6;;;;;10440;;;;;;
HAI;01.07.1901 00:00;;;;;;;;;;;;;;;;;;128.5;;;;;12864;;;;;;
HAI;01.08.1901 00:00;;;;;;;;;;;;;;;;;;163.3;;;;;12288;;;;;;
HAI;01.09.1901 00:00;;;;;;;;;;;;;;;;;;117.9;;;;;6114;;;;;;
HAI;01.10.1901 00:00;;;;;;;;;;;;;;;;;;56.6;;;;;3594;;;;;;
HAI;01.11.1901 00:00;;;;;;;;;;;;;;;;;;47.1;;;;;2454;;;;;;
HAI;01.12.1901 00:00;;;;;;;;;;;;;;;;;;68.4;;;;;1554;;;;;;
HAI;01.01.1902 00:00;;;;;;;;;;;;;;;;;;48.3;;;;;2406;;;;;;
HAI;01.02.1902 00:00;;;;;;;;;;;;;;;;;;83.7;;;;;1530;;;;;;
HAI;01.03.1902 00:00;;;;;;;;;;;;;;;;;;68.3;;;;;8040;;;;;;
HAI;01.04.1902 00:00;;;;;;;;;;;;;;;;;;28.6;;;;;7758;;;;;;
HAI;01.05.1902 00:00;;;;;;;;;;;;;;;;;;139.2;;;;;5922;;;;;;
HAI;01.06.1902 00:00;;;;;;;;;;;;;;;;;;104.9;;;;;10314;;;;;;
HAI;01.07.1902 00:00;;;;;;;;;;;;;;;;;;105.3;;;;;13932;;;;;;
HAI;01.08.1902 00:00;;;;;;;;;;;;;;;;;;132.2;;;;;10806;;;;;;
HAI;01.09.1902 00:00;;;;;;;;;;;;;;;;;;160.6;;;;;9510;;;;;;
HAI;01.10.1902 00:00;;;;;;;;;;;;;;;;;;98.6;;;;;2256;;;;;;
HAI;01.11.1902 00:00;;;;;;;;;;;;;;;;;;14.5;;;;;2028;;;;;;
HAI;01.12.1902 00:00;;;;;;;;;;;;;;;;;;75.8;;;;;1062;;;;;;
HAI;01.01.1903 00:00;;;;;;;;;;;;;;;;;;52.7;;;;;2796;;;;;;
HAI;01.02.1903 00:00;;;;;;;;;;;;;;;;;;30;;;;;4656;;;;;;
HAI;01.03.1903 00:00;;;;;;;;;;;;;;;;;;42.8;;;;;8562;;;;;;
HAI;01.04.1903 00:00;;;;;;;;;;;;;;;;;;38.4;;;;;3414;;;;;;
HAI;01.05.1903 00:00;;;;;;;;;;;;;;;;;;34.6;;;;;13560;;;;;;
HAI;01.06.1903 00:00;;;;;;;;;;;;;;;;;;92.4;;;;;8400;;;;;;
HAI;01.07.1903 00:00;;;;;;;;;;;;;;;;;;159.6;;;;;9024;;;;;;
HAI;01.08.1903 00:00;;;;;;;;;;;;;;;;;;153.3;;;;;12804;;;;;;
HAI;01.09.1903 00:00;;;;;;;;;;;;;;;;;;75.6;;;;;10008;;;;;;
HAI;01.10.1903 00:00;;;;;;;;;;;;;;;;;;99.9;;;;;6012;;;;;;
HAI;01.11.1903 00:00;;;;;;;;;;;;;;;;;;103.1;;;;;1272;;;;;;
HAI;01.12.1903 00:00;;;;;;;;;;;;;;;;;;17.6;;;;;756;;;;;;
HAI;01.01.1904 00:00;;;;;;;;;;;;;;;;;;36.7;;;;;1152;;;;;;
HAI;01.02.1904 00:00;;;;;;;;;;;;;;;;;;107.4;;;;;1380;;;;;;
HAI;01.03.1904 00:00;;;;;;;;;;;;;;;;;;33.7;;;;;3588;;;;;;
HAI;01.04.1904 00:00;;;;;;;;;;;;;;;;;;77.1;;;;;7422;;;;;;
HAI;01.05.1904 00:00;;;;;;;;;;;;;;;;;;117.3;;;;;12054;;;;;;
HAI;01.06.1904 00:00;;;;;;;;;;;;;;;;;;99.4;;;;;13578;;;;;;
HAI;01.07.1904 00:00;;;;;;;;;;;;;;;;;;26.6;;;;;17484;;;;;;
HAI;01.08.1904 00:00;;;;;;;;;;;;;;;;;;76.8;;;;;13728;;;;;;
HAI;01.09.1904 00:00;;;;;;;;;;;;;;;;;;111.8;;;;;5250;;;;;;
HAI;01.10.1904 00:00;;;;;;;;;;;;;;;;;;56.5;;;;;3906;;;;;;
HAI;01.11.1904 00:00;;;;;;;;;;;;;;;;;;59.5;;;;;4230;;;;;;
HAI;01.12.1904 00:00;;;;;;;;;;;;;;;;;;54.4;;;;;1794;;;;;;
HAI;01.01.1905 00:00;;;;;;;;;;;;;;;;;;30.8;;;;;4236;;;;;;
HAI;01.02.1905 00:00;;;;;;;;;;;;;;;;;;25.2;;;;;3786;;;;;;
HAI;01.03.1905 00:00;;;;;;;;;;;;;;;;;;112.5;;;;;4368;;;;;;
HAI;01.04.1905 00:00;;;;;;;;;;;;;;;;;;88.7;;;;;8130;;;;;;
HAI;01.05.1905 00:00;;;;;;;;;;;;;;;;;;86.9;;;;;9390;;;;;;
HAI;01.06.1905 00:00;;;;;;;;;;;;;;;;;;57.7;;;;;12624;;;;;;
HAI;01.07.1905 00:00;;;;;;;;;;;;;;;;;;67.5;;;;;17790;;;;;;
HAI;01.08.1905 00:00;;;;;;;;;;;;;;;;;;209.9;;;;;10890;;;;;;
