station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SAM;01.01.1980 00:00;-11.4;5.6;-32.4;;;;83;2.5;823.1;;;;;1.1;;5.4;;26.2;;;;;5958;49;;;973.5;;
SAM;01.02.1980 00:00;-7.8;7.3;-26.2;;;;74.2;2.8;829.2;;;;;1.1;;6.1;;4.5;;;;;9012;69;;;806;;
SAM;01.03.1980 00:00;-4.1;9.9;-22.5;;;;77.6;3.7;820.7;;;;;2.3;;9.4;;14;;;;;7998;51;;;746.7;;
SAM;01.04.1980 00:00;-2.2;8.8;-17.3;;;;68.2;3.6;825;;;;;2.7;;10.1;;6.3;;;;;7416;42;;;666.3;;
SAM;01.05.1980 00:00;4.3;15.1;-5.1;;;;71.4;5.7;824.1;;;;;3.3;;12.6;;39.2;;;;;7698;37;;;487.4;;
SAM;01.06.1980 00:00;7.7;22.5;-3.4;;;;67.8;6.9;828.2;;;;;3.1;;11.5;;115.3;;;;;8808;41;;;355.3;;
SAM;01.07.1980 00:00;9;23;-3.2;;;;72.2;8.2;829.3;;;;;3.1;;11.5;;98.8;;;;;10098;48;;;303.6;;
SAM;01.08.1980 00:00;11.7;25.1;-6.7;;;;71.1;9.4;832.6;;;;;3.5;;14;;47.5;;;;;12942;68;;;166.8;;
SAM;01.09.1980 00:00;8.2;22.3;-6.4;;;;64.5;6.6;834.9;;;;;3.1;;11.9;;16.8;;;;;12342;76;;;355;;
SAM;01.10.1980 00:00;0.5;18.3;-14.5;;;;76.6;5;826.4;;;;;2.1;;7.6;;182.7;;;;;7152;49;;;605.3;;
SAM;01.11.1980 00:00;-3.9;7.3;-24.8;;;;77.3;3.8;826;;;;;2.2;;7.9;;13.7;;;;;6030;49;;;716.5;;
SAM;01.12.1980 00:00;-10.1;4.5;-27.2;;;;77;2.5;827.2;;;;;1.6;;6.5;;7.3;;;;;6162;52;;;932.6;;
SAM;01.01.1981 00:00;-11.2;7.2;-31;-12.7;-33.5;4.5;73.7;2.1;826.8;;1491.2;;;2;22.5;7.2;81;23.5;70;;;;6427;52;12.1;0;965.7;717.7;18.5
SAM;01.02.1981 00:00;-10.8;7.6;-29.3;-12.4;-32.6;8.8;77.1;2.2;825.9;;1483.5;;;1.8;15.7;6.5;56.5;2;124;;;;9446;76;16.7;0;861.6;637.6;-3.5
SAM;01.03.1981 00:00;-1.4;12.5;-22.9;-2.1;-29.3;14.9;76;4.3;824.4;;1461.5;;;2.2;16.2;7.9;58.3;79.5;149;;;;7546;47;38.4;0;663.5;415.5;74.1
SAM;01.04.1981 00:00;2.8;16.7;-15;3;-16.8;20.9;66.4;4.7;827.2;;1485.1;;;2.6;16;9.4;57.6;10.1;226;;;;11386;65;72;0;517.3;277.3;-0.5
SAM;01.05.1981 00:00;5.4;19.4;-7.8;5.7;-11.1;23.2;70.6;6.1;826.6;;1477.4;;;2.7;15.3;9.7;55.1;125.6;209;;;;8233;40;83.1;0;453.3;205.3;104.4
SAM;01.06.1981 00:00;9.3;23.6;-4.9;9.9;-7.6;32.2;64.2;7.1;831.9;;1527.2;;;2.8;16.2;10.1;58.3;46.6;253;;;;11767;55;107.9;0;279.9;87.9;-47.8
SAM;01.07.1981 00:00;9.8;23.9;-1.5;10.4;-4;28.3;68.1;7.9;832.6;;1533.5;;;2.7;16.3;9.7;58.7;180.6;226;;;;9996;47;102.4;0;266;74;69.9
