station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SAE;01.01.1864 00:00;-9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.02.1864 00:00;-9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.03.1864 00:00;-6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.04.1864 00:00;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.05.1864 00:00;-0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.06.1864 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.07.1864 00:00;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.08.1864 00:00;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.09.1864 00:00;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.10.1864 00:00;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.11.1864 00:00;-6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.12.1864 00:00;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1865 00:00;-9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.02.1865 00:00;-12.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.03.1865 00:00;-13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.04.1865 00:00;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.05.1865 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.06.1865 00:00;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.07.1865 00:00;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.08.1865 00:00;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.09.1865 00:00;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.10.1865 00:00;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.11.1865 00:00;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.12.1865 00:00;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1866 00:00;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.02.1866 00:00;-7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.03.1866 00:00;-8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.04.1866 00:00;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.05.1866 00:00;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.06.1866 00:00;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.07.1866 00:00;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.08.1866 00:00;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.09.1866 00:00;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.10.1866 00:00;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.11.1866 00:00;-6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.12.1866 00:00;-4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1867 00:00;-9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.02.1867 00:00;-5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.03.1867 00:00;-6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.04.1867 00:00;-4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.05.1867 00:00;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.06.1867 00:00;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.07.1867 00:00;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.08.1867 00:00;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.09.1867 00:00;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.10.1867 00:00;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.11.1867 00:00;-6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.12.1867 00:00;-11.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1868 00:00;-9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.02.1868 00:00;-7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.03.1868 00:00;-9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.04.1868 00:00;-5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.05.1868 00:00;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.06.1868 00:00;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.07.1868 00:00;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.08.1868 00:00;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.09.1868 00:00;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.10.1868 00:00;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.11.1868 00:00;-6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.12.1868 00:00;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1869 00:00;-8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.02.1869 00:00;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.03.1869 00:00;-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.04.1869 00:00;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.05.1869 00:00;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.06.1869 00:00;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.07.1869 00:00;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.08.1869 00:00;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.09.1869 00:00;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.10.1869 00:00;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.11.1869 00:00;-6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.12.1869 00:00;-9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1870 00:00;-10.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.02.1870 00:00;-8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.03.1870 00:00;-10.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.04.1870 00:00;-5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.05.1870 00:00;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.06.1870 00:00;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.07.1870 00:00;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.08.1870 00:00;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.09.1870 00:00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.10.1870 00:00;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.11.1870 00:00;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.12.1870 00:00;-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
