station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SHA;01.10.1863 00:00;10;;;;;;;11;969.2;;;;;;;;;57.8;;;;;;;;;279.7;;
SHA;01.11.1863 00:00;4.8;;;;;;;7.6;974.1;;;;;;;;;39.8;;;;;;;;;456.8;;
SHA;01.12.1863 00:00;1.7;;;;;;;6.3;976.5;;;;;;;;;45.6;;;;;;;;;568.4;;
SHA;01.01.1864 00:00;-6.6;;;;;;;;979;;;;;;;;;29.8;;;;;;;;;798.7;;
SHA;01.02.1864 00:00;-0.6;;;;;;;;966.5;;;;;;;;;17.8;;;;;;;;;576.4;;
SHA;01.03.1864 00:00;5;;;;;;;6.9;961.9;;;;;;;;;56.9;;;;;;;;;466.5;;
SHA;01.04.1864 00:00;7.9;;;;;;;7.3;970.7;;;;;;;;;33.8;;;;;;;;;332.4;;
SHA;01.05.1864 00:00;13;;;;;;;11.2;967.9;;;;;;;;;73.5;;;;;;;;;110.2;;
SHA;01.06.1864 00:00;15.5;;;;;;;14;970;;;;;;;;;151.5;;;;;;;;;34.8;;
SHA;01.07.1864 00:00;17.6;;;;;;;15.5;970.8;;;;;;;;;57.6;;;;;;;;;0;;
SHA;01.08.1864 00:00;16.1;;;;;;;13.4;972.1;;;;;;;;;41.4;;;;;;;;;54.9;;
SHA;01.09.1864 00:00;13.4;;;;;;;12.7;972.4;;;;;;;;;43.8;;;;;;;;;103.6;;
SHA;01.10.1864 00:00;7.4;;;;;;;8.5;965.5;;;;;;;;;15.7;;;;;;;;;383.7;;
SHA;01.11.1864 00:00;3.2;;;;;;;7;966.5;;;;;;;;;82.1;;;;;;;;;504.5;;
SHA;01.12.1864 00:00;-3.7;;;;;;;;971.7;;;;;;;;;4.5;;;;;;;;;735.9;;
SHA;01.01.1865 00:00;0;;;;;;;;960.9;;;;;;;;;101.8;;;;;;;;;619.5;;
SHA;01.02.1865 00:00;-1.9;;;;;;;;966.8;;;;;;;;;65.9;;;;;;;;;612.9;;
SHA;01.03.1865 00:00;0;;;;;;;;962.6;;;;;;;;;37.7;;;;;;;;;618.7;;
SHA;01.04.1865 00:00;12.6;;;;;;;9.6;973.1;;;;;;;;;6.3;;;;;;;;;117.1;;
SHA;01.05.1865 00:00;15.8;;;;;;;13.4;970.6;;;;;;;;;71.5;;;;;;;;;26.9;;
SHA;01.06.1865 00:00;16.9;;;;;;;13;973.6;;;;;;;;;85.2;;;;;;;;;0;;
SHA;01.07.1865 00:00;19.7;;;;;;;16.3;970.9;;;;;;;;;102.3;;;;;;;;;0;;
SHA;01.08.1865 00:00;16.5;;;;;;;15.5;969.6;;;;;;;;;;;;;;;;;;8.6;;
SHA;01.09.1865 00:00;15.6;;;;;;;13.3;978;;;;;;;;;0;;;;;;;;;9.1;;
SHA;01.10.1865 00:00;9.5;;;;;;;9.8;963.2;;;;;;;;;97.9;;;;;;;;;296.5;;
SHA;01.11.1865 00:00;4.9;;;;;;;7.9;970.3;;;;;;;;;60.1;;;;;;;;;453;;
SHA;01.12.1865 00:00;-1.6;;;;;;;;979.7;;;;;;;;;6.7;;;;;;;;;669;;
SHA;01.01.1866 00:00;2;;;;;;;;973.9;;;;;;;;;44.1;;;;;;;;;557.2;;
SHA;01.02.1866 00:00;4.2;;;;;;;7.1;966.4;;;;;;;;;103.5;;;;;;;;;442.3;;
