station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SCU;01.01.1881 00:00;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;
SCU;01.02.1881 00:00;;;;;;;;;;;;;;;;;;13.5;;;;;;;;;;;
SCU;01.03.1881 00:00;;;;;;;;;;;;;;;;;;19.6;;;;;;;;;;;
SCU;01.04.1881 00:00;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;
SCU;01.05.1881 00:00;;;;;;;;;;;;;;;;;;33.3;;;;;;;;;;;
SCU;01.06.1881 00:00;;;;;;;;;;;;;;;;;;45.6;;;;;;;;;;;
SCU;01.07.1881 00:00;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;
SCU;01.08.1881 00:00;;;;;;;;;;;;;;;;;;88.2;;;;;;;;;;;
SCU;01.09.1881 00:00;;;;;;;;;;;;;;;;;;62.2;;;;;;;;;;;
SCU;01.10.1881 00:00;;;;;;;;;;;;;;;;;;47.3;;;;;;;;;;;
SCU;01.11.1881 00:00;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;
SCU;01.12.1881 00:00;;;;;;;;;;;;;;;;;;22.2;;;;;;;;;;;
SCU;01.01.1882 00:00;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;
SCU;01.02.1882 00:00;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;
SCU;01.03.1882 00:00;;;;;;;;;;;;;;;;;;26.7;;;;;;;;;;;
SCU;01.04.1882 00:00;;;;;;;;;;;;;;;;;;24.6;;;;;;;;;;;
SCU;01.05.1882 00:00;;;;;;;;;;;;;;;;;;3.8;;;;;;;;;;;
SCU;01.06.1882 00:00;;;;;;;;;;;;;;;;;;86;;;;;;;;;;;
SCU;01.07.1882 00:00;;;;;;;;;;;;;;;;;;88.8;;;;;;;;;;;
SCU;01.08.1882 00:00;;;;;;;;;;;;;;;;;;103.7;;;;;;;;;;;
SCU;01.09.1882 00:00;;;;;;;;;;;;;;;;;;130.9;;;;;;;;;;;
SCU;01.10.1882 00:00;;;;;;;;;;;;;;;;;;146;;;;;;;;;;;
SCU;01.11.1882 00:00;;;;;;;;;;;;;;;;;;61.8;;;;;;;;;;;
SCU;01.12.1882 00:00;;;;;;;;;;;;;;;;;;131.3;;;;;;;;;;;
SCU;01.01.1883 00:00;;;;;;;;;;;;;;;;;;28.1;;;;;;;;;;;
SCU;01.02.1883 00:00;;;;;;;;;;;;;;;;;;13.3;;;;;;;;;;;
SCU;01.03.1883 00:00;;;;;;;;;;;;;;;;;;10.5;;;;;;;;;;;
SCU;01.04.1883 00:00;;;;;;;;;;;;;;;;;;3.7;;;;;;;;;;;
SCU;01.05.1883 00:00;;;;;;;;;;;;;;;;;;33.7;;;;;;;;;;;
SCU;01.06.1883 00:00;;;;;;;;;;;;;;;;;;106.1;;;;;;;;;;;
SCU;01.07.1883 00:00;;;;;;;;;;;;;;;;;;104.1;;;;;;;;;;;
SCU;01.08.1883 00:00;;;;;;;;;;;;;;;;;;55.2;;;;;;;;;;;
SCU;01.09.1883 00:00;;;;;;;;;;;;;;;;;;119.6;;;;;;;;;;;
SCU;01.10.1883 00:00;;;;;;;;;;;;;;;;;;59;;;;;;;;;;;
SCU;01.11.1883 00:00;;;;;;;;;;;;;;;;;;42.2;;;;;;;;;;;
SCU;01.12.1883 00:00;;;;;;;;;;;;;;;;;;64.9;;;;;;;;;;;
SCU;01.01.1884 00:00;;;;;;;;;;;;;;;;;;19.7;;;;;;;;;;;
SCU;01.02.1884 00:00;;;;;;;;;;;;;;;;;;5.3;;;;;;;;;;;
SCU;01.03.1884 00:00;;;;;;;;;;;;;;;;;;6.1;;;;;;;;;;;
