station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SIA;01.12.1863 00:00;-4.4;;;;;;;;;;;;;;;;;23.5;;;;;;;;;755.8;;
SIA;01.01.1864 00:00;-11.3;;;;;;79.9;2.2;817.9;;;;;3.1;;11.2;;4.9;;;;;;;;;971;;
SIA;01.02.1864 00:00;-7.8;;;;;;81.6;3.1;809.5;;;;;3.5;;12.6;;54;;;;;;;;;805.3;;
SIA;01.03.1864 00:00;-3.6;;;;;;78.3;3.9;810.4;;;;;3.9;;14;;68.1;;;;;;;;;733;;
SIA;01.04.1864 00:00;-0.9;;;;;;67.8;4;813.8;;;;;3.9;;14;;35.1;;;;;;;;;627.8;;
SIA;01.05.1864 00:00;5.4;;;;;;73;6.7;814.7;;;;;3.5;;12.6;;46.5;;;;;;;;;453.2;;
SIA;01.06.1864 00:00;8.6;;;;;;74.1;8.5;817.7;;;;;2.4;;8.6;;117.8;;;;;;;;;326;;
SIA;01.07.1864 00:00;10.9;;;;;;73.5;9.9;819.3;;;;;2.4;;8.6;;84.8;;;;;;;;;241.1;;
SIA;01.08.1864 00:00;9.1;;;;;;73.7;8.8;820;;;;;2;;7.2;;151.9;;;;;;;;;285.1;;
SIA;01.09.1864 00:00;6.9;;;;;;77.9;8;819.7;;;;;1.1;;4;;147.7;;;;;;;;;392.6;;
SIA;01.10.1864 00:00;1.4;;;;;;82.4;5.7;812.1;;;;;0.8;;2.9;;140.3;;;;;;;;;575.3;;
SIA;01.11.1864 00:00;-2.6;;;;;;83.4;4.4;810.5;;;;;1.1;;4;;63;;;;;;;;;677.2;;
SIA;01.12.1864 00:00;-7.9;;;;;;80.1;2.9;813.4;;;;;0.4;;1.4;;9;;;;;;;;;863.6;;
SIA;01.01.1865 00:00;-8;;;;;;80.4;2.9;805.5;;;;;0.6;;2.2;;51.2;;;;;;;;;869.2;;
SIA;01.02.1865 00:00;-9.8;;;;;;74.7;2.3;806.6;;;;;1.7;;6.1;;7.8;;;;;;;;;834.3;;
SIA;01.03.1865 00:00;-8.5;;;;;;78;2.7;803.2;;;;;1.1;;4;;46.6;;;;;;;;;882;;
SIA;01.04.1865 00:00;3;;;;;;74.6;6;820.2;;;;;0.2;;0.7;;5.3;;;;;;;;;509.5;;
