station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SIO;01.07.1953 00:00;;30.8;6;;;;;;960.7;;;;;;;;;;;;;;;;;;;;
SIO;01.08.1953 00:00;;30.5;5.5;;;;;;963;;;;;;;;;;;;;;;;;;;;
SIO;01.09.1953 00:00;;28.8;4;;;;;;961.3;;;;;;;;;;;;;;;;;;;;
SIO;01.10.1953 00:00;;22;-1.4;;;;;;962;;;;;;;;;;;;;;;;;;;;
SIO;01.11.1953 00:00;;14.8;-5.5;;;;;;968.8;;;;;;;;;;;;;;;;;;;;
SIO;01.12.1953 00:00;;14.5;-11;;;;;;966.1;;;;;;;;;;;;;;;;;;;;
SIO;01.01.1954 00:00;;10;-14.2;;;;;;959.9;;;;;;;;;;;;;;;;;;;;
SIO;01.02.1954 00:00;;13;-12.5;;;;;;954.1;;;;;;;;;;;;;;;;;;;;
SIO;01.03.1954 00:00;;20.2;-4.5;;;;;;954.3;;;;;;;;;;;;;;;;;;;;
SIO;01.04.1954 00:00;;21;-2.1;;;;;;960;;;;;;;;;;;;;;;;;;;;
SIO;01.05.1954 00:00;;28.5;-1;;;;;;957.1;;;;;;;;;;;;;;;;;;;;
SIO;01.06.1954 00:00;;31.2;4;;;;;;959.2;;;;;;;;;;;;;;;;;;;;
SIO;01.07.1954 00:00;;29.8;2.6;;;;;;959.7;;;;;;;;;;;;;;;;;;;;
SIO;01.08.1954 00:00;;31;4.9;;;;;;958.9;;;;;;;;;;;;;;;;;;;;
SIO;01.09.1954 00:00;;28.2;-0.5;;;;;;963.2;;;;;;;;;;;;;;;;;;;;
SIO;01.10.1954 00:00;;21;-1.2;;;;;;964.1;;;;;;;;;;;;;;;;;;;;
SIO;01.11.1954 00:00;;16.6;-8.8;;;;;;960.7;;;;;;;;;;;;;;;;;;;;
SIO;01.12.1954 00:00;;11.4;-7.4;;;;;;962.1;;;;;;;;;;;;;;;;;;;;
SIO;01.01.1955 00:00;;15.6;-11.5;;;;;;955.3;;;;;;;;;;;;;;;;;;;;
SIO;01.02.1955 00:00;;15;-11.5;;;;;;949.9;;;;;;;;;;;;;;;;;;;;
SIO;01.03.1955 00:00;;21.5;-10.8;;;;;;956.2;;;;;;;;;;;;;;;;;;;;
