station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
VAB;01.07.1993 00:00;;;;;;;;;;;;;;3.3;;;;;;;;;;;;;;;
VAB;01.08.1993 00:00;;;;;;;;;;;;;;3.1;15.8;11.2;56.9;;;;;;;;;;;;
VAB;01.09.1993 00:00;;;;;;;;;;;;;;3.5;22.8;;82.1;;;;;;;;;;;;
VAB;01.10.1993 00:00;;;;;;;;;;;;;;3.5;28.5;;102.6;;;;;;;;;;;;
VAB;01.11.1993 00:00;;;;;;;;;;;;;;2.6;14.1;;50.8;;;;;;;;;;;;
VAB;01.12.1993 00:00;;;;;;;;;;;;;;2.9;17.8;;64.1;;;;;;;;;;;;
VAB;01.01.1994 00:00;;;;;;;;;;;;;;3.4;26.5;12.2;95.4;;;;;;;;;;;;
VAB;01.02.1994 00:00;;;;;;;;;;;;;;3.2;17.2;11.5;61.9;;;;;;;;;;;;
VAB;01.03.1994 00:00;;;;;;;;;;;;;;2.6;16.1;9.4;58;;;;;;;;;;;;
VAB;01.04.1994 00:00;;;;;;;;;;;;;;3.4;16.7;12.2;60.1;;;;;;;;;;;;
VAB;01.05.1994 00:00;;;;;;;;;;;;;;3.2;17.7;11.5;63.7;;;;;;;;;;;;
VAB;01.06.1994 00:00;;;;;;;;;;;;;;3.5;20;12.6;72;;;;;;;;;;;;
VAB;01.07.1994 00:00;;;;;;;;;;;;;;3.3;15.5;11.9;55.8;;;;;;;;;;;;
VAB;01.10.1994 00:00;;;;;;;;;;;;;;2.8;13.7;10.1;49.3;;;;;;;;;;;;
VAB;01.11.1994 00:00;;;;;;;;;;;;;;2.6;24;9.4;86.4;;;;;;;;;;;;
VAB;01.12.1994 00:00;;;;;;;;;;;;;;2.8;13.3;10.1;47.9;;;;;;;;;;;;
VAB;01.01.1995 00:00;;;;;;;;;;;;;;3.8;22.5;13.7;81;;;;;;;;;;;;
VAB;01.02.1995 00:00;;;;;;;;;;;;;;2.9;15;10.4;54;;;;;;;;;;;;
VAB;01.03.1995 00:00;;;;;;;;;;;;;;3.7;24.2;13.3;87.1;;;;;;;;;;;;
VAB;01.04.1995 00:00;;;;;;;;;;;;;;3.7;;13.3;;;;;;;;;;;;;
VAB;01.05.1995 00:00;;;;;;;;;;;;;;3.4;14.6;12.2;52.6;;;;;;;;;;;;
VAB;01.06.1995 00:00;;;;;;;;;;;;;;3.3;15.6;11.9;56.2;;;;;;;;;;;;
VAB;01.07.1995 00:00;;;;;;;;;;;;;;3.1;18.3;11.2;65.9;;;;;;;;;;;;
VAB;01.08.1995 00:00;;;;;;;;;;;;;;3;19.1;10.8;68.8;;;;;;;;;;;;
VAB;01.09.1995 00:00;;;;;;;;;;;;;;2.9;17.2;10.4;61.9;;;;;;;;;;;;
VAB;01.10.1995 00:00;;;;;;;;;;;;;;2.5;;9;;;;;;;;;;;;;
VAB;01.11.1995 00:00;;;;;;;;;;;;;;3.6;22.7;13;81.7;;;;;;;;;;;;
VAB;01.12.1995 00:00;;;;;;;;;;;;;;2.7;17.2;9.7;61.9;;;;;;;;;;;;
VAB;01.01.1996 00:00;;;;;;;;;;;;;;3.3;21;11.9;75.6;;;;;;;;;;;;
VAB;01.02.1996 00:00;;;;;;;;;;;;;;3;22.8;10.8;82.1;;;;;;;;;;;;
VAB;01.03.1996 00:00;;;;;;;;;;;;;;2.8;13.5;10.1;48.6;;;;;;;;;;;;
VAB;01.04.1996 00:00;;;;;;;;;;;;;;3.2;16.8;11.5;60.5;;;;;;;;;;;;
