station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
VEV;01.01.1961 00:00;;;;;;;;;;;;;;;;;;82.1;;;;;;;;;;;
VEV;01.02.1961 00:00;;;;;;;;;;;;;;;;;;65.5;;;;;;;;;;;
VEV;01.03.1961 00:00;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;
VEV;01.04.1961 00:00;;;;;;;;;;;;;;;;;;127.6;;;;;;;;;;;
VEV;01.05.1961 00:00;;;;;;;;;;;;;;;;;;62.5;;;;;;;;;;;
VEV;01.06.1961 00:00;;;;;;;;;;;;;;;;;;109.9;;;;;;;;;;;
VEV;01.07.1961 00:00;;;;;;;;;;;;;;;;;;134;;;;;;;;;;;
VEV;01.08.1961 00:00;;;;;;;;;;;;;;;;;;91.8;;;;;;;;;;;
VEV;01.09.1961 00:00;;;;;;;;;;;;;;;;;;39.9;;;;;;;;;;;
VEV;01.10.1961 00:00;;;;;;;;;;;;;;;;;;99.4;;;;;;;;;;;
VEV;01.11.1961 00:00;;;;;;;;;;;;;;;;;;50.9;;;;;;;;;;;
VEV;01.12.1961 00:00;;;;;;;;;;;;;;;;;;117.1;;;;;;;;;;;
VEV;01.01.1962 00:00;;;;;;;;;;;;;;;;;;111.2;;;;;;;;;;;
VEV;01.02.1962 00:00;;;;;;;;;;;;;;;;;;55.8;;;;;;;;;;;
VEV;01.03.1962 00:00;;;;;;;;;;;;;;;;;;88.7;;;;;;;;;;;
VEV;01.04.1962 00:00;;;;;;;;;;;;;;;;;;67;;;;;;;;;;;
VEV;01.05.1962 00:00;;;;;;;;;;;;;;;;;;97.6;;;;;;;;;;;
VEV;01.06.1962 00:00;;;;;;;;;;;;;;;;;;22.7;;;;;;;;;;;
VEV;01.07.1962 00:00;;;;;;;;;;;;;;;;;;25.5;;;;;;;;;;;
VEV;01.08.1962 00:00;;;;;;;;;;;;;;;;;;44.5;;;;;;;;;;;
VEV;01.09.1962 00:00;;;;;;;;;;;;;;;;;;78.2;;;;;;;;;;;
VEV;01.10.1962 00:00;;;;;;;;;;;;;;;;;;24.7;;;;;;;;;;;
VEV;01.11.1962 00:00;;;;;;;;;;;;;;;;;;20.9;;;;;;;;;;;
VEV;01.12.1962 00:00;;;;;;;;;;;;;;;;;;131.5;;;;;;;;;;;
VEV;01.01.1963 00:00;;;;;;;;;;;;;;;;;;49.5;;;;;;;;;;;
VEV;01.02.1963 00:00;;;;;;;;;;;;;;;;;;63.4;;;;;;;;;;;
VEV;01.03.1963 00:00;;;;;;;;;;;;;;;;;;144.2;;;;;;;;;;;
VEV;01.04.1963 00:00;;;;;;;;;;;;;;;;;;60.5;;;;;;;;;;;
VEV;01.05.1963 00:00;;;;;;;;;;;;;;;;;;51.5;;;;;;;;;;;
VEV;01.06.1963 00:00;;;;;;;;;;;;;;;;;;182.5;;;;;;;;;;;
VEV;01.07.1963 00:00;;;;;;;;;;;;;;;;;;95.3;;;;;;;;;;;
VEV;01.08.1963 00:00;;;;;;;;;;;;;;;;;;191.5;;;;;;;;;;;
VEV;01.09.1963 00:00;;;;;;;;;;;;;;;;;;65.2;;;;;;;;;;;
VEV;01.10.1963 00:00;;;;;;;;;;;;;;;;;;57.6;;;;;;;;;;;
VEV;01.11.1963 00:00;;;;;;;;;;;;;;;;;;210;;;;;;;;;;;
VEV;01.12.1963 00:00;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;
VEV;01.01.1964 00:00;;;;;;;;;;;;;;;;;;5.4;;;;;;;;;;;
VEV;01.02.1964 00:00;;;;;;;;;;;;;;;;;;12.7;;;;;;;;;;;
VEV;01.03.1964 00:00;;;;;;;;;;;;;;;;;;137.4;;;;;;;;;;;
VEV;01.04.1964 00:00;;;;;;;;;;;;;;;;;;66.6;;;;;;;;;;;
VEV;01.05.1964 00:00;;;;;;;;;;;;;;;;;;73.5;;;;;;;;;;;
VEV;01.06.1964 00:00;;;;;;;;;;;;;;;;;;87.3;;;;;;;;;;;
VEV;01.07.1964 00:00;;;;;;;;;;;;;;;;;;84.3;;;;;;;;;;;
VEV;01.08.1964 00:00;;;;;;;;;;;;;;;;;;114.8;;;;;;;;;;;
VEV;01.09.1964 00:00;;;;;;;;;;;;;;;;;;99.2;;;;;;;;;;;
VEV;01.10.1964 00:00;;;;;;;;;;;;;;;;;;145.3;;;;;;;;;;;
VEV;01.11.1964 00:00;;;;;;;;;;;;;;;;;;66.3;;;;;;;;;;;
VEV;01.12.1964 00:00;;;;;;;;;;;;;;;;;;35.3;;;;;;;;;;;
VEV;01.01.1965 00:00;;;;;;;;;;;;;;;;;;86.4;;;;;;;;;;;
VEV;01.02.1965 00:00;;;;;;;;;;;;;;;;;;21.6;;;;;;;;;;;
VEV;01.03.1965 00:00;;;;;;;;;;;;;;;;;;147.4;;;;;;;;;;;
VEV;01.04.1965 00:00;;;;;;;;;;;;;;;;;;94.5;;;;;;;;;;;
VEV;01.05.1965 00:00;;;;;;;;;;;;;;;;;;135.6;;;;;;;;;;;
VEV;01.06.1965 00:00;;;;;;;;;;;;;;;;;;73.5;;;;;;;;;;;
VEV;01.07.1965 00:00;;;;;;;;;;;;;;;;;;254.5;;;;;;;;;;;
VEV;01.08.1965 00:00;;;;;;;;;;;;;;;;;;105.7;;;;;;;;;;;
VEV;01.09.1965 00:00;;;;;;;;;;;;;;;;;;157.5;;;;;;;;;;;
VEV;01.10.1965 00:00;;;;;;;;;;;;;;;;;;26.3;;;;;;;;;;;
VEV;01.11.1965 00:00;;;;;;;;;;;;;;;;;;179.9;;;;;;;;;;;
VEV;01.12.1965 00:00;;;;;;;;;;;;;;;;;;167.7;;;;;;;;;;;
VEV;01.01.1966 00:00;;;;;;;;;;;;;;;;;;59.9;;;;;;;;;;;
VEV;01.02.1966 00:00;;;;;;;;;;;;;;;;;;172.5;;;;;;;;;;;
VEV;01.03.1966 00:00;;;;;;;;;;;;;;;;;;67.2;;;;;;;;;;;
VEV;01.04.1966 00:00;;;;;;;;;;;;;;;;;;125.5;;;;;;;;;;;
VEV;01.05.1966 00:00;;;;;;;;;;;;;;;;;;114.6;;;;;;;;;;;
VEV;01.06.1966 00:00;;;;;;;;;;;;;;;;;;58.6;;;;;;;;;;;
VEV;01.07.1966 00:00;;;;;;;;;;;;;;;;;;102;;;;;;;;;;;
VEV;01.08.1966 00:00;;;;;;;;;;;;;;;;;;150.5;;;;;;;;;;;
VEV;01.09.1966 00:00;;;;;;;;;;;;;;;;;;63.4;;;;;;;;;;;
VEV;01.10.1966 00:00;;;;;;;;;;;;;;;;;;72.4;;;;;;;;;;;
VEV;01.11.1966 00:00;;;;;;;;;;;;;;;;;;95.4;;;;;;;;;;;
VEV;01.12.1966 00:00;;;;;;;;;;;;;;;;;;112.5;;;;;;;;;;;
VEV;01.01.1967 00:00;;;;;;;;;;;;;;;;;;72.3;;;;;;;;;;;
VEV;01.02.1967 00:00;;;;;;;;;;;;;;;;;;54.1;;;;;;;;;;;
VEV;01.03.1967 00:00;;;;;;;;;;;;;;;;;;97;;;;;;;;;;;
VEV;01.04.1967 00:00;;;;;;;;;;;;;;;;;;42.7;;;;;;;;;;;
VEV;01.05.1967 00:00;;;;;;;;;;;;;;;;;;128.6;;;;;;;;;;;
VEV;01.06.1967 00:00;;;;;;;;;;;;;;;;;;91.1;;;;;;;;;;;
VEV;01.07.1967 00:00;;;;;;;;;;;;;;;;;;61.4;;;;;;;;;;;
VEV;01.08.1967 00:00;;;;;;;;;;;;;;;;;;82;;;;;;;;;;;
VEV;01.09.1967 00:00;;;;;;;;;;;;;;;;;;80.7;;;;;;;;;;;
VEV;01.10.1967 00:00;;;;;;;;;;;;;;;;;;70.1;;;;;;;;;;;
VEV;01.11.1967 00:00;;;;;;;;;;;;;;;;;;104.7;;;;;;;;;;;
VEV;01.12.1967 00:00;;;;;;;;;;;;;;;;;;73.1;;;;;;;;;;;
VEV;01.01.1968 00:00;;;;;;;;;;;;;;;;;;125.3;;;;;;;;;;;
VEV;01.02.1968 00:00;;;;;;;;;;;;;;;;;;85.2;;;;;;;;;;;
VEV;01.03.1968 00:00;;;;;;;;;;;;;;;;;;49.8;;;;;;;;;;;
VEV;01.04.1968 00:00;;;;;;;;;;;;;;;;;;77.6;;;;;;;;;;;
VEV;01.05.1968 00:00;;;;;;;;;;;;;;;;;;74.3;;;;;;;;;;;
VEV;01.06.1968 00:00;;;;;;;;;;;;;;;;;;58.7;;;;;;;;;;;
VEV;01.07.1968 00:00;;;;;;;;;;;;;;;;;;140.3;;;;;;;;;;;
VEV;01.08.1968 00:00;;;;;;;;;;;;;;;;;;326.5;;;;;;;;;;;
VEV;01.09.1968 00:00;;;;;;;;;;;;;;;;;;198.8;;;;;;;;;;;
VEV;01.10.1968 00:00;;;;;;;;;;;;;;;;;;56.8;;;;;;;;;;;
VEV;01.11.1968 00:00;;;;;;;;;;;;;;;;;;99.4;;;;;;;;;;;
VEV;01.12.1968 00:00;;;;;;;;;;;;;;;;;;132.3;;;;;;;;;;;
VEV;01.01.1969 00:00;;;;;;;;;;;;;;;;;;52.4;;;;;;;;;;;
VEV;01.02.1969 00:00;;;;;;;;;;;;;;;;;;65.4;;;;;;;;;;;
VEV;01.03.1969 00:00;;;;;;;;;;;;;;;;;;44.5;;;;;;;;;;;
VEV;01.04.1969 00:00;;;;;;;;;;;;;;;;;;93.4;;;;;;;;;;;
VEV;01.05.1969 00:00;;;;;;;;;;;;;;;;;;68.9;;;;;;;;;;;
VEV;01.06.1969 00:00;;;;;;;;;;;;;;;;;;155.7;;;;;;;;;;;
VEV;01.07.1969 00:00;;;;;;;;;;;;;;;;;;90.2;;;;;;;;;;;
VEV;01.08.1969 00:00;;;;;;;;;;;;;;;;;;197;;;;;;;;;;;
VEV;01.09.1969 00:00;;;;;;;;;;;;;;;;;;54.8;;;;;;;;;;;
VEV;01.10.1969 00:00;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;
VEV;01.11.1969 00:00;;;;;;;;;;;;;;;;;;137.1;;;;;;;;;;;
VEV;01.12.1969 00:00;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;
VEV;01.01.1970 00:00;;;;;;;;;;;;;;;;;;75.3;;;;;;;;;;;
VEV;01.02.1970 00:00;;;;;;;;;;;;;;;;;;142.9;;;;;;;;;;;
VEV;01.03.1970 00:00;;;;;;;;;;;;;;;;;;98.2;;;;;;;;;;;
VEV;01.04.1970 00:00;;;;;;;;;;;;;;;;;;207.1;;;;;;;;;;;
VEV;01.05.1970 00:00;;;;;;;;;;;;;;;;;;81.7;;;;;;;;;;;
VEV;01.06.1970 00:00;;;;;;;;;;;;;;;;;;166.2;;;;;;;;;;;
VEV;01.07.1970 00:00;;;;;;;;;;;;;;;;;;80.9;;;;;;;;;;;
