station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
WAE;01.01.1961 00:00;;;;;;;;;;;;;;;;;;86.7;;;;;;;;;;;
WAE;01.02.1961 00:00;;;;;;;;;;;;;;;;;;109.2;;;;;;;;;;;
WAE;01.03.1961 00:00;;;;;;;;;;;;;;;;;;56.3;;;;;;;;;;;
WAE;01.04.1961 00:00;;;;;;;;;;;;;;;;;;96.5;;;;;;;;;;;
WAE;01.05.1961 00:00;;;;;;;;;;;;;;;;;;187.1;;;;;;;;;;;
WAE;01.06.1961 00:00;;;;;;;;;;;;;;;;;;107.3;;;;;;;;;;;
WAE;01.07.1961 00:00;;;;;;;;;;;;;;;;;;179.1;;;;;;;;;;;
WAE;01.08.1961 00:00;;;;;;;;;;;;;;;;;;137.7;;;;;;;;;;;
WAE;01.09.1961 00:00;;;;;;;;;;;;;;;;;;45.6;;;;;;;;;;;
WAE;01.10.1961 00:00;;;;;;;;;;;;;;;;;;64.2;;;;;;;;;;;
WAE;01.11.1961 00:00;;;;;;;;;;;;;;;;;;46.2;;;;;;;;;;;
WAE;01.12.1961 00:00;;;;;;;;;;;;;;;;;;173.8;;;;;;;;;;;
WAE;01.01.1962 00:00;;;;;;;;;;;;;;;;;;153.8;;;;;;;;;;;
WAE;01.02.1962 00:00;;;;;;;;;;;;;;;;;;98;;;;;;;;;;;
WAE;01.03.1962 00:00;;;;;;;;;;;;;;;;;;88.9;;;;;;;;;;;
WAE;01.04.1962 00:00;;;;;;;;;;;;;;;;;;94.2;;;;;;;;;;;
WAE;01.05.1962 00:00;;;;;;;;;;;;;;;;;;208.9;;;;;;;;;;;
WAE;01.06.1962 00:00;;;;;;;;;;;;;;;;;;49.8;;;;;;;;;;;
WAE;01.07.1962 00:00;;;;;;;;;;;;;;;;;;95;;;;;;;;;;;
WAE;01.08.1962 00:00;;;;;;;;;;;;;;;;;;103.2;;;;;;;;;;;
WAE;01.09.1962 00:00;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;
WAE;01.10.1962 00:00;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;
WAE;01.11.1962 00:00;;;;;;;;;;;;;;;;;;48.2;;;;;;;;;;;
WAE;01.12.1962 00:00;;;;;;;;;;;;;;;;;;157.5;;;;;;;;;;;
