station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
WFJ;01.01.1959 00:00;-10.6;;;;;;70.2;2;726.3;;;;;9.4;;33.8;;103.5;;;;;7104;43;;;949.7;;
WFJ;01.02.1959 00:00;-5.5;;;;;;51.8;2;740.3;;;;;3.9;;14;;32.6;;;;;13602;81;;;713.8;;
WFJ;01.03.1959 00:00;-5;;;;;;81.1;3.5;731.4;;;;;6.7;;24.1;;41.8;;;;;8022;39;;;775.7;;
WFJ;01.04.1959 00:00;-4;;;;;;74.4;3.4;729.3;;;;;6.2;;22.3;;57.6;;;;;11670;52;;;721.1;;
WFJ;01.05.1959 00:00;-0.4;;;;;;79.7;4.8;733.6;;;;;4.4;;15.8;;106.3;;;;;12660;49;;;631.4;;
WFJ;01.06.1959 00:00;2.8;;;;;;89.7;6.8;739.1;;;;;4.8;;17.3;;101.9;;;;;6918;26;;;517.1;;
WFJ;01.07.1959 00:00;6.5;;;;;;80.2;7.9;741.2;;;;;5.3;;19.1;;141.6;;;;;13182;49;;;419.8;;
WFJ;01.08.1959 00:00;4.6;;;;;;82.6;7.2;739.7;;;;;3.9;;14;;81.5;;;;;9912;41;;;476.1;;
WFJ;01.09.1959 00:00;4.9;;;;;;70.9;6.1;740;;;;;2.7;;9.7;;59.3;;;;;12726;61;;;452.5;;
WFJ;01.10.1959 00:00;-0.2;;;;;;65.7;3.9;736.1;;;;;4.4;;15.8;;56.5;;;;;12192;62;;;624.7;;
WFJ;01.11.1959 00:00;-5;;;;;;64.8;2.6;729.8;;;;;6.7;;24.1;;48.2;;;;;8598;52;;;749.7;;
WFJ;01.12.1959 00:00;-7.3;;;;;;76.4;2.7;724.5;;;;;8.3;;29.9;;105.3;;;;;5610;36;;;847;;
WFJ;01.01.1960 00:00;-10.3;;;;;;74.7;2.3;726.8;;;;;7.7;;27.7;;53.5;;;;;6540;40;;;938.6;;
WFJ;01.02.1960 00:00;-7.9;;;;;;74.6;2.6;725.8;;;;;6.2;;22.3;;36.9;;;;;7044;41;;;809.8;;
WFJ;01.03.1960 00:00;-7.1;;;;;;86.4;3.2;726.4;;;;;6.7;;24.1;;66.4;;;;;8016;38;;;840.2;;
WFJ;01.04.1960 00:00;-5.3;;;;;;83.1;3.5;731.1;;;;;5.7;;20.5;;48.6;;;;;9828;44;;;759.6;;
WFJ;01.05.1960 00:00;-0.2;;;;;;82.6;5.1;736;;;;;4.4;;15.8;;76.4;;;;;14310;55;;;625.1;;
