station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
PSI;01.02.1992 00:00;1.8;13.1;-9.6;;;;;;;;;;;;;;;71.3;;;;;;;;0;527.6;295.6;
PSI;01.03.1992 00:00;6;16.7;-1.5;;;;;;;;;;;;;;;101.7;;;;;;;;0;435;187;
PSI;01.04.1992 00:00;8.8;26.1;-1.2;;;;;;;;;;;;;;;118;;;;;;;;0;305.8;105.8;
PSI;01.05.1992 00:00;15.1;31.2;2.5;;;;;;;;;;;;;;;38.2;;;;;;;;4.4;67.2;11.2;
PSI;01.06.1992 00:00;16.7;33.6;7.1;;;;;;;;;;;;;;;109.8;;;;;;;;11.9;8.8;0.8;
PSI;01.07.1992 00:00;18.9;32.8;11.1;;;;;;;;;;;;;;;70.8;;;;;;;;45.5;0;0;
PSI;01.08.1992 00:00;20.4;34.2;10.1;;;;;;;;;;;;;;;66.1;;;;;;;;76.6;0;0;
PSI;01.09.1992 00:00;14.4;25.2;4.4;;;;;;;;;;;;;;;51.6;;;;;;;;0;37.8;5.8;
PSI;01.10.1992 00:00;8.4;19.5;-0.7;;;;;;;;;;;;;;;163.1;;;;;;;;0;318.6;118.6;
PSI;01.11.1992 00:00;7;16.8;-0.7;;;;;;;;;;;;;;;247.7;;;;;;;;0;389.7;149.7;
PSI;01.12.1992 00:00;1.4;14.5;-7.7;;;;;;;;;;;;;;;77;;;;;;;;0;576.8;328.8;
PSI;01.01.1993 00:00;3.4;17.4;-12;;;;;;;;;;;;;;;48.1;;;;;;;;0;515.6;267.6;
PSI;01.02.1993 00:00;0.6;11.4;-8.5;;;;;;;;;;;;;;;24.7;;;;;;;;0;543.6;319.6;
PSI;01.03.1993 00:00;4.5;20.6;-5.7;;;;;;;;;;;;;;;23.2;;;;;;;;0;479;231;
PSI;01.04.1993 00:00;10.7;27.7;-1.2;;;;;;;;;;;;;;;56.1;;;;;;;;0;225.2;73.2;
PSI;01.05.1993 00:00;14.5;28.3;5.7;;;;;;;;;;;;;;;94.3;;;;;;;;1.9;36.2;4.2;
PSI;01.06.1993 00:00;17;30.7;7.4;;;;;;;;;;;;;;;90.9;;;;;;;;17.2;0;0;
PSI;01.07.1993 00:00;17;30.8;7.2;;;;;;;;;;;;;;;187.2;;;;;;;;22.3;26.6;2.6;
PSI;01.08.1993 00:00;17.4;30.7;5.8;;;;;;;;;;;;;;;82;;;;;;;;27.7;24.3;0.3;
PSI;01.09.1993 00:00;13.1;25.4;4.8;;;;;;;;;;;;;;;97.4;;;;;;;;0;85.1;13.1;
PSI;01.10.1993 00:00;8.4;18.5;3.1;;;;;;;;;;;;;;;102.9;;;;;;;;0;349.1;109.1;
PSI;01.11.1993 00:00;2.2;14.7;-6.2;;;;;;;;;;;;;;;31.5;;;;;;;;0;534.8;294.8;
PSI;01.12.1993 00:00;4.8;17.1;-5.3;;;;;;;;;;;;;;;158;;;;;;;;0;449;217;
PSI;01.01.1994 00:00;3.3;14.3;-6.2;;;;;;977.3;;;;;;;;;136.6;;;;;;;;0;516.4;268.4;
PSI;01.02.1994 00:00;2.2;13.1;-5.5;;;;;;975.2;;;;;;;;;50.5;;;;;;;;0;497.4;273.4;
PSI;01.03.1994 00:00;9.2;21.4;-1.4;;;;;;981.1;;;;;;;;;83.8;;;;;;;;0;319.8;95.8;
PSI;01.04.1994 00:00;8;24.8;-1.7;;;;;;973;;;;;;;;;86.2;;;;;;;;0;332.7;132.7;
PSI;01.05.1994 00:00;13.5;25.2;5.7;;;;;;974.3;;;;;;;;;179.2;;;;;;;;0;63.3;7.3;
PSI;01.06.1994 00:00;17;30;4.7;;;;;;979.9;;;;;;;;;50.2;;;;;;;;28;46.4;6.4;
PSI;01.07.1994 00:00;21.4;33.3;12.4;;;;;;978.1;;;;;;;;;44.6;;;;;;;;97.5;0;0;
PSI;01.08.1994 00:00;19.3;34.4;9.3;;;;;;976.9;;;;;;;;;83.2;;;;;;;;50.1;0;0;
