station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ZER;01.04.1892 00:00;;;;;;;;;;;;;;;;;;24.6;;;;;;;;;;;
ZER;01.05.1892 00:00;;;;;;;;;;;;;;;;;;21.6;;;;;;;;;;;
ZER;01.06.1892 00:00;;;;;;;;;;;;;;;;;;54.4;;;;;;;;;;;
ZER;01.07.1892 00:00;;;;;;;;;;;;;;;;;;41.5;;;;;;;;;;;
ZER;01.08.1892 00:00;;;;;;;;;;;;;;;;;;57.2;;;;;;;;;;;
ZER;01.09.1892 00:00;;;;;;;;;;;;;;;;;;55.3;;;;;;;;;;;
ZER;01.10.1892 00:00;;;;;;;;;;;;;;;;;;88.6;;;;;;;;;;;
ZER;01.11.1892 00:00;;;;;;;;;;;;;;;;;;13.3;;;;;;;;;;;
ZER;01.12.1892 00:00;;;;;;;;;;;;;;;;;;18.3;;;;;;;;;;;
ZER;01.01.1893 00:00;;;;;;;;;;;;;;;;;;32.1;;;;;;;;;;;
ZER;01.02.1893 00:00;;;;;;;;;;;;;;;;;;67.2;;;;;;;;;;;
ZER;01.03.1893 00:00;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;
ZER;01.04.1893 00:00;;;;;;;;;;;;;;;;;;6.8;;;;;;;;;;;
ZER;01.05.1893 00:00;;;;;;;;;;;;;;;;;;26.7;;;;;;;;;;;
ZER;01.06.1893 00:00;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;
ZER;01.07.1893 00:00;;;;;;;;;;;;;;;;;;81;;;;;;;;;;;
ZER;01.08.1893 00:00;;;;;;;;;;;;;;;;;;16.7;;;;;;;;;;;
ZER;01.09.1893 00:00;;;;;;;;;;;;;;;;;;52.5;;;;;;;;;;;
ZER;01.10.1893 00:00;;;;;;;;;;;;;;;;;;29.7;;;;;;;;;;;
ZER;01.11.1893 00:00;;;;;;;;;;;;;;;;;;33.3;;;;;;;;;;;
ZER;01.12.1893 00:00;;;;;;;;;;;;;;;;;;14.5;;;;;;;;;;;
ZER;01.01.1894 00:00;;;;;;;;;;;;;;;;;;15.8;;;;;;;;;;;
ZER;01.02.1894 00:00;;;;;;;;;;;;;;;;;;34.6;;;;;;;;;;;
ZER;01.03.1894 00:00;;;;;;;;;;;;;;;;;;25.8;;;;;;;;;;;
ZER;01.04.1894 00:00;;;;;;;;;;;;;;;;;;41.7;;;;;;;;;;;
ZER;01.05.1894 00:00;;;;;;;;;;;;;;;;;;120.1;;;;;;;;;;;
ZER;01.06.1894 00:00;;;;;;;;;;;;;;;;;;21.6;;;;;;;;;;;
ZER;01.07.1894 00:00;;;;;;;;;;;;;;;;;;29.1;;;;;;;;;;;
ZER;01.08.1894 00:00;;;;;;;;;;;;;;;;;;44.4;;;;;;;;;;;
ZER;01.09.1894 00:00;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;
ZER;01.10.1894 00:00;;;;;;;;;;;;;;;;;;47.3;;;;;;;;;;;
ZER;01.11.1894 00:00;;;;;;;;;;;;;;;;;;16.9;;;;;;;;;;;
ZER;01.12.1894 00:00;;;;;;;;;;;;;;;;;;23.3;;;;;;;;;;;
ZER;01.01.1895 00:00;;;;;;;;;;;;;;;;;;40.3;;;;;;;;;;;
ZER;01.02.1895 00:00;;;;;;;;;;;;;;;;;;4.9;;;;;;;;;;;
ZER;01.03.1895 00:00;;;;;;;;;;;;;;;;;;69.2;;;;;;;;;;;
ZER;01.04.1895 00:00;;;;;;;;;;;;;;;;;;33.1;;;;;;;;;;;
ZER;01.05.1895 00:00;;;;;;;;;;;;;;;;;;40.4;;;;;;;;;;;
