station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
REH;01.01.1961 00:00;;;;;;;;;;;;;;;;;;79.9;;;;;;;;;;;
REH;01.02.1961 00:00;;;;;;;;;;;;;;;;;;70.1;;;;;;;;;;;
REH;01.03.1961 00:00;;;;;;;;;;;;;;;;;;26.9;;;;;;;;;;;
REH;01.04.1961 00:00;;;;;;;;;;;;;;;;;;74.3;;;;;;;;;;;
REH;01.05.1961 00:00;;;;;;;;;;;;;;;;;;93.8;;;;;;;;;;;
REH;01.06.1961 00:00;;;;;;;;;;;;;;;;;;34.7;;;;;;;;;;;
REH;01.07.1961 00:00;;;;;;;;;;;;;;;;;;120;;;;;;;;;;;
REH;01.08.1961 00:00;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;
REH;01.09.1961 00:00;;;;;;;;;;;;;;;;;;29.9;;;;;;;;;;;
REH;01.10.1961 00:00;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;
REH;01.11.1961 00:00;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;
REH;01.12.1961 00:00;;;;;;;;;;;;;;;;;;122;;;;;;;;;;;
REH;01.01.1962 00:00;;;;;;;;;;;;;;;;;;102.8;;;;;;;;;;;
REH;01.02.1962 00:00;;;;;;;;;;;;;;;;;;27.9;;;;;;;;;;;
REH;01.03.1962 00:00;;;;;;;;;;;;;;;;;;49.5;;;;;;;;;;;
REH;01.04.1962 00:00;;;;;;;;;;;;;;;;;;42.8;;;;;;;;;;;
REH;01.05.1962 00:00;;;;;;;;;;;;;;;;;;123.6;;;;;;;;;;;
REH;01.06.1962 00:00;;;;;;;;;;;;;;;;;;13.3;;;;;;;;;;;
REH;01.07.1962 00:00;;;;;;;;;;;;;;;;;;33.8;;;;;;;;;;;
REH;01.08.1962 00:00;;;;;;;;;;;;;;;;;;85.5;;;;;;;;;;;
REH;01.09.1962 00:00;;;;;;;;;;;;;;;;;;50.9;;;;;;;;;;;
REH;01.10.1962 00:00;;;;;;;;;;;;;;;;;;10.3;;;;;;;;;;;
REH;01.11.1962 00:00;;;;;;;;;;;;;;;;;;11.2;;;;;;;;;;;
REH;01.12.1962 00:00;;;;;;;;;;;;;;;;;;107.5;;;;;;;;;;;
REH;01.01.1963 00:00;;;;;;;;;;;;;;;;;;27.6;;;;;;;;;;;
REH;01.02.1963 00:00;;;;;;;;;;;;;;;;;;40.5;;;;;;;;;;;
REH;01.03.1963 00:00;;;;;;;;;;;;;;;;;;107.7;;;;;;;;;;;
REH;01.04.1963 00:00;;;;;;;;;;;;;;;;;;61.6;;;;;;;;;;;
REH;01.05.1963 00:00;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;
REH;01.06.1963 00:00;;;;;;;;;;;;;;;;;;95.2;;;;;;;;;;;
REH;01.07.1963 00:00;;;;;;;;;;;;;;;;;;66.5;;;;;;;;;;;
REH;01.08.1963 00:00;;;;;;;;;;;;;;;;;;113.6;;;;;;;;;;;
REH;01.09.1963 00:00;;;;;;;;;;;;;;;;;;70.7;;;;;;;;;;;
REH;01.10.1963 00:00;;;;;;;;;;;;;;;;;;59.6;;;;;;;;;;;
REH;01.11.1963 00:00;;;;;;;;;;;;;;;;;;92.1;;;;;;;;;;;
REH;01.12.1963 00:00;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;
REH;01.01.1964 00:00;;;;;;;;;;;;;;;;;;14.2;;;;;;;;;;;
REH;01.02.1964 00:00;;;;;;;;;;;;;;;;;;30.7;;;;;;;;;;;
REH;01.03.1964 00:00;;;;;;;;;;;;;;;;;;93.3;;;;;;;;;;;
REH;01.04.1964 00:00;;;;;;;;;;;;;;;;;;70.9;;;;;;;;;;;
REH;01.05.1964 00:00;;;;;;;;;;;;;;;;;;123.9;;;;;;;;;;;
REH;01.06.1964 00:00;;;;;;;;;;;;;;;;;;89.2;;;;;;;;;;;
REH;01.07.1964 00:00;;;;;;;;;;;;;;;;;;35.5;;;;;;;;;;;
