station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
KLO;01.01.1949 00:00;;;;;;;;;975.6;;;;;;;;;33.2;;;;;;;;;;;
KLO;01.02.1949 00:00;;;;;;;;;979.5;;;;;;;;;12.2;;;;;;;;;;;
KLO;01.03.1949 00:00;;;;;;;;;969.3;;;;;;;;;30.6;;;;;;;;;;;
KLO;01.04.1949 00:00;;;;;;;;;970.1;;;;;;;;;92.7;;;;;;;;;;;
KLO;01.05.1949 00:00;;;;;;;;;965.1;;;;;;;;;87.7;;;;;;;;;;;
KLO;01.06.1949 00:00;;;;;;;;;969.7;;;;;;;;;46.9;;;;;;;;;;;
KLO;01.07.1949 00:00;;;;;;;;;970.3;;;;;;;;;36.9;;;;;;;;;;;
KLO;01.08.1949 00:00;;;;;;;;;971.4;;;;;;;;;48.4;;;;;;;;;;;
KLO;01.09.1949 00:00;;;;;;;;;970.5;;;;;;;;;55;;;;;;;;;;;
KLO;01.10.1949 00:00;;;;;;;;;971.8;;;;;;;;;18.3;;;;;;;;;;;
KLO;01.11.1949 00:00;;;;;;;;;962.3;;;;;;;;;67.5;;;;;;;;;;;
KLO;01.12.1949 00:00;;;;;;;;;968.1;;;;;;;;;91.2;;;;;;;;;;;
KLO;01.01.1950 00:00;;;;;;;;;971.7;;;;;;;;;25.9;;;;;;;;;;;
KLO;01.02.1950 00:00;;;;;;;;;966.1;;;;;;;;;70.3;;;;;;;;;;;
KLO;01.03.1950 00:00;5.2;17.4;-8;;;;;;971;;;;;;;;;15.4;;;;;;;;;459.8;;
