station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
TAE;01.01.1970 00:00;;;;;;;;;;;;;;;;;;62.2;;;;;;;;;;;
TAE;01.02.1970 00:00;;;;;;;;;;;;;;;;;;285.9;;;;;;;;;;;
TAE;01.03.1970 00:00;;;;;;;;;;;;;;;;;;68.2;;;;;;;;;;;
TAE;01.04.1970 00:00;;;;;;;;;;;;;;;;;;215;;;;;;;;;;;
TAE;01.05.1970 00:00;;;;;;;;;;;;;;;;;;92.2;;;;;;;;;;;
TAE;01.06.1970 00:00;;;;;;;;;;;;;;;;;;107.5;;;;;;;;;;;
TAE;01.07.1970 00:00;;;;;;;;;;;;;;;;;;104.2;;;;;;;;;;;
TAE;01.08.1970 00:00;;;;;;;;;;;;;;;;;;215.6;;;;;;;;;;;
TAE;01.09.1970 00:00;;;;;;;;;;;;;;;;;;52.2;;;;;;;;;;;
TAE;01.10.1970 00:00;;;;;;;;;;;;;;;;;;94.5;;;;;;;;;;;
TAE;01.11.1970 00:00;;;;;;;;;;;;;;;;;;74.9;;;;;;;;;;;
TAE;01.12.1970 00:00;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;
TAE;01.01.1971 00:00;-3.8;9.6;-20.6;;;;87.3;4.4;950.3;;;;;1.4;;5;;77.9;;;;;;;;;739.3;;
TAE;01.02.1971 00:00;-0.9;7.3;-12.8;;;;86;5;956.1;;;;;2;;7.2;;52.6;;;;;;;;;585.2;;
TAE;01.03.1971 00:00;-0.7;12.1;-18.5;;;;83.2;5.1;949.8;;;;;1.2;;4.3;;60.2;;;;;;;;;641.7;;
TAE;01.04.1971 00:00;8.8;23.8;-3;;;;76;8.3;948.8;;;;;1.5;;5.4;;72.4;;;;;;;;;309.9;;
TAE;01.05.1971 00:00;13.5;28.2;2;;;;78.3;11.8;949.6;;;;;1.3;;4.3;;68.7;;;;;;;;;123.2;;
TAE;01.06.1971 00:00;13.6;24.2;3.9;;;;80.1;12.6;951.6;;;;;2;;7.2;;227.1;;;;;;;;;77.2;;
TAE;01.07.1971 00:00;17.9;30.6;4.4;;;;72.9;14.9;956.6;;;;;1;;3.6;;137.6;;;;;;;;;8.4;;
TAE;01.08.1971 00:00;17.4;29.4;7.8;;;;81.6;15.9;954.4;;;;;1;;3.6;;115.9;;;;;;;;;0;;
TAE;01.09.1971 00:00;11.8;24;-1.6;;;;83.7;11.3;959.4;;;;;1.3;;4.3;;72.1;;;;;;;;;161.6;;
TAE;01.10.1971 00:00;8.3;21.6;-3;;;;86.3;9.4;962.8;;;;;1;;3.6;;36.5;;;;;8868;50;;;325.5;;
TAE;01.11.1971 00:00;2.1;15;-10.2;;;;88.2;6.5;951.4;;;;;1.9;;6.8;;111.8;;;;;2202;15;;;535.9;;
TAE;01.12.1971 00:00;0.3;10.4;-9.9;;;;90.7;5.8;962.6;;;;;1.2;;4.3;;36.6;;;;;1230;10;;;612.1;;
TAE;01.01.1972 00:00;-1.2;7.5;-10.7;;;;90.7;5.2;950.7;;;;;0.9;;3.2;;24.1;;;;;1242;11;;;656.9;;
TAE;01.02.1972 00:00;1.4;11.2;-14.2;;;;88.6;6;948.4;;;;;0.8;;2.9;;22.7;;;;;3420;26;;;539;;
TAE;01.03.1972 00:00;4.8;17.5;-4.9;;;;80.4;6.9;951;;;;;1.4;;5;;25.5;;;;;9516;50;;;472.6;;
TAE;01.04.1972 00:00;7;20.9;-3;;;;84;8.6;948.6;;;;;2.4;;8.6;;149.1;;;;;5196;25;;;362.7;;
TAE;01.05.1972 00:00;11;22.2;-0.9;;;;77.1;10;951.3;;;;;2;;7.2;;86;;;;;9192;36;;;223;;
TAE;01.06.1972 00:00;13.7;25.6;2.6;;;;77;12.2;953.2;;;;;1.1;;4;;129.9;;;;;9090;34;;;95.9;;
TAE;01.07.1972 00:00;16.3;30.2;4.2;;;;79.7;14.9;955.6;;;;;1.2;;4.3;;151.6;;;;;9432;36;;;43.1;;
TAE;01.08.1972 00:00;15.1;28.5;4.1;;;;80.9;13.8;955.8;;;;;1.3;;4.3;;61.9;;;;;9600;40;;;63.6;;
TAE;01.09.1972 00:00;10.1;23.2;-2.3;;;;81.9;10;955.8;;;;;1.3;;4.7;;39.2;;;;;8970;46;;;259.6;;
TAE;01.10.1972 00:00;5.4;17.5;-4.3;;;;85.3;7.7;956.2;;;;;1.5;;5.4;;62.3;;;;;5742;32;;;452.9;;
TAE;01.11.1972 00:00;2.8;14.4;-10;;;;89.3;7;956.1;;;;;2.1;;7.9;;290.4;;;;;2754;20;;;508.1;;
TAE;01.12.1972 00:00;-1.6;10;-10;;;;92.3;5.2;960.9;;;;;0.9;;3.2;;24.9;;;;;1518;12;;;669.6;;
TAE;01.01.1973 00:00;-1.6;4.8;-10.1;;;;91.1;5.1;958.7;;;;;1.2;;4.3;;35.6;;;;;450;4;;;669.9;;
TAE;01.02.1973 00:00;-1.1;8.6;-15.8;;;;84.7;4.9;952.2;;;;;2.1;;7.6;;67.1;;;;;3090;24;;;590.4;;
TAE;01.03.1973 00:00;1.7;16.6;-15.4;;;;82.2;5.7;959.1;;;;;1.5;;5.4;;25.7;;;;;6504;34;;;568.5;;
