station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ARH;01.02.1993 00:00;-0.3;9.8;-11.2;;;;83.4;5.1;980.5;;;;;1.6;19.6;;70.6;;;;;;;;;;;345;
ARH;01.03.1993 00:00;3.4;18.3;-9.1;;;;75.5;6;974.4;;;;;1.4;12.1;5;43.6;;;;;;;;;;;256.7;
ARH;01.04.1993 00:00;11.2;;;;;;67;8.5;964.7;;;;;2.3;;8.3;;;;;;;;;;;;72.4;
ARH;01.05.1993 00:00;15.1;28.9;5.3;;;;72;12;967.3;;;;;1.9;26.8;;96.5;;;;;;;;;;;2.9;
ARH;01.06.1993 00:00;17;28.1;8.2;;;;75.1;14.5;970.2;;;;;1.8;18.9;;68;;;;;;;;;;;0;
ARH;01.07.1993 00:00;17.2;;;;;;76;15.1;971.8;;;;;1.3;;4.7;;;;;;;;;;;;1.3;
ARH;01.08.1993 00:00;17.5;28.7;5.9;;;;79.4;15.8;972.2;;;;;1.5;15.8;;56.9;;;;;;;;;;;0.7;
ARH;01.09.1993 00:00;13.2;28.8;3.4;;;;82.8;12.5;966.9;;;;;1.7;18.2;;65.5;;;;;;;;;;;15.1;
ARH;01.10.1993 00:00;9.2;25.2;2.8;;;;82.4;9.6;967.9;;;;;2;27.1;;97.6;;;;;;;;;;;101.5;
ARH;01.11.1993 00:00;2;15.4;-7.8;;;;85;6.3;972.7;;;;;1.6;22;;79.2;;;;;;;;;;;298.9;
ARH;01.12.1993 00:00;4.2;19.2;-6.9;;;;76.8;6.3;966.7;;;;;2.7;29.1;;104.8;;;;;;;;;;;245.3;
ARH;01.01.1994 00:00;3.3;16.2;-8.1;;;;79.2;6.2;969.6;;;;;2.4;26.7;;96.1;;;;;;;;;;;268.6;
ARH;01.02.1994 00:00;1.9;18.6;-6.8;;;;81.3;5.8;967.7;;;;;1.7;21.1;;76;;;;;;;;;;;282.8;
