station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ANT;01.01.1864 00:00;-11;;;;;;;;;;;;;;;;;;;;;;;;;;961.1;;
ANT;01.02.1864 00:00;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;733;;
ANT;01.03.1864 00:00;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;661.6;;
ANT;01.04.1864 00:00;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;579.5;;
ANT;01.05.1864 00:00;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;418.1;;
ANT;01.06.1864 00:00;8.9;;;;;;;;;;;;;;;;;;;;;;;;;;328.6;;
ANT;01.07.1864 00:00;11.6;;;;;;;;;;;;;;;;;;;;;;;;;;178.1;;
ANT;01.08.1864 00:00;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;247;;
ANT;01.09.1864 00:00;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;354.6;;
ANT;01.10.1864 00:00;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;516.8;;
ANT;01.11.1864 00:00;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;611.4;;
ANT;01.12.1864 00:00;-4.9;;;;;;;;;;;;;;;;;;;;;;;;;;771.8;;
ANT;01.01.1865 00:00;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;741.4;;
ANT;01.02.1865 00:00;-7.6;;;;;;;;;;;;;;;;;;;;;;;;;;773.9;;
ANT;01.03.1865 00:00;-5.6;;;;;;;;;;;;;;;;;;;;;;;;;;794.3;;
ANT;01.04.1865 00:00;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;443.6;;
ANT;01.05.1865 00:00;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;270.3;;
ANT;01.06.1865 00:00;9.9;;;;;;;;;;;;;;;;;;;;;;;;;;277.8;;
ANT;01.07.1865 00:00;13.4;;;;;;;;;;;;;;;;;;;;;;;;;;110.3;;
ANT;01.08.1865 00:00;10.7;;;;;;;;;;;;;;;;;;;;;;;;;;228.1;;
ANT;01.09.1865 00:00;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;249.4;;
ANT;01.10.1865 00:00;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;474.2;;
ANT;01.11.1865 00:00;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;605.8;;
ANT;01.12.1865 00:00;-5.5;;;;;;;;;;;;;;;;;;;;;;;;;;790.3;;
ANT;01.01.1866 00:00;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;717.8;;
ANT;01.02.1866 00:00;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;578.8;;
ANT;01.03.1866 00:00;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;647.6;;
ANT;01.04.1866 00:00;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;487.7;;
ANT;01.05.1866 00:00;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;467.9;;
ANT;01.06.1866 00:00;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;138.9;;
ANT;01.07.1866 00:00;11.7;;;;;;;;;;;;;;;;;;;;;;;;;;188;;
ANT;01.08.1866 00:00;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;293.6;;
