station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ARO;01.01.1890 00:00;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;
ARO;01.02.1890 00:00;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;
ARO;01.03.1890 00:00;;;;;;;;;;;;;;;;;;63;;;;;;;;;;;
ARO;01.04.1890 00:00;;;;;;;;;;;;;;;;;;105;;;;;;;;;;;
ARO;01.05.1890 00:00;;;;;;;;;;;;;;;;;;102;;;;;;;;;;;
ARO;01.06.1890 00:00;;;;;;;;;;;;;;;;;;205;;;;;;;;;;;
ARO;01.07.1890 00:00;;;;;;;;;;;;;;;;;;245;;;;;;;;;;;
ARO;01.08.1890 00:00;;;;;;;;;;;;;;;;;;364;;;;;;;;;;;
ARO;01.09.1890 00:00;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;
ARO;01.10.1890 00:00;;;;;;;;;;;;;;;;;;108;;;;;;;;;;;
ARO;01.11.1890 00:00;;;;;;;;;;;;;;;;;;78;;;;;;;;;;;
ARO;01.12.1890 00:00;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;
ARO;01.01.1891 00:00;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;
ARO;01.02.1891 00:00;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;
ARO;01.03.1891 00:00;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;
ARO;01.04.1891 00:00;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;
ARO;01.05.1891 00:00;;;;;;;;;;;;;;;;;;108;;;;;;;;;;;
ARO;01.06.1891 00:00;;;;;;;;;;;;;;;;;;131;;;;;;;;;;;
ARO;01.07.1891 00:00;;;;;;;;;;;;;;;;;;260;;;;;;;;;;;
ARO;01.08.1891 00:00;;;;;;;;;;;;;;;;;;244;;;;;;;;;;;
ARO;01.09.1891 00:00;;;;;;;;;;;;;;;;;;109;;;;;;;;;;;
ARO;01.10.1891 00:00;;;;;;;;;;;;;;;;;;95;;;;;;;;;;;
ARO;01.11.1891 00:00;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;
ARO;01.12.1891 00:00;;;;;;;;;;;;;;;;;;139;;;;;;;;;;;
ARO;01.01.1892 00:00;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;
ARO;01.02.1892 00:00;;;;;;;;;;;;;;;;;;155;;;;;;;;;;;
ARO;01.03.1892 00:00;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;
ARO;01.04.1892 00:00;;;;;;;;;;;;;;;;;;93;;;;;;;;;;;
ARO;01.05.1892 00:00;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;
ARO;01.06.1892 00:00;;;;;;;;;;;;;;;;;;202;;;;;;;;;;;
ARO;01.07.1892 00:00;;;;;;;;;;;;;;;;;;186;;;;;;;;;;;
