station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
RAG;01.06.1870 00:00;17.5;;;;;;;;957.5;;;;;;;;;56.9;;;;;;;;;9.1;;
RAG;01.07.1870 00:00;20.3;;;;;;;;958.7;;;;;;;;;97;;;;;;;;;8.1;;
RAG;01.08.1870 00:00;15.9;;;;;;;;954.7;;;;;;;;;100.7;;;;;;;;;44.7;;
RAG;01.09.1870 00:00;13.3;;;;;;;;961.8;;;;;;;;;95.9;;;;;;;;6.7;123.4;;
RAG;01.10.1870 00:00;8.7;;;;;;;;954.3;;;;;;;;;217.7;;;;;;;;;336.2;;
RAG;01.11.1870 00:00;5.6;;;;;;;;951.4;;;;;;;;;165.4;;;;;;;;;420.3;;
RAG;01.12.1870 00:00;-2.7;;;;;;;;947.7;;;;;;;;;54.5;;;;;;;;;703.9;;
RAG;01.01.1871 00:00;-4.8;;;;;;;;949.3;;;;;;;;;63.4;;;;;;;;;767.6;;
RAG;01.02.1871 00:00;2;;;;;;;;960.2;;;;;;;;;39;;;;;;;;;503.8;;
RAG;01.03.1871 00:00;6;;;;;;;;958.2;;;;;;;;;68.9;;;;;;;;;427.6;;
RAG;01.04.1871 00:00;9.2;;;;;;;;953.9;;;;;;;;;205.4;;;;;;;;;291.6;;
RAG;01.05.1871 00:00;12.6;;;;;;;;955.8;;;;;;;;;79.7;;;;;;;;;157;;
RAG;01.06.1871 00:00;13.6;;;;;;;;954;;;;;;;;;200.6;;;;;;;;;144.3;;
RAG;01.07.1871 00:00;19.1;;;;;;;;958.8;;;;;;;;;210.9;;;;;;;;;0;;
RAG;01.08.1871 00:00;18.1;;;;;;;;960.8;;;;;;;;;89.4;;;;;;;;;0;;
RAG;01.09.1871 00:00;16.8;;;;;;;;956.5;;;;;;;;;65.5;;;;;;;;;0;;
RAG;01.10.1871 00:00;7.2;;;;;;;;957.3;;;;;;;;;98.2;;;;;;;;;383.2;;
RAG;01.11.1871 00:00;1;;;;;;;;950.7;;;;;;;;;64.6;;;;;;;;;562.3;;
RAG;01.12.1871 00:00;-8.1;;;;;;;;958.5;;;;;;;;;14.9;;;;;;;;;870.8;;
RAG;01.01.1872 00:00;1.3;;;;;;;;950.8;;;;;;;;;49.8;;;;;;;;;578.3;;
RAG;01.02.1872 00:00;2.6;;;;;;;;955.6;;;;;;;;;43.5;;;;;;;;;505.4;;
RAG;01.03.1872 00:00;6.4;;;;;;;;951.8;;;;;;;;;68.6;;;;;;;;;403;;
