station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BAN;01.02.2012 00:00;;;;;;;;;;;;;;;;;;;108;;;;8958;53;;;;;
BAN;01.03.2012 00:00;;;;;;;;;;;;;;;;;;;189;;;;16610;80;;;;;
BAN;01.04.2012 00:00;;;;;;;;;;;;;;;;;;;153;;;;6885;30;;;;;
BAN;01.05.2012 00:00;;;;;;;;;;;;;;;;;;;245;;;;13505;51;;;;;
BAN;01.06.2012 00:00;;;;;;;;;;;;;;;;;;;240;;;;12388;46;;;;;
BAN;01.07.2012 00:00;;;;;;;;;;;;;;;;;;;244;;;;13912;52;;;;;
BAN;01.08.2012 00:00;;;;;;;;;;;;;;;;;;;236;;;;15598;63;;;;;
BAN;01.09.2012 00:00;;;;;;;;;;;;;;;;;;;143;;;;9016;43;;;;;
BAN;01.10.2012 00:00;;;;;;;;;;;;;;;;;;;101;;;;8325;44;;;;;
BAN;01.11.2012 00:00;;;;;;;;;;;;;;;;;;;66;;;;6478;42;;;;;
BAN;01.03.2013 00:00;;;;;;;;;;;;;;;;;;;105;;;;5213;25;;;;;
BAN;01.04.2013 00:00;;;;;;;;;;;;;;;;;;;151;;;;7120;31;;;;;
BAN;01.05.2013 00:00;;;;;;;;;;;;;;;;;;;163;;;;6269;24;;;;;
BAN;01.06.2013 00:00;;;;;;;;;;;;;;;;;;;242;;;;12781;48;;;;;
BAN;01.07.2013 00:00;;;;;;;;;;;;;;;;;;;274;;;;18200;68;;;;;
BAN;01.08.2013 00:00;;;;;;;;;;;;;;;;;;;230;;;;16173;65;;;;;
BAN;01.09.2013 00:00;;;;;;;;;;;;;;;;;;;156;;;;9815;46;;;;;
BAN;01.10.2013 00:00;;;;;;;;;;;;;;;;;;;85;;;;5429;29;;;;;
BAN;01.11.2013 00:00;;;;;;;;;;;;;;;;;;;46;;;;3593;23;;;;;
BAN;01.12.2013 00:00;;;;;;;;;;;;;;;;;;;57;;;;9103;63;;;;;
BAN;01.01.2014 00:00;;;;;;;;;;;;;;;;;;;45;;;;4338;28;;;;;
