station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
LAT;01.01.1973 00:00;;;;;;;;;;;;;;;;;;46.4;;;;;;;;;;;
LAT;01.02.1973 00:00;;;;;;;;;;;;;;;;;;44.5;;;;;;;;;;;
LAT;01.03.1973 00:00;;;;;;;;;;;;;;;;;;28.7;;;;;;;;;;;
LAT;01.04.1973 00:00;;;;;;;;;;;;;;;;;;70.6;;;;;;;;;;;
LAT;01.05.1973 00:00;;;;;;;;;;;;;;;;;;82.1;;;;;;;;;;;
LAT;01.06.1973 00:00;;;;;;;;;;;;;;;;;;116.5;;;;;;;;;;;
LAT;01.07.1973 00:00;;;;;;;;;;;;;;;;;;162.5;;;;;;;;;;;
LAT;01.08.1973 00:00;;;;;;;;;;;;;;;;;;104.5;;;;;;;;;;;
LAT;01.09.1973 00:00;;;;;;;;;;;;;;;;;;151.4;;;;;;;;;;;
LAT;01.10.1973 00:00;;;;;;;;;;;;;;;;;;81.9;;;;;;;;;;;
LAT;01.11.1973 00:00;;;;;;;;;;;;;;;;;;55.2;;;;;;;;;;;
LAT;01.12.1973 00:00;;;;;;;;;;;;;;;;;;72.2;;;;;;;;;;;
LAT;01.01.1974 00:00;;;;;;;;;;;;;;;;;;45.8;;;;;;;;;;;
LAT;01.02.1974 00:00;;;;;;;;;;;;;;;;;;55.6;;;;;;;;;;;
LAT;01.03.1974 00:00;;;;;;;;;;;;;;;;;;33.2;;;;;;;;;;;
LAT;01.04.1974 00:00;;;;;;;;;;;;;;;;;;37.9;;;;;;;;;;;
LAT;01.05.1974 00:00;;;;;;;;;;;;;;;;;;75.6;;;;;;;;;;;
LAT;01.06.1974 00:00;;;;;;;;;;;;;;;;;;104.3;;;;;;;;;;;
LAT;01.07.1974 00:00;;;;;;;;;;;;;;;;;;134;;;;;;;;;;;
LAT;01.08.1974 00:00;;;;;;;;;;;;;;;;;;125.9;;;;;;;;;;;
LAT;01.09.1974 00:00;;;;;;;;;;;;;;;;;;110.8;;;;;;;;;;;
LAT;01.10.1974 00:00;;;;;;;;;;;;;;;;;;79.9;;;;;;;;;;;
LAT;01.11.1974 00:00;;;;;;;;;;;;;;;;;;95.5;;;;;;;;;;;
LAT;01.12.1974 00:00;;;;;;;;;;;;;;;;;;66.2;;;;;;;;;;;
LAT;01.01.1975 00:00;;;;;;;;;;;;;;;;;;76.1;;;;;;;;;;;
LAT;01.02.1975 00:00;;;;;;;;;;;;;;;;;;8.1;;;;;;;;;;;
LAT;01.03.1975 00:00;;;;;;;;;;;;;;;;;;108.3;;;;;;;;;;;
LAT;01.04.1975 00:00;;;;;;;;;;;;;;;;;;94.5;;;;;;;;;;;
LAT;01.05.1975 00:00;;;;;;;;;;;;;;;;;;70.9;;;;;;;;;;;
LAT;01.06.1975 00:00;;;;;;;;;;;;;;;;;;100.5;;;;;;;;;;;
LAT;01.07.1975 00:00;;;;;;;;;;;;;;;;;;117.6;;;;;;;;;;;
LAT;01.08.1975 00:00;;;;;;;;;;;;;;;;;;152.9;;;;;;;;;;;
LAT;01.09.1975 00:00;;;;;;;;;;;;;;;;;;76;;;;;;;;;;;
LAT;01.10.1975 00:00;;;;;;;;;;;;;;;;;;43.9;;;;;;;;;;;
LAT;01.11.1975 00:00;;;;;;;;;;;;;;;;;;102.8;;;;;;;;;;;
LAT;01.12.1975 00:00;;;;;;;;;;;;;;;;;;8.5;;;;;;;;;;;
LAT;01.01.1976 00:00;;;;;;;;;;;;;;;;;;39.7;;;;;;;;;;;
LAT;01.02.1976 00:00;;;;;;;;;;;;;;;;;;10.7;;;;;;;;;;;
LAT;01.03.1976 00:00;;;;;;;;;;;;;;;;;;6.6;;;;;;;;;;;
LAT;01.04.1976 00:00;;;;;;;;;;;;;;;;;;46.3;;;;;;;;;;;
LAT;01.05.1976 00:00;;;;;;;;;;;;;;;;;;83.3;;;;;;;;;;;
LAT;01.06.1976 00:00;;;;;;;;;;;;;;;;;;37.8;;;;;;;;;;;
LAT;01.07.1976 00:00;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
LAT;01.08.1976 00:00;;;;;;;;;;;;;;;;;;88.3;;;;;;;;;;;
LAT;01.09.1976 00:00;;;;;;;;;;;;;;;;;;224.5;;;;;;;;;;;
LAT;01.10.1976 00:00;;;;;;;;;;;;;;;;;;145.4;;;;;;;;;;;
LAT;01.11.1976 00:00;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;
LAT;01.12.1976 00:00;;;;;;;;;;;;;;;;;;57.3;;;;;;;;;;;
LAT;01.01.1977 00:00;;;;;;;;;;;;;;;;;;77.5;;;;;;;;;;;
LAT;01.02.1977 00:00;;;;;;;;;;;;;;;;;;93.1;;;;;;;;;;;
LAT;01.03.1977 00:00;;;;;;;;;;;;;;;;;;72.9;;;;;;;;;;;
LAT;01.04.1977 00:00;;;;;;;;;;;;;;;;;;99.7;;;;;;;;;;;
LAT;01.05.1977 00:00;;;;;;;;;;;;;;;;;;99.5;;;;;;;;;;;
LAT;01.06.1977 00:00;;;;;;;;;;;;;;;;;;86;;;;;;;;;;;
LAT;01.07.1977 00:00;;;;;;;;;;;;;;;;;;130.6;;;;;;;;;;;
LAT;01.08.1977 00:00;;;;;;;;;;;;;;;;;;190.8;;;;;;;;;;;
LAT;01.09.1977 00:00;;;;;;;;;;;;;;;;;;19.9;;;;;;;;;;;
LAT;01.10.1977 00:00;;;;;;;;;;;;;;;;;;52.4;;;;;;;;;;;
LAT;01.11.1977 00:00;;;;;;;;;;;;;;;;;;46.3;;;;;;;;;;;
LAT;01.12.1977 00:00;;;;;;;;;;;;;;;;;;45.8;;;;;;;;;;;
LAT;01.01.1978 00:00;;;;;;;;;;;;;;;;;;74.7;;;;;;;;;;;
LAT;01.02.1978 00:00;;;;;;;;;;;;;;;;;;63.2;;;;;;;;;;;
LAT;01.03.1978 00:00;;;;;;;;;;;;;;;;;;86.3;;;;;;;;;;;
LAT;01.04.1978 00:00;;;;;;;;;;;;;;;;;;46.2;;;;;;;;;;;
LAT;01.05.1978 00:00;;;;;;;;;;;;;;;;;;107.2;;;;;;;;;;;
LAT;01.06.1978 00:00;;;;;;;;;;;;;;;;;;112.4;;;;;;;;;;;
