station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BEZ;01.01.1981 00:00;;;;;;;;;986.1;;;;;;;;;;;;;;;;;;;;
BEZ;01.02.1981 00:00;;;;;;;;;983.5;;;;;;;;;;;;;;;;;;;;
BEZ;01.03.1981 00:00;;;;;;;;;976.1;;;;;;;;;;;;;;;;;;;;
BEZ;01.04.1981 00:00;;;;;;;;;980;;;;;;;;;;;;;;;;;;;;
BEZ;01.05.1981 00:00;;;;;;;;;976.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.06.1981 00:00;;;;;;;;;982;;;;;;;;;;;;;;;;;;;;
BEZ;01.07.1981 00:00;;;;;;;;;982.1;;;;;;;;;;;;;;;;;;;;
BEZ;01.08.1981 00:00;;;;;;;;;983;;;;;;;;;;;;;;;;;;;;
BEZ;01.09.1981 00:00;;;;;;;;;981.1;;;;;;;;;;;;;;;;;;;;
BEZ;01.10.1981 00:00;;;;;;;;;977.8;;;;;;;;;;;;;;;;;;;;
BEZ;01.11.1981 00:00;;;;;;;;;988.9;;;;;;;;;;;;;;;;;;;;
BEZ;01.12.1981 00:00;;;;;;;;;968;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1982 00:00;;;;;;;;;983.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.02.1982 00:00;;;;;;;;;984.4;;;;;;;;;;;;;;;;;;;;
BEZ;01.03.1982 00:00;;;;;;;;;981.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.04.1982 00:00;;;;;;;;;981.4;;;;;;;;;;;;;;;;;;;;
BEZ;01.05.1982 00:00;;;;;;;;;983.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.06.1982 00:00;;;;;;;;;980.3;;;;;;;;;;;;;;;;;;;;
BEZ;01.07.1982 00:00;;;;;;;;;981.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.08.1982 00:00;;;;;;;;;981.2;;;;;;;;;;;;;;;;;;;;
BEZ;01.09.1982 00:00;;;;;;;;;983.2;;;;;;;;;;;;;;;;;;;;
BEZ;01.10.1982 00:00;;;;;;;;;978.1;;;;;;;;;;;;;;;;;;;;
BEZ;01.11.1982 00:00;;;;;;;;;981.8;;;;;;;;;;;;;;;;;;;;
BEZ;01.12.1982 00:00;;;;;;;;;980.3;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1983 00:00;;;;;;;;;992.2;;;;;;;;;;;;;;;;;;;;
BEZ;01.02.1983 00:00;;;;;;;;;981.9;;;;;;;;;;;;;;;;;;;;
BEZ;01.03.1983 00:00;;;;;;;;;982;;;;;;;;;;;;;;;;;;;;
BEZ;01.04.1983 00:00;;;;;;;;;974.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.05.1983 00:00;;;;;;;;;975.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.06.1983 00:00;;;;;;;;;983.1;;;;;;;;;;;;;;;;;;;;
BEZ;01.07.1983 00:00;;;;;;;;;981.8;;;;;;;;;;;;;;;;;;;;
BEZ;01.08.1983 00:00;;;;;;;;;981.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.09.1983 00:00;;;;;;;;;982.6;;;;;;;;;;;;;;;;;;;;
BEZ;01.10.1983 00:00;;;;;;;;;987.1;;;;;;;;;;;;;;;;;;;;
