station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BIE;01.05.1974 00:00;;;;;;;;;;;;;;;;;;123.8;;;;;;;;;;;
BIE;01.06.1974 00:00;;;;;;;;;;;;;;;;;;126.1;;;;;;;;;;;
BIE;01.07.1974 00:00;;;;;;;;;;;;;;;;;;46.9;;;;;;;;;;;
BIE;01.08.1974 00:00;;;;;;;;;;;;;;;;;;112.6;;;;;;;;;;;
BIE;01.09.1974 00:00;;;;;;;;;;;;;;;;;;162.8;;;;;;;;;;;
BIE;01.10.1974 00:00;;;;;;;;;;;;;;;;;;191.2;;;;;;;;;;;
BIE;01.11.1974 00:00;;;;;;;;;;;;;;;;;;140.1;;;;;;;;;;;
BIE;01.12.1974 00:00;;;;;;;;;;;;;;;;;;121;;;;;;;;;;;
BIE;01.01.1975 00:00;;;;;;;;;;;;;;;;;;164.9;;;;;;;;;;;
BIE;01.02.1975 00:00;;;;;;;;;;;;;;;;;;6.4;;;;;;;;;;;
BIE;01.03.1975 00:00;;;;;;;;;;;;;;;;;;106.6;;;;;;;;;;;
BIE;01.04.1975 00:00;;;;;;;;;;;;;;;;;;101.7;;;;;;;;;;;
BIE;01.05.1975 00:00;;;;;;;;;;;;;;;;;;111.5;;;;;;;;;;;
BIE;01.06.1975 00:00;;;;;;;;;;;;;;;;;;85.4;;;;;;;;;;;
BIE;01.07.1975 00:00;;;;;;;;;;;;;;;;;;71.2;;;;;;;;;;;
BIE;01.08.1975 00:00;;;;;;;;;;;;;;;;;;177;;;;;;;;;;;
BIE;01.09.1975 00:00;;;;;;;;;;;;;;;;;;186.8;;;;;;;;;;;
BIE;01.10.1975 00:00;;;;;;;;;;;;;;;;;;48.4;;;;;;;;;;;
BIE;01.11.1975 00:00;;;;;;;;;;;;;;;;;;162.2;;;;;;;;;;;
BIE;01.12.1975 00:00;;;;;;;;;;;;;;;;;;60.5;;;;;;;;;;;
BIE;01.01.1976 00:00;;;;;;;;;;;;;;;;;;61.7;;;;;;;;;;;
BIE;01.02.1976 00:00;;;;;;;;;;;;;;;;;;96.5;;;;;;;;;;;
BIE;01.03.1976 00:00;;;;;;;;;;;;;;;;;;16.9;;;;;;;;;;;
BIE;01.04.1976 00:00;;;;;;;;;;;;;;;;;;10.8;;;;;;;;;;;
BIE;01.05.1976 00:00;;;;;;;;;;;;;;;;;;35.2;;;;;;;;;;;
BIE;01.06.1976 00:00;;;;;;;;;;;;;;;;;;6.6;;;;;;;;;;;
BIE;01.07.1976 00:00;;;;;;;;;;;;;;;;;;114.4;;;;;;;;;;;
BIE;01.08.1976 00:00;;;;;;;;;;;;;;;;;;82.5;;;;;;;;;;;
BIE;01.09.1976 00:00;;;;;;;;;;;;;;;;;;211.7;;;;;;;;;;;
BIE;01.10.1976 00:00;;;;;;;;;;;;;;;;;;81.3;;;;;;;;;;;
BIE;01.11.1976 00:00;;;;;;;;;;;;;;;;;;154.7;;;;;;;;;;;
BIE;01.12.1976 00:00;;;;;;;;;;;;;;;;;;158.3;;;;;;;;;;;
BIE;01.01.1977 00:00;;;;;;;;;;;;;;;;;;157.4;;;;;;;;;;;
BIE;01.02.1977 00:00;;;;;;;;;;;;;;;;;;234.6;;;;;;;;;;;
BIE;01.03.1977 00:00;;;;;;;;;;;;;;;;;;67.6;;;;;;;;;;;
BIE;01.04.1977 00:00;;;;;;;;;;;;;;;;;;150.2;;;;;;;;;;;
BIE;01.05.1977 00:00;;;;;;;;;;;;;;;;;;92.4;;;;;;;;;;;
BIE;01.06.1977 00:00;;;;;;;;;;;;;;;;;;107.8;;;;;;;;;;;
BIE;01.07.1977 00:00;;;;;;;;;;;;;;;;;;231.4;;;;;;;;;;;
BIE;01.08.1977 00:00;;;;;;;;;;;;;;;;;;107.3;;;;;;;;;;;
BIE;01.09.1977 00:00;;;;;;;;;;;;;;;;;;26.1;;;;;;;;;;;
BIE;01.10.1977 00:00;;;;;;;;;;;;;;;;;;107.1;;;;;;;;;;;
BIE;01.11.1977 00:00;;;;;;;;;;;;;;;;;;187.1;;;;;;;;;;;
BIE;01.12.1977 00:00;;;;;;;;;;;;;;;;;;118.7;;;;;;;;;;;
BIE;01.01.1978 00:00;;;;;;;;;;;;;;;;;;175.6;;;;;;;;;;;
BIE;01.02.1978 00:00;;;;;;;;;;;;;;;;;;178.7;;;;;;;;;;;
BIE;01.03.1978 00:00;;;;;;;;;;;;;;;;;;227.4;;;;;;;;;;;
BIE;01.04.1978 00:00;;;;;;;;;;;;;;;;;;58.2;;;;;;;;;;;
BIE;01.05.1978 00:00;;;;;;;;;;;;;;;;;;95.1;;;;;;;;;;;
BIE;01.06.1978 00:00;;;;;;;;;;;;;;;;;;104.3;;;;;;;;;;;
BIE;01.07.1978 00:00;;;;;;;;;;;;;;;;;;61.5;;;;;;;;;;;
BIE;01.08.1978 00:00;;;;;;;;;;;;;;;;;;163.4;;;;;;;;;;;
BIE;01.09.1978 00:00;;;;;;;;;;;;;;;;;;46.6;;;;;;;;;;;
BIE;01.10.1978 00:00;;;;;;;;;;;;;;;;;;22.8;;;;;;;;;;;
BIE;01.11.1978 00:00;;;;;;;;;;;;;;;;;;4.5;;;;;;;;;;;
BIE;01.12.1978 00:00;;;;;;;;;;;;;;;;;;265;;;;;;;;;;;
BIE;01.01.1979 00:00;;;;;;;;;;;;;;;;;;165.4;;;;;;;;;;;
BIE;01.02.1979 00:00;;;;;;;;;;;;;;;;;;159.6;;;;;;;;;;;
BIE;01.03.1979 00:00;;;;;;;;;;;;;;;;;;227.3;;;;;;;;;;;
BIE;01.04.1979 00:00;;;;;;;;;;;;;;;;;;83.2;;;;;;;;;;;
BIE;01.05.1979 00:00;;;;;;;;;;;;;;;;;;68.8;;;;;;;;;;;
BIE;01.06.1979 00:00;;;;;;;;;;;;;;;;;;67.7;;;;;;;;;;;
BIE;01.07.1979 00:00;;;;;;;;;;;;;;;;;;20.2;;;;;;;;;;;
BIE;01.08.1979 00:00;;;;;;;;;;;;;;;;;;60.2;;;;;;;;;;;
BIE;01.09.1979 00:00;;;;;;;;;;;;;;;;;;66.8;;;;;;;;;;;
BIE;01.10.1979 00:00;;;;;;;;;;;;;;;;;;107.5;;;;;;;;;;;
BIE;01.11.1979 00:00;;;;;;;;;;;;;;;;;;157.7;;;;;;;;;;;
BIE;01.12.1979 00:00;;;;;;;;;;;;;;;;;;284.6;;;;;;;;;;;
BIE;01.01.1980 00:00;;;;;;;;;;;;;;;;;;163.7;;;;;;;;;;;
BIE;01.02.1980 00:00;;;;;;;;;;;;;;;;;;120.6;;;;;;;;;;;
BIE;01.03.1980 00:00;;;;;;;;;;;;;;;;;;130.1;;;;;;;;;;;
BIE;01.04.1980 00:00;;;;;;;;;;;;;;;;;;25.7;;;;;;;;;;;
BIE;01.05.1980 00:00;;;;;;;;;;;;;;;;;;124.2;;;;;;;;;;;
BIE;01.06.1980 00:00;;;;;;;;;;;;;;;;;;162.4;;;;;;;;;;;
BIE;01.07.1980 00:00;;;;;;;;;;;;;;;;;;140.1;;;;;;;;;;;
BIE;01.08.1980 00:00;;;;;;;;;;;;;;;;;;93.2;;;;;;;;;;;
BIE;01.09.1980 00:00;;;;;;;;;;;;;;;;;;64.2;;;;;;;;;;;
